SceneID		MaxTimeScores	Time	MaxSurviveScores	DeadScores	DamageScores	TreatScores	FightScores	ProfessionScores	Standard
场景ID		时间分满分	时间限制(秒）	存活分满分	死亡单次扣分	伤害排名分	治愈排名分	战力排名分	职业类型分	B分数|A分数|S分数|SS分数|SSS分数
1002	牛头怪深红大将之巢	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1015	地狱犬卡卡里之巢（练习模式）	3000	240	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1016	地狱犬卡卡里之巢（普通模式）	3000	270	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1017	地狱犬卡卡里之巢（困难模式）	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1018	星级巢穴-地狱犬1（原地狱模式）	3000	300	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
1019	地狱犬卡卡里之巢（困难模式）	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1025	狮蝎克雷姆之巢（练习模式）	3000	360	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1026	狮蝎克雷姆之巢（普通模式）	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1027	狮蝎克雷姆之巢（困难模式）	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1028	星级巢穴-狮蝎1（原地狱模式）	3000	420	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
1029	狮蝎克雷姆之巢（困难模式）	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1035	天启巢穴（练习模式）	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1036	天启巢穴（普通模式）	3000	360	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1037	天启巢穴（困难模式）	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1038	星级巢穴-天启1（原地狱模式）	3000	420	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
1039	天启巢穴（困难模式）	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1045	大主教巢穴-简单	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1046	大主教巢穴-普通	3000	360	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1047	大主教巢穴-困难	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1048	星级巢穴-大主教1（原地狱模式）	3000	420	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
1049	大主教巢穴-困难	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
