ID	ItemID	ItemNum	Level	ResetCount	Weight	IfTips
ID	奖励道具ID	奖励道具数量	所属分组(1L,2S,3A,4B)	重置轮数	掉落权重	道具tips（0无1有）
10001	63827	10	1	0=999	35	1
10002	1421	100	1	0=999	35	1
10003	1089	25	1	0=999	35	1
10004	65401	4	1	0=999	35	1
10005	840	30	1	0=999	35	1
10006	193660	400	1	0=999	35	1
10007	193661	100	1	0=999	35	1
10008	609	40	1	0=999	35	1
10009	65135	4	1	0=999	35	1
10010	65303	4	1	0=999	35	1
10011	65106	4	1	0=999	35	1
10012	64097	4	1	0=999	35	1
10013	8549	400	1	0=999	35	1
10014	1097	400	1	0=999	35	1
10015	837	18	1	0=999	35	1
10016	835	18	1	0=999	35	1
10017	6239	24	1	0=999	35	1
10018	1322	25	1	0=999	35	1
10019	4768	5	1	0=999	35	1
10020	1277	20	1	0=999	35	1
11001	8549	150	2	0=999	90	1
11002	835	6	2	0=999	70	1
11003	1097	120	2	0=999	90	1
11004	1338	1	2	0=999	50	1
11005	1340	2	2	0=999	90	1
11006	1600000	18	2	0=999	30	1
11007	1420	1000	2	0=999	70	1
11008	1027	18	2	0=999	90	1
11009	1099804	1	2	0=999	70	1
11010	1013003	1	2	0=999	110	1
11011	1099906	1	2	0=999	90	1
11012	1278	25	2	0=999	90	1
11013	1279	180	2	0=999	90	1
11014	6239	8	2	0=999	30	1
11015	6681	24	2	0=999	50	1
11016	6678	24	2	0=999	50	1
11017	6679	24	2	0=999	50	1
11018	8706	180	2	0=999	110	1
11019	8704	180	2	0=999	110	1
11020	8707	180	2	0=999	70	1
11021	4799	4	2	0=999	110	1
11022	5300	4	2	0=999	110	1
11023	8231	1	2	0=999	50	1
11024	8232	1	2	0=999	50	1
11025	1291	180	2	0=999	90	1
11026	1179	45	2	0=999	110	1
12001	8549	60	3	0=999	110	1
12002	4833	2	3	0=999	90	1
12003	1097	50	3	0=999	110	1
12004	1027	6	3	0=999	110	1
12005	1420	300	3	0=999	90	1
12006	1099803	1	3	0=999	90	1
12007	1099905	1	3	0=999	110	1
12008	1013002	1	3	0=999	110	1
12009	1012805	1	3	0=999	110	1
12010	1011105	1	3	0=999	110	1
12011	4799	1	3	0=999	110	1
12012	5300	1	3	0=999	110	1
12013	8706	60	3	0=999	130	1
12014	1291	80	3	0=999	110	1
12015	827	40	3	0=999	110	1
12016	1332	10	3	0=999	110	1
12017	604	30	3	0=999	110	1
12018	603	12	3	0=999	130	1
12019	1024	60	3	0=999	140	1
12020	6236	12	3	0=999	90	1
12021	6237	12	3	0=999	90	1
12022	6238	12	3	0=999	90	1
12023	6243	12	3	0=999	90	1
12024	6244	12	3	0=999	90	1
12025	6245	12	3	0=999	90	1
12026	6246	12	3	0=999	90	1
12027	6247	12	3	0=999	90	1
12028	6248	12	3	0=999	90	1
13001	1099801	1	4	0=999	100	1
13002	1291	20	4	0=999	100	1
13003	827	10	4	0=999	100	1
13004	604	15	4	0=999	100	1
13005	603	5	4	0=999	120	1
13006	1183	15	4	0=999	100	1
13007	1181	30	4	0=999	100	1
13008	1024	10	4	0=999	120	1
13009	1185	15	4	0=999	100	1
13010	4721	3	4	0=999	100	1
13011	2864	3	4	0=999	100	1
13012	1011103	1	4	0=999	100	1
13013	1099903	1	4	0=999	100	1
13014	1013000	1	4	0=999	100	1
13015	1012203	1	4	0=999	120	1
13016	1012803	1	4	0=999	120	1
13017	1053	20	4	0=999	120	1
13018	8706	15	4	0=999	80	1
13019	6240	3	4	0=999	80	1
13020	6241	3	4	0=999	80	1
13021	6242	3	4	0=999	80	1
