Type	ID	Slot	Profession	ItemId	ItemName	ItemOverlap	IsPrecious	ConsumeItem	PayLimit	LevelShow	Benefit	Price	LevelCondition	PowerpointCondition	WeekCountCondition	DailyCountCondition	CountCondition	VIPCondition	ArenaCondition	PKCondition	GuildLevel	SeasonUnlockDay	ServerFirstConquer	SelfFirstConquer	IsNotBind	CookLevel	ShopItemType	ShopItemCategory	RedPoint
"商店类型（3:荣誉商店，4:公会商店，5:旧铭文商店（已废弃），6,7,8,9:图鉴卡牌,10,11,12:无尽深渊商店（已废弃）,13:装备商店，14家园商店，15:新服幸运商店，16:新服免单商店，17:深渊商店（已废弃）20:战队商店，21:神官商店，22:纹章铭文商店 23:众神个性商店 25 全民PK赛商店，26:特武商店，27:龙玉注灵商店，28夫妻，29龙本首饰，30回流商店，32外显商店,33幻境商店，34异域商店，35:基谷休闲商店）"	商品ID（唯一即可）（异域商店根据百万和十万位来决定位置，和位置=权重的位置五关 - -！）	位置=权重	职业（0：不区分）	道具id	道具名称	1	是否珍品	消耗物品	付费限制	等级可见	优惠参数（1推荐；2打折）	价格	等级条件	战力条件	每周购买次数	每日购买次数	购买次数	vip等级	竞技场排名	天梯赛积分	公会等级	赛季天数开放	本服首通副本开放购买（尚未生效）	个人首通副本开放购买	是否不绑定（默认绑定）	烹饪等级	商店页签（1伤害 2减CD 3纹身 4羽翼 5尾巴 6坐骑S 7坐骑A 8铭文 9时装 10注灵 11龙玉 12 基谷币 13坐骑 14头饰 15挂饰 16传说 17稀有）	 1 = 资源类  2 = 特殊类 3 = 特权类 0=不显示	红点提示
3	301	1=1	0	2955001	纹章	1	0	3965=3000		1=200	0=0		1	0	0	0	0	0	0	0	0						41	0	0
3	302	2=1	0	2955002	纹章	1	0	3965=3000		1=200	0=0		1	0	0	0	0	0	0	0	0						41	0	0
3	303	3=1	0	2955003	纹章	1	0	3965=3000		1=200	0=0		1	0	0	0	0	0	0	0	0						41	0	0
3	304	4=1	0	2955004	纹章	1	0	3965=3000		1=200	0=0		1	0	0	0	0	0	0	0	0						41	0	0
3	305	5=1	0	2955011	纹章	1	0	3965=3000		1=200	0=0		1	0	0	0	0	0	0	0	0						41	0	0
3	306	6=1	0	2955012	纹章	1	0	3965=3000		1=200	0=0		1	0	0	0	0	0	0	0	0						41	0	0
3	307	7=1	0	2955013	纹章	1	0	3965=3000		1=200	0=0		1	0	0	0	0	0	0	0	0						41	0	0
3	308	8=1	0	2955021	纹章	1	0	3965=3000		1=200	0=0		1	0	0	0	0	0	0	0	0						41	0	0
3	309	9=1	0	2955022	纹章	1	0	3965=3000		1=200	0=0		1	0	0	0	0	0	0	0	0						41	0	0
3	299	10=1	0	2955031	纹章	1	0	3965=3000		1=200	0=0		1	0	0	0	0	0	0	0	0						41	0	0
3	311	11=1	0	2965032	纹章	1	0	3965=3000		1=200	0=0		1	0	0	0	0	0	0	0	0						41	0	0
