	skillname	nextskill0	nextskill1	nextskill2	nextskill3	nextskill4	
	技能名称	技能1	技能2	技能3	技能4	技能5	
剑圣	start1	Player_warrior_attack_yueguangsuipian	Player_warrior_attack_sanlianzhan	Player_warrior_attack_zhonggouquan			
战神起手	start2	Player_warrior_attack_jianta	Player_warrior_shenglongzhan	Player_warrior_attack_chengjiebo			
箭神	start3	Player_archer_attack_duoduansheji	Player_archer_attack_xunjiejian	Player_archer_attack_jizhongsheji			
游侠起手	start4	Player_archer_attack_xuanfengfeitui	Player_archer_attack_duoduansheji	Player_archer_attack_kunbangsheji			
元素	start5	Player_sorceress_attack_bingjianzhu	Player_sorceress_attack_huoqiang	Player_sorceress_attack_bingci	Player_sorceress_attack_bingwu		
魔导	start6	Player_sorceress_attack_junengjiguang	Player_sorceress_attack_zhongliqiu	Player_sorceress_attack_zhaohuanheidong	Player_sorceress_attack_shangshengzhongli	Player_sorceress_attack_nengliangbaofa	Player_sorceress_attack_shikongjiasuo
贤者	start7	Player_cleric_attack_dunchong	Player_cleric_attack_shenshenglianji	Player_cleric_attack_liansuoshandian	Player_cleric_attack_qiancheng		
祭司	start8	Player_cleric_attack_shandianfengbao	Player_cleric_attack_shenshenglianji	Player_cleric_attack_liansuoshandian	Player_cleric_attack_qijizhishou		
剑圣QTE	auxiliary1	Player_warrior_gongjiyuwang	Player_warrior_qishenzhan	Player_warrior_fukongtiaozheng			
战神QTE	auxiliary2	Player_warrior_qishenzhan	Player_warrior_fukongtiaozheng	Player_warrior_douqihuti			
箭神QTE	auxiliary3	Player_warrior_gongjiyuwang	Player_warrior_chongfengzhan	Player_warrior_chongfenglianji			
游侠QTE	auxiliary4	Player_archer_attack_jishan	Player_archer_attack_qishenti	Player_archer_attack_fukongtiaozheng	Player_archer_attack_xingyunsuolian	Player_archer_attack_xuanzhuanxiaonengjian	
元素QTE	auxiliary5	Player_sorceress_attack_fanji	Player_sorceress_attack_fukongtiaozheng				
魔导QTE	auxiliary6	Player_sorceress_attack_fanji	Player_sorceress_attack_fukongtiaozheng	Player_sorceress_attack_shijianganrao			
贤者QTE	auxiliary7	Player_cleric_attack_qishenti	Player_cleric_attack_fukongtiaozheng	Player_cleric_attack_shenshengduanyan			
祭司QTE	auxiliary8	Player_cleric_attack_qishenti	Player_cleric_attack_fukongtiaozheng	Player_cleric_attack_shenshengzhiguang			
战神	Player_warrior_shenglongzhan	Player_warrior_xuanzhuanchongji	Player_warrior_attack_A1				
	Player_warrior_xuanzhuanchongji	Player_warrior_attack_gundonggongji					
	Player_warrior_attack_gundonggongji	Player_warrior_attack_chengjiebo	Player_warrior_attack_A1				
	Player_warrior_attack_jianta	Player_warrior_xuanzhuanchongji	Player_warrior_attack_A1				
剑圣	Player_warrior_attack_yueguangsuipian	Player_warrior_attack_zhimingpikan	Player_warrior_attack_sanlianzhan				
	Player_warrior_attack_sanlianzhan	Player_warrior_attack_huikanzitai					
	Player_warrior_attack_zhimingpikan	Player_warrior_attack_zhenkonglianbao	Player_warrior_attack_sanlianzhan				
	Player_warrior_attack_huikanzitai						
	Player_warrior_dash	Player_warrior_chongfengzhan					
	Player_warrior_chongfengzhan	Player_warrior_chongfenglianji					
法师	Player_sorceress_attack_bingjianzhu	Player_sorceress_attack_bingci		Player_sorceress_attack_qusan			
	Player_sorceress_attack_bingci	Player_sorceress_attack_shuangdong					
	Player_sorceress_attack_bingjianzhu	Player_sorceress_attack_huoyanfengbao	Player_sorceress_attack_bingci	Player_sorceress_attack_junengjiguang			
	Player_sorceress_attack_junengjiguang	Player_sorceress_attack_qusan					
	Player_sorceress_attack_huoqiang	Player_sorceress_attack_huoyanfengbao					
	Player_sorceress_attack_qusan	Player_sorceress_attack_liuxingyu					
	Player_sorceress_attack_zhongliqiu	Player_sorceress_attack_duyun					
弓手	Player_archer_attack_erlianshe	Player_archer_attack_junengsheji	Player_archer_attack_stand				
	Player_archer_attack_xunjiejian	Player_archer_attack_stand	Player_archer_attack_baowei	Player_archer_attack_stand			
	Player_archer_attack_qiangxuanfengtui	Player_archer_attack_xuanfengfeitui	Player_archer_attack_luoxuandaoren	Player_archer_attack_stand			
	Player_archer_attack_xuanfengfeitui	Player_archer_attack_shuangfeitui	Player_archer_attack_mihuanxinxing	Player_archer_attack_erlianshe			
	Player_archer_attack_kunbangsheji	Player_archer_attack_shuangfeitui	Player_archer_attack_stand				
	Player_archer_attack_shuangfeitui	Player_archer_attack_qiangxuanfengtui					
	Player_archer_attack_junengsheji	Player_archer_attack_qiangxuanfengtui	Player_archer_attack_xuanfengfeitui	Player_archer_attack_erlianshe			
	Player_archer_attack_shuangfeitui	Player_archer_attack_qiangxuanfengtui					
	Player_archer_attack_mofajianshi	Player_archer_attack_baowei	Player_archer_attack_jizhongsheji				
	Player_archer_attack_baowei	Player_archer_attack_jizhongsheji	Player_archer_attack_stand				
	Player_archer_attack_jizhongsheji	Player_archer_attack_erlianshe	Player_archer_attack_stand				
贤者	Player_cleric_attack_luolei	Player_cleric_attack_liansuoshandian	Player_cleric_attack_shenshenghuashen	Player_cleric_attack_qiancheng			
	Player_cleric_attack_liansuoshandian	Player_cleric_attack_luolei	Player_cleric_attack_A1	Player_cleric_attack_qiancheng			
	Player_cleric_attack_qiancheng	Player_cleric_attack_A1	Player_cleric_attack_liansuoshandian	Player_cleric_attack_shenshenghuashen			
	Player_cleric_attack_zhongji	Player_cleric_attack_A1	Player_cleric_attack_luolei				
	Player_cleric_attack_shenshenghuashen	Player_cleric_attack_A1					
	Player_cleric_attack_leishenzhichui	Player_cleric_attack_shenshengshizi	Player_cleric_attack_dunchong				
	Player_cleric_dash	Player_cleric_attack_huabuhuipo	Player_cleric_attack_A1				
	Player_cleric_dash	Player_cleric_attack_huabuxuanluo	Player_cleric_attack_A1				
祭司	Player_cleric_attack_tiantangshenpan	Player_cleric_attack_shenshengzhishou	Player_cleric_attack_shandianfengbao	Player_cleric_dash			
	Player_cleric_attack_qijizhishou	Player_cleric_attack_tiantangshenpan	Player_cleric_attack_shenshengzhichui				
	Player_cleric_attack_shenshengzhishou	Player_cleric_attack_shenshengzhichui					
	Player_cleric_attack_leibao	Player_cleric_attack_A1					
	Player_cleric_dash	Player_cleric_attack_jingshenbaopo	Player_cleric_attack_shenshengzhichui				
大冒险月光迷阵	45258	Monster_spider_attack_trap_water_greatadventure1000	Monster_spider_attack_trap_water_greatadventure4000	Monster_spider_attack_trap_water_greatadventure0004	Monster_spider_attack_trap_water_greatadventure0001	Monster_spider_attack_trap_water_greatadventure0200	
	Monster_spider_attack_trap_water_greatadventure0001	Monster_spider_attack_trap_water_greatadventure0002	Monster_spider_attack_trap_water_greatadventure0010				
	Monster_spider_attack_trap_water_greatadventure0002	Monster_spider_attack_trap_water_greatadventure0001	Monster_spider_attack_trap_water_greatadventure0003	Monster_spider_attack_trap_water_greatadventure0020			
	Monster_spider_attack_trap_water_greatadventure0003	Monster_spider_attack_trap_water_greatadventure0002	Monster_spider_attack_trap_water_greatadventure0004	Monster_spider_attack_trap_water_greatadventure0030			
	Monster_spider_attack_trap_water_greatadventure0004	Monster_spider_attack_trap_water_greatadventure0003	Monster_spider_attack_trap_water_greatadventure0040				
	Monster_spider_attack_trap_water_greatadventure0010	Monster_spider_attack_trap_water_greatadventure0020	Monster_spider_attack_trap_water_greatadventure0100	Monster_spider_attack_trap_water_greatadventure0001			
	Monster_spider_attack_trap_water_greatadventure0020	Monster_spider_attack_trap_water_greatadventure0010	Monster_spider_attack_trap_water_greatadventure0030	Monster_spider_attack_trap_water_greatadventure0200	Monster_spider_attack_trap_water_greatadventure0002		
	Monster_spider_attack_trap_water_greatadventure0030	Monster_spider_attack_trap_water_greatadventure0020	Monster_spider_attack_trap_water_greatadventure0040	Monster_spider_attack_trap_water_greatadventure0300	Monster_spider_attack_trap_water_greatadventure0003		
	Monster_spider_attack_trap_water_greatadventure0040	Monster_spider_attack_trap_water_greatadventure0030	Monster_spider_attack_trap_water_greatadventure0400	Monster_spider_attack_trap_water_greatadventure0004			
	Monster_spider_attack_trap_water_greatadventure0100	Monster_spider_attack_trap_water_greatadventure0200	Monster_spider_attack_trap_water_greatadventure1000	Monster_spider_attack_trap_water_greatadventure0010			
	Monster_spider_attack_trap_water_greatadventure0200	Monster_spider_attack_trap_water_greatadventure0100	Monster_spider_attack_trap_water_greatadventure0300	Monster_spider_attack_trap_water_greatadventure2000	Monster_spider_attack_trap_water_greatadventure0020		
	Monster_spider_attack_trap_water_greatadventure0300	Monster_spider_attack_trap_water_greatadventure0200	Monster_spider_attack_trap_water_greatadventure0400	Monster_spider_attack_trap_water_greatadventure3000	Monster_spider_attack_trap_water_greatadventure0030		
	Monster_spider_attack_trap_water_greatadventure0400	Monster_spider_attack_trap_water_greatadventure0300	Monster_spider_attack_trap_water_greatadventure4000	Monster_spider_attack_trap_water_greatadventure0040			
	Monster_spider_attack_trap_water_greatadventure1000	Monster_spider_attack_trap_water_greatadventure2000	Monster_spider_attack_trap_water_greatadventure0100				
	Monster_spider_attack_trap_water_greatadventure2000	Monster_spider_attack_trap_water_greatadventure1000	Monster_spider_attack_trap_water_greatadventure3000	Monster_spider_attack_trap_water_greatadventure0200			
	Monster_spider_attack_trap_water_greatadventure3000	Monster_spider_attack_trap_water_greatadventure2000	Monster_spider_attack_trap_water_greatadventure4000	Monster_spider_attack_trap_water_greatadventure0300			
	Monster_spider_attack_trap_water_greatadventure4000	Monster_spider_attack_trap_water_greatadventure3000	Monster_spider_attack_trap_water_greatadventure0400				
守护者巢穴活动副本	110901		Monster_spider_black_attack_venom_nest4000	Monster_spider_black_attack_venom_nest1000	Monster_spider_black_attack_venom_nest0001	Monster_spider_black_attack_venom_nest0004	
	Monster_spider_black_attack_venom_nest0001		Monster_spider_black_attack_venom_nest0010	Monster_spider_black_attack_venom_nest0002			
	Monster_spider_black_attack_venom_nest0002		Monster_spider_black_attack_venom_nest0001	Monster_spider_black_attack_venom_nest0003	Monster_spider_black_attack_venom_nest0020		
	Monster_spider_black_attack_venom_nest0003		Monster_spider_black_attack_venom_nest0002	Monster_spider_black_attack_venom_nest0004	Monster_spider_black_attack_venom_nest0030		
	Monster_spider_black_attack_venom_nest0004		Monster_spider_black_attack_venom_nest0003	Monster_spider_black_attack_venom_nest0040			
	Monster_spider_black_attack_venom_nest0010		Monster_spider_black_attack_venom_nest0001	Monster_spider_black_attack_venom_nest0100	Monster_spider_black_attack_venom_nest0020		
	Monster_spider_black_attack_venom_nest0020		Monster_spider_black_attack_venom_nest0010	Monster_spider_black_attack_venom_nest0002	Monster_spider_black_attack_venom_nest0200	Monster_spider_black_attack_venom_nest0030	
	Monster_spider_black_attack_venom_nest0030		Monster_spider_black_attack_venom_nest0020	Monster_spider_black_attack_venom_nest0040	Monster_spider_black_attack_venom_nest0003	Monster_spider_black_attack_venom_nest0300	
	Monster_spider_black_attack_venom_nest0040		Monster_spider_black_attack_venom_nest0030	Monster_spider_black_attack_venom_nest0400	Monster_spider_black_attack_venom_nest0004		
	Monster_spider_black_attack_venom_nest0100		Monster_spider_black_attack_venom_nest0200	Monster_spider_black_attack_venom_nest0010	Monster_spider_black_attack_venom_nest1000		
	Monster_spider_black_attack_venom_nest0200		Monster_spider_black_attack_venom_nest0100	Monster_spider_black_attack_venom_nest0300	Monster_spider_black_attack_venom_nest0020	Monster_spider_black_attack_venom_nest2000	
	Monster_spider_black_attack_venom_nest0300		Monster_spider_black_attack_venom_nest0200	Monster_spider_black_attack_venom_nest0400	Monster_spider_black_attack_venom_nest3000	Monster_spider_black_attack_venom_nest0030	
	Monster_spider_black_attack_venom_nest0400		Monster_spider_black_attack_venom_nest0300	Monster_spider_black_attack_venom_nest4000	Monster_spider_black_attack_venom_nest0040		
	Monster_spider_black_attack_venom_nest1000		Monster_spider_black_attack_venom_nest2000	Monster_spider_black_attack_venom_nest0100			
	Monster_spider_black_attack_venom_nest2000		Monster_spider_black_attack_venom_nest1000	Monster_spider_black_attack_venom_nest3000	Monster_spider_black_attack_venom_nest0200		
	Monster_spider_black_attack_venom_nest3000		Monster_spider_black_attack_venom_nest2000	Monster_spider_black_attack_venom_nest4000	Monster_spider_black_attack_venom_nest0300		
	Monster_spider_black_attack_venom_nest4000		Monster_spider_black_attack_venom_nest3000	Monster_spider_black_attack_venom_nest0400			
守护者(大秘境)	87814		Monster_spider_black_attack_venom_nest4000	Monster_spider_black_attack_venom_nest1000	Monster_spider_black_attack_venom_nest0001	Monster_spider_black_attack_venom_nest0004	
