SkillEffectID	SkillName	SkillScript	Profession	ActivationStyle	ActivationContent	SuitName	FxPath	FlyFxPath	ExplodeFxPath	ChildEffectId
技能特效ID	技能特效名字	技能名称	职业（大职业-小职业），子技能的不填或者填0	激活方式（1：道具激活 2：齐集装备激活）	激活内容（ID=num）	套装名字	特效路径	飞行特效	爆炸特效	子技能特效列表，用于组合技能。不填或者0： 表示此为一个非组合技能
1	巨型炸弹·森林奥义	Player_warrior_attack_juxingzhadan	21	2	19196600=1|19196601=1|19196602=1|19196603=1|19196604=1|19196605=1|19196606=1	传奇·森林龙装备	Effects/High_Resources/Prefabs/Warrior/Player_warrior_attack_juxingzhadan_Clip01=Effects/High_Resources/Prefabs/Warrior/Player_warrior_attack_juxingzhadan_Clip01_01|Effects/High_Resources/Prefabs/Warrior/Player_warrior_attack_juxingzhadan_Clip02=Effects/High_Resources/Prefabs/Warrior/Player_warrior_attack_juxingzhadan_Clip02_01|Effects/High_Resources/Prefabs/Warrior/Player_warrior_attack_juxingzhadan_Clip03=Effects/High_Resources/Prefabs/Warrior/Player_warrior_attack_juxingzhadan_Clip03_01			
2	台风·森林奥义	Player_warrior_attack_taifeng	21	2	19196600=1|19196601=1|19196602=1|19196603=1|19196604=1|19196605=1|19196606=1	传奇·森林龙装备	Effects/High_Resources/Prefabs/Warrior/Player_warrior_attack_taifeng_Clip01=Effects/High_Resources/Prefabs/Warrior/Player_warrior_attack_taifeng_Clip01_01|Effects/High_Resources/Prefabs/Warrior/Player_warrior_attack_taifeng_Clip02=Effects/High_Resources/Prefabs/Warrior/Player_warrior_attack_taifeng_Clip02_01|Effects/High_Resources/Prefabs/Warrior/Player_warrior_attack_taifeng_Clip03=Effects/High_Resources/Prefabs/Warrior/Player_warrior_attack_taifeng_Clip03_01|Effects/High_Resources/Prefabs/Warrior/Player_warrior_attack_taifeng_Clip04=Effects/High_Resources/Prefabs/Warrior/Player_warrior_attack_taifeng_Clip04_01			
3	无限之刃·森林奥义	Player_warrior_attack_wuxianzhiren	11	2	19196600=1|19196601=1|19196602=1|19196603=1|19196604=1|19196605=1|19196606=1	传奇·森林龙装备	Effects/FX_Particle/Roles/Lzg_zhanshi/zhanshi_attack_EX1=Effects/FX_Particle/Roles/Lzg_zhanshi/zhanshi_attack_EX1_Clip01_01|Effects/FX_Particle/Roles/Lzg_zhanshi/zhanshi_attack_xuli=Effects/FX_Particle/Roles/Lzg_zhanshi/zhanshi_attack_xuli_Clip01_01|Effects/FX_Particle/Roles/Lzg_zhanshi/zhanshi_attack_EX1_02=Effects/FX_Particle/Roles/Lzg_zhanshi/zhanshi_attack_EX1_02_Clip01_01|Effects/FX_Particle/Roles/Lzg_zhanshi/zhanshi_attack_b4_02=Effects/FX_Particle/Roles/Lzg_zhanshi/zhanshi_attack_b4_02_Clip01_01|Effects/FX_Particle/Roles/Lzg_zhanshi/zhanshi_attack_b4_01=Effects/FX_Particle/Roles/Lzg_zhanshi/zhanshi_attack_b4_01_Clip01_01|Effects/FX_Particle/Roles/Lzg_zhanshi/zhanshi_attack_EX1_04=Effects/FX_Particle/Roles/Lzg_zhanshi/zhanshi_attack_EX1_04Clip01_01|Effects/FX_Particle/Roles/Lzg_zhanshi/ZJ_attack_wuxianzhiren_Ray=Effects/FX_Particle/Roles/Lzg_zhanshi/ZJ_attack_wuxianzhiren_Ray_Clip01_01			
4	真空连爆·森林奥义	Player_warrior_attack_zhenkonglianbao	11	2	19196600=1|19196601=1|19196602=1|19196603=1|19196604=1|19196605=1|19196606=1	传奇·森林龙装备	Effects/FX_Particle/Roles/Lzg_zhanshi/zhanshi_attack_EX3_01=Effects/FX_Particle/Roles/Lzg_zhanshi/zhanshi_attack_EX3_01_Clip01_01|Effects/FX_Particle/Roles/Lzg_zhanshi/zhanshi_attack_EX3_02=Effects/FX_Particle/Roles/Lzg_zhanshi/zhanshi_attack_EX3_02_Clip01_01|Effects/High_Resources/Prefabs/Warrior/Player_warrior_attack_zhenkonglianbao_Clip01=Effects/High_Resources/Prefabs/Warrior/Player_warrior_attack_zhenkonglianbao_Clip01_01			
5	觉醒.黑暗之刃·森林奥义	Player_warrior_attack_heianzhiren	31	2	19196600=1|19196601=1|19196602=1|19196603=1|19196604=1|19196605=1|19196606=1	传奇·森林龙装备	Effects/High_Resources/Prefabs/Warrior/Player_warrior_attack_heianzhiren_Clip01=Effects/High_Resources/Prefabs/Warrior/Player_warrior_attack_heianzhiren_Clip01_01|Effects/High_Resources/Prefabs/Warrior/Player_warrior_attack_heianzhiren_Clip02=Effects/High_Resources/Prefabs/Warrior/Player_warrior_attack_heianzhiren_Clip02_01|Effects/High_Resources/Prefabs/Warrior/Player_warrior_attack_heianzhiren_Clip03=Effects/High_Resources/Prefabs/Warrior/Player_warrior_attack_heianzhiren_Clip03_01|Effects/High_Resources/Prefabs/Warrior/Player_warrior_attack_heianzhiren_Clip04=Effects/High_Resources/Prefabs/Warrior/Player_warrior_attack_heianzhiren_Clip04_01			
6	迅矢连射·森林奥义	Player_archer_attack_xunshilianshe	12	2	19296600=1|19296601=1|19296602=1|19296603=1|19296604=1|19296605=1|19296606=1	传奇·森林龙装备	Effects/FX_Particle/Roles/Archer/Ar_attack_EX2=Effects/FX_Particle/Roles/Archer/Ar_attack_EX2_Clip01_01			
7	箭术革命·森林奥义	Player_archer_attack_jianshugeming	12	2	19296600=1|19296601=1|19296602=1|19296603=1|19296604=1|19296605=1|19296606=1	传奇·森林龙装备	Effects/FX_Particle/Roles/Archer/Ar_Skill06_Clip01=Effects/FX_Particle/Roles/Archer/Ar_Skill06_Clip01_01|Effects/FX_Particle/Roles/Archer/Ar_Skill06_Clip02=Effects/FX_Particle/Roles/Archer/Ar_Skill06_Clip02_01|Effects/FX_Particle/Roles/Archer/Ar_Skill06_Clip04=Effects/FX_Particle/Roles/Archer/Ar_Skill06_Clip04_01|Effects/FX_Particle/Roles/Archer/Ar_Skill06_Clip05=Effects/FX_Particle/Roles/Archer/Ar_Skill06_Clip05_01|Effects/FX_Particle/Roles/Archer/Ar_Skill06_Clip06=Effects/FX_Particle/Roles/Archer/Ar_Skill06_Clip06_01|Effects/FX_Particle/Roles/Archer/Ar_Skill06_Clip07=Effects/FX_Particle/Roles/Archer/Ar_Skill06_Clip07_01	Prefabs/Bullets/Ar_Skill06_Clip03_Track=Prefabs/Bullets/Ar_Skill06_Clip03_Track_Clip01_01	Effects/FX_Particle/Roles/Archer/Ar_Skill06_Clip03_Track_end=Effects/FX_Particle/Roles/Archer/Ar_Skill06_Clip03_Track_end_Clip01_01	
8	迷幻新星·森林奥义	Player_archer_attack_mihuanxinxing	22	2	19296600=1|19296601=1|19296602=1|19296603=1|19296604=1|19296605=1|19296606=1	传奇·森林龙装备	Effects/FX_Particle/Roles/Archer/Ar_Skill04_Clip01=Effects/FX_Particle/Roles/Archer/Ar_Skill04_Clip01_01|Effects/FX_Particle/Roles/Archer/Player_archer_attack_mihuanxinxing_Clip02=Effects/FX_Particle/Roles/Archer/Player_archer_attack_mihuanxinxing_Clip02_01|Effects/FX_Particle/Roles/Archer/Ar_Skill04_Clip03=Effects/FX_Particle/Roles/Archer/Ar_Skill04_Clip03_01|Effects/FX_Particle/Roles/Archer/Player_archer_attack_mihuanxinxing_Clip01=Effects/FX_Particle/Roles/Archer/Player_archer_attack_mihuanxinxing_Clip01_01|Effects/FX_Particle/Roles/Archer/Ar_Skill04_Clip06=Effects/FX_Particle/Roles/Archer/Ar_Skill04_Clip06_01|Effects/FX_Particle/Roles/Archer/Ar_Skill04_Clip07=Effects/FX_Particle/Roles/Archer/Ar_Skill04_Clip07_01			
9	螺旋刀刃·森林奥义	Player_archer_attack_luoxuandaoren	22	2	19296600=1|19296601=1|19296602=1|19296603=1|19296604=1|19296605=1|19296606=1	传奇·森林龙装备	Effects/FX_Particle/Roles/Archer/Ar_luoxuandaoren_Clip01=Effects/FX_Particle/Roles/Archer/Ar_luoxuandaoren_Clip01_01|Effects/FX_Particle/Roles/Archer/Ar_luoxuandaoren_Clip03=Effects/FX_Particle/Roles/Archer/Ar_luoxuandaoren_Clip03_01|Effects/High_Resources/Prefabs/Archer/Player_archer_attack_luoxuandaoren_Clip02=Effects/High_Resources/Prefabs/Archer/Player_archer_attack_luoxuandaoren_Clip02_01			
10	圣弩之境·森林奥义	Player_archer_attack_shengnuzhijing	32	2	19296600=1|19296601=1|19296602=1|19296603=1|19296604=1|19296605=1|19296606=1	传奇·森林龙装备	Effects/High_Resources/Prefabs/Archer/Player_archer_attack_shengnuzhijing_Clip01=Effects/High_Resources/Prefabs/Archer/Player_archer_attack_shengnuzhijing_Clip01_Red|Effects/High_Resources/Prefabs/Archer/Player_archer_attack_shengnuzhijing_Clip02=Effects/High_Resources/Prefabs/Archer/Player_archer_attack_shengnuzhijing_Clip02_Red|Effects/High_Resources/Prefabs/Archer/Player_archer_attack_shengnuzhijing_Clip03=Effects/High_Resources/Prefabs/Archer/Player_archer_attack_shengnuzhijing_Clip03_Red|Effects/High_Resources/Prefabs/Archer/Player_archer_attack_shengnuzhijing_Clip04=Effects/High_Resources/Prefabs/Archer/Player_archer_attack_shengnuzhijing_Clip04_Red|Effects/High_Resources/Prefabs/Archer/Player_archer_attack_shengnuzhijing_Clip05=Effects/High_Resources/Prefabs/Archer/Player_archer_attack_shengnuzhijing_Clip05_Red|Effects/High_Resources/Prefabs/Archer/Player_archer_attack_shengnuzhijing_Clip06=Effects/High_Resources/Prefabs/Archer/Player_archer_attack_shengnuzhijing_Clip06_Red|Effects/High_Resources/Prefabs/Archer/Player_archer_attack_jufengkuangshe_air_Clip01=Effects/High_Resources/Prefabs/Archer/Player_archer_attack_jufengkuangshe_air_Clip01_Red|Effects/High_Resources/Prefabs/Archer/Player_archer_attack_jufengkuangshe_air_Clip02=Effects/High_Resources/Prefabs/Archer/Player_archer_attack_jufengkuangshe_air_Clip02_Red|Effects/High_Resources/Prefabs/Archer/Player_archer_attack_jufengkuangshe_air_Clip03=Effects/High_Resources/Prefabs/Archer/Player_archer_attack_jufengkuangshe_air_Clip03_Red|Effects/High_Resources/Prefabs/Archer/Player_archer_attack_shunjianhuibi_next_Clip04=Effects/High_Resources/Prefabs/Archer/Player_archer_attack_shunjianhuibi_next_Clip04_Red	Prefabs/Bullets/Player_archer_attack_shengnuzhijing_Clip05=Prefabs/Bullets/Player_archer_attack_shengnuzhijing_Clip05_Red	Prefabs/Bullets/Player_archer_attack_shengnuzhijing_Clip06=Prefabs/Bullets/Player_archer_attack_shengnuzhijing_Clip06_Red	
11	火焰风暴·森林奥义	Player_sorceress_attack_huoyanfengbao	13	2	19396600=1|19396601=1|19396602=1|19396603=1|19396604=1|19396605=1|19396606=1	传奇·森林龙装备	Effects/High_Resources/Prefabs/Soceress/Player_sorceress_attack_huoyanfengbao_Clip01=Effects/High_Resources/Prefabs/Soceress/Player_sorceress_attack_huoyanfengbao_Clip01_Blue|Effects/High_Resources/Prefabs/Soceress/Player_sorceress_attack_huoyanfengbao_Clip02=Effects/High_Resources/Prefabs/Soceress/Player_sorceress_attack_huoyanfengbao_Clip02_Blue			
12	暴风雪·森林奥义	Player_sorceress_attack_baofengxue	13	2	19396600=1|19396601=1|19396602=1|19396603=1|19396604=1|19396605=1|19396606=1	传奇·森林龙装备	Effects/High_Resources/Prefabs/Soceress/Player_sorceress_attack_baofengxue_Clip01=Effects/High_Resources/Prefabs/Soceress/Player_sorceress_attack_baofengxue_Clip01_Golden|Effects/High_Resources/Prefabs/Soceress/Player_sorceress_attack_baofengxue_Clip02=Effects/High_Resources/Prefabs/Soceress/Player_sorceress_attack_baofengxue_Clip02_Golden|Effects/High_Resources/Prefabs/Soceress/Player_sorceress_attack_baofengxue_Clip03=Effects/High_Resources/Prefabs/Soceress/Player_sorceress_attack_baofengxue_Clip03_Golden			
13	流星雨·森林奥义	Player_sorceress_attack_liuxingyu	23	2	19396600=1|19396601=1|19396602=1|19396603=1|19396604=1|19396605=1|19396606=1	传奇·森林龙装备	Effects/High_Resources/Prefabs/Soceress/Player_sorceress_attack_liuxingyu_Clip01=Effects/High_Resources/Prefabs/Soceress/Player_sorceress_attack_liuxingyu_Clip01_Darkred|Effects/High_Resources/Prefabs/Soceress/Player_sorceress_attack_liuxingyu_Clip02=Effects/High_Resources/Prefabs/Soceress/Player_sorceress_attack_liuxingyu_Clip02_Darkred|Effects/High_Resources/Prefabs/Soceress/Player_sorceress_attack_liuxingyu_Clip03=Effects/High_Resources/Prefabs/Soceress/Player_sorceress_attack_liuxingyu_Clip03_Darkred|Effects/High_Resources/Prefabs/Soceress/Player_sorceress_attack_liuxingyu_Clip04=Effects/High_Resources/Prefabs/Soceress/Player_sorceress_attack_liuxingyu_Clip04_Darkred			
14	驱散·森林奥义	Player_sorceress_attack_qusan	23	2	19396600=1|19396601=1|19396602=1|19396603=1|19396604=1|19396605=1|19396606=1	传奇·森林龙装备	Effects/High_Resources/Prefabs/Soceress/Player_sorceress_attack_qusan_Clip01=Effects/High_Resources/Prefabs/Soceress/Player_sorceress_attack_qusan_Clip01_Darkred|Effects/High_Resources/Prefabs/Soceress/Player_sorceress_attack_qusan_Clip02=Effects/High_Resources/Prefabs/Soceress/Player_sorceress_attack_qusan_Clip02_Darkred|Effects/High_Resources/Prefabs/Soceress/Player_sorceress_attack_qusan_Clip03=Effects/High_Resources/Prefabs/Soceress/Player_sorceress_attack_qusan_Clip03_Darkred			
15	雷神之锤·森林奥义	Player_cleric_attack_leishenzhichui	14	2	19496600=1|19496601=1|19496602=1|19496603=1|19496604=1|19496605=1|19496606=1	传奇·森林龙装备	Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_leishenzhichui_Clip01=Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_leishenzhichui_Clip01_Red|Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_leishenzhichui_Clip02=Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_leishenzhichui_Clip02_Red|Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_leishenzhichui_Clip03=Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_leishenzhichui_Clip03_Red			
16	神圣化身·森林奥义	Player_cleric_attack_shenshenghuashen	14	2	19496600=1|19496601=1|19496602=1|19496603=1|19496604=1|19496605=1|19496606=1	传奇·森林龙装备	Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_shenshenghuashen_Clip02=Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_shenshenghuashen_Clip02_Red|Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_shenshenghuashen_Clip03=Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_shenshenghuashen_Clip03_Red|Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_shenshenghuashen_Clip04=Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_shenshenghuashen_Clip04_Red			
17	天堂审判·森林奥义	Player_cleric_attack_tiantangshenpan	24	2	19496600=1|19496601=1|19496602=1|19496603=1|19496604=1|19496605=1|19496606=1	传奇·森林龙装备	Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_tiantangshenpan_Clip01=Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_tiantangshenpan_Clip01_1|Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_tiantangshenpan_Clip02=Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_tiantangshenpan_Clip02_1|Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_tiantangshenpan_Clip03=Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_tiantangshenpan_Clip03_1			
18	奇迹之手·森林奥义	Player_cleric_attack_qijizhishou	24	2	19496600=1|19496601=1|19496602=1|19496603=1|19496604=1|19496605=1|19496606=1	传奇·森林龙装备	Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_qijizhishou_Clip01=Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_qijizhishou_Clip01_1|Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_qijizhishou_Clip02=Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_qijizhishou_Clip02_1|Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_qijizhishou_Clip03=Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_qijizhishou_Clip03_1			
