EmblemID	SkillScript	SkillName	ExSkillScript	OtherSkillScripts	SkillType	SkillPercent	SkillPPT	ChangeProfReplaceItem				
纹章编号	技能名称	技能名称	对应的EX技能	对应绑定的技能	技能类型(1:增加伤害，2：减cd）	技能效果（百分比）	增加战力	转职业更换物品（不填就是不更换）	职业备注	等级备注	品质备注	
30086612	召唤摄魂怪（冷却）	Player_academic_attack_zhaohuanshehunguai			2	20	1000		学者		1	召唤摄魂怪（冷却）
30188212	摧毁（冷却）	Player_academic_attack_cuihui			2	20	1000		工程师		1	摧毁（冷却）
30189212	天际（冷却）	Player_academic_attack_tianji			2	20	1000		工程师		1	天际（冷却）
30188312	乒乓爆栗（冷却）	Player_academic_attack_pingpangbaoli	Player_academic_attack_pingpangbaoli_ex		2	20	1000		工程师		1	乒乓爆栗（冷却）
30188412	加农爆破筒（冷却）	Player_academic_attack_jianongbaopotong	Player_academic_attack_jianongbaopotong_ex		2	20	1000		工程师		1	加农爆破筒（冷却）
30188512	脑电波投射（冷却）	Player_academic_attack_naodianbotoushe	Player_academic_attack_naodianbotoushe_ex		2	20	1000		工程师		1	脑电波投射（冷却）
30188712	生化导弹（冷却）	Player_academic_attack_shenghuadaodan	Player_academic_attack_shenghuadaodan_ex		2	20	1000		工程师		1	生化导弹（冷却）
30188812	重磅鸭（冷却）	Player_academic_attack_zhongbangya	Player_academic_attack_zhongbangya_ex		2	20	1000		工程师		1	重磅鸭（冷却）
30189512	化学手榴弹（冷却）	Player_academic_attack_huaxueshouliudan			2	20	1000		工程师		1	化学手榴弹（冷却）
30189712	乾坤大挪移（冷却）	Player_academic_buff_qiankundanuoyi			2	20	1000		工程师		1	乾坤大挪移（冷却）
30189812	寒冰喷射塔（冷却）	Player_academic_attack_hanbingpensheta			2	20	1000		工程师		1	寒冰喷射塔（冷却）
30292812	冰柱释放（冷却）	Player_academic_attack_bingzhushifang			2	20	1000		炼金术士		1	冰柱释放（冷却）
30293912	毒池（冷却）	Player_academic_attack_duchi			2	20	1000		炼金术士		1	毒池（冷却）
30292912	岩浆戳刺（冷却）	Player_academic_attack_yanjiangchuoci	Player_academic_attack_yanjiangchuoci_ex		2	20	1000		炼金术士		1	岩浆戳刺（冷却）
30293012	寒冰戳刺（冷却）	Player_academic_attack_hanbingchuoci	Player_academic_attack_hanbingchuoci_ex		2	20	1000		炼金术士		1	寒冰戳刺（冷却）
30293112	岩浆墙（冷却）	Player_academic_attack_yanjiangqiang	Player_academic_attack_yanjiangqiang_ex		2	20	1000		炼金术士		1	岩浆墙（冷却）
30293312	岩浆波流（冷却）	Player_academic_attack_yanjiangboliu	Player_academic_attack_yanjiangboliu_ex		2	20	1000		炼金术士		1	岩浆波流（冷却）
30293412	喷射（冷却）	Player_academic_attack_penshe	Player_academic_attack_penshe_ex		2	20	1000		炼金术士		1	喷射（冷却）
30293612	疾病（冷却）	Player_academic_attack_jibing	Player_academic_attack_jibing_ex		2	20	1000		炼金术士		1	疾病（冷却）
30293712	毒气聚能（冷却）	Player_academic_attack_duqijuneng	Player_academic_attack_duqijuneng_ex		2	20	1000		炼金术士		1	毒气聚能（冷却）
