Level	RedPointShowNum
等级	剩余技能点超过X显示红点
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	3
21	7
22	9
23	14
24	15
25	7
26	9
27	12
28	9
29	10
30	9
31	9
32	1
33	4
34	9
35	5
36	1
37	1
38	1
39	4
40	0
41	1
42	3
43	3
44	3
45	4
46	9
47	6
48	9
49	14
50	8
51	10
52	10
53	15
54	20
55	25
56	26
57	27
58	28
59	29
60	30
61	31
62	32
63	33
64	34
65	35
66	36
67	37
68	38
69	39
70	40
71	41
72	42
73	43
74	44
75	45
76	46
77	47
78	48
79	49
80	50
81	51
82	52
83	53
84	54
85	55
86	56
87	57
88	58
89	59
90	60
91	61
92	62
93	63
94	64
95	65
96	66
97	67
98	68
99	69
100	70
101	70
102	70
103	70
104	70
105	70
106	70
107	70
108	70
109	70
110	70
111	70
112	70
113	70
114	70
115	70
116	70
117	70
118	70
119	70
120	70
121	70
122	70
123	70
124	70
125	70
126	70
127	70
128	70
129	70
130	70
131	70
132	70
133	70
134	70
135	70
136	70
137	70
138	70
139	70
140	70
141	70
142	70
143	70
144	70
145	70
146	70
147	70
148	70
149	70
150	70
151	70
152	70
153	70
154	70
155	70
156	70
157	70
158	70
159	70
160	70
161	70
162	70
163	70
164	70
165	70
166	70
167	70
168	70
169	70
170	70
171	70
172	70
173	70
174	70
175	70
176	70
177	70
178	70
179	70
180	70
181	70
182	70
183	70
184	70
185	70
186	70
187	70
188	70
189	70
190	70
191	70
192	70
193	70
194	70
195	70
196	70
197	70
198	70
199	70
200	70
