point	time	span
胜点	超时时间(s)<	胜点差
0=1500	30	100
1501=1560	30	100
1561=1650	45	100
1651=1700	30	150
1701=1800	15	100
1701=1800	30	200
1800=1899	15	100
1800=1899	30	200
1900=1999	15	100
1900=1999	30	200
2000=2099	15	100
2000=2099	30	200
2100=2199	15	100
2100=2199	30	200
2200=2299	15	100
2200=2299	30	200
2300=2399	15	100
2300=2399	30	200
2400=2499	15	100
2400=2499	30	200
2500=2599	15	100
2500=2599	30	200
2600=2699	15	100
2600=2699	30	200
2700=2799	15	100
2700=2799	30	200
2800=2899	15	100
2800=2899	30	200
2900=2999	15	100
2900=2999	30	200
3000=3099	15	100
3000=3099	30	200
3100=3199	15	100
3100=3199	30	200
3200=3299	15	100
3200=3299	30	200
3300=3399	15	100
3300=3399	30	200
3400=3499	15	100
3400=3499	30	200
3500=3599	15	100
3500=3599	30	200
3600=3699	15	100
3600=3699	30	200
3700=3799	15	100
3700=3799	30	200
3800=3899	15	100
3800=3899	30	200
3900=3999	15	100
3900=3999	30	200
4000=4099	15	100
4000=4099	30	200
4100=4199	15	100
4100=4199	30	200
4200=4299	15	100
4200=4299	30	200
4300=4399	15	100
4300=4399	30	200
4400=4499	15	100
4400=4499	30	200
4500=4599	15	100
4500=4599	30	200
4600=4699	15	100
4600=4699	30	200
4700=4799	15	100
4700=4799	30	200
4800=4899	15	100
4800=4899	30	200
4900=4999	15	100
4900=4999	30	200
5000=5099	15	100
5000=5099	30	200
5100=5199	15	100
5100=5199	30	200
5200=5299	15	100
5200=5299	30	200
5300=5399	15	100
5300=5399	30	200
5400=5499	15	100
5400=5499	30	200
5500=5599	15	100
5500=5599	30	200
5600=5699	15	100
5600=5699	30	200
5700=5799	15	100
5700=5799	30	200
5800=5899	15	100
5800=5899	30	200
5900=5999	15	100
5900=5999	30	200
6000=6099	15	100
6000=6099	30	200
6100=6199	15	100
6100=6199	30	200
6200=6299	15	100
6200=6299	30	200
6300=6399	15	100
6300=6399	30	200
6400=6499	15	100
6400=6499	30	200
6500=6599	15	100
6500=6599	30	200
6600=6699	15	100
6600=6699	30	200
6700=6799	15	100
6700=6799	30	200
6800=6899	15	100
6800=6899	30	200
6900=6999	15	100
6900=6999	30	200
7000=7099	15	100
7000=7099	30	200
7100=7199	15	100
7100=7199	30	200
7200=7299	15	100
7200=7299	30	200
7300=7399	15	100
7300=7399	30	200
7400=7499	15	100
7400=7499	30	200
7500=7599	15	100
7500=7599	30	200
7600=7699	15	100
7600=7699	30	200
7700=7799	15	100
7700=7799	30	200
7800=7899	15	100
7800=7899	30	200
7900=7999	15	100
7900=7999	30	200
8000=8099	15	100
8000=8099	30	200
8100=8199	15	100
8100=8199	30	200
8200=8299	15	100
8200=8299	30	200
8300=8399	15	100
8300=8399	30	200
8400=8499	15	100
8400=8499	30	200
8500=8599	15	100
8500=8599	30	200
8600=8699	15	100
8600=8699	30	200
8700=8799	15	100
8700=8799	30	200
8800=8899	15	100
8800=8899	30	200
8900=8999	15	100
8900=8999	30	200
9000=9099	15	100
9000=9099	30	200
9100=9199	15	100
9100=9199	30	200
9200=9299	15	100
9200=9299	30	200
9300=9399	15	100
9300=9399	30	200
9400=9499	15	100
9400=9499	30	200
9500=9599	15	100
9500=9599	30	200
9600=9699	15	100
9600=9699	30	200
9700=9799	15	100
9700=9799	30	200
9800=9899	15	100
9800=9899	30	200
9900=9999	15	100
9900=9999	30	200
