min	max	winK	loseK
区间下限	区间上限	胜者K	负者K
0	1500	30	20
1501	1600	25	15
1601	1700	25	15
1701	1800	25	15
1801	1900	25	15
1901	2000	25	15
2001	2100	25	20
2101	2200	25	20
2201	2300	25	25
2301	2400	25	25
2401	2500	25	25
2501	2600	25	25
2601	2700	25	30
2701	2800	25	30
2801	2900	25	30
2901	3000	25	30
3001	3100	25	30
3101	3200	25	35
3201	3300	25	35
3301	3400	25	35
3401	3500	25	35
3501	3600	25	40
3601	3700	25	40
3701	3800	25	40
3801	3900	25	40
3901	4000	25	40
4001	4100	25	45
4101	4200	25	45
4201	4300	25	45
4301	4400	25	45
4401	4500	25	45
4501	4600	25	50
4601	4700	25	50
4701	4800	25	50
4801	4900	25	50
4901	5000	25	50
