slotlevel	cost	special	sloth	sloty	slotk	slots	slotx	slotw	slotf	slotn	slote	slotj
等级	花费	是否需要特殊道具	头部每级所加属性	衣服	裤子	手	鞋子	武器	副手	项链	耳环	戒指
1	1=200	0	13=40	13=40	13=40	12=1	12=1	11=3	11=3	12=1	12=1	11=3
2	1=276	0	13=40	13=40	13=40	12=1	12=1	11=3	11=3	12=1	12=1	11=3
3	1=354	0	13=40	13=40	13=40	12=1	12=1	11=3	11=3	12=1	12=1	11=3
4	1=436	0	13=40	13=40	13=40	12=1	12=1	11=3	11=3	12=1	12=1	11=3
5	1=520	0	13=40	13=40	13=40	12=1	12=1	11=3	11=3	12=1	12=1	11=3
6	1=610	0	13=40	13=40	13=40	12=1	12=1	11=3	11=3	12=1	12=1	11=3
7	1=704	0	13=40	13=40	13=40	12=1	12=1	11=3	11=3	12=1	12=1	11=3
8	1=802	0	13=40	13=40	13=40	12=1	12=1	11=3	11=3	12=1	12=1	11=3
9	1=904	0	13=40	13=40	13=40	12=1	12=1	11=3	11=3	12=1	12=1	11=3
10	1=1000	0	13=40	13=40	13=40	12=1	12=1	11=3	11=3	12=1	12=1	11=3
11	1=1122	0	13=40	13=40	13=40	12=1	12=1	11=3	11=3	12=1	12=1	11=3
12	1=1238	0	13=240	13=240	13=240	12=6	12=6	11=15	11=15	12=6	12=6	11=15
13	1=1360	0	13=240	13=240	13=240	12=6	12=6	11=15	11=15	12=6	12=6	11=15
14	1=1486	0	13=240	13=240	13=240	12=6	12=6	11=15	11=15	12=6	12=6	11=15
15	1=1620	0	13=240	13=240	13=240	12=6	12=6	11=15	11=15	12=6	12=6	11=15
16	1=1758	0	13=240	13=240	13=240	12=6	12=6	11=15	11=15	12=6	12=6	11=15
17	1=1904	0	13=240	13=240	13=240	12=6	12=6	11=15	11=15	12=6	12=6	11=15
18	1=2056	0	13=240	13=240	13=240	12=6	12=6	11=15	11=15	12=6	12=6	11=15
19	1=2214	0	13=240	13=240	13=240	12=6	12=6	11=15	11=15	12=6	12=6	11=15
20	1=10000	1	13=720	13=720	13=720	12=18	12=18	11=45	11=45	12=18	12=18	11=30
21	1=2806	0	13=320	13=320	13=320	12=8	12=8	11=20	11=20	12=8	12=8	11=20
22	1=3006	0	13=320	13=320	13=320	12=8	12=8	11=20	11=20	12=8	12=8	11=20
23	1=3214	0	13=320	13=320	13=320	12=8	12=8	11=20	11=20	12=8	12=8	11=20
24	1=3432	0	13=320	13=320	13=320	12=8	12=8	11=20	11=20	12=8	12=8	11=20
25	1=3658	0	13=320	13=320	13=320	12=8	12=8	11=20	11=20	12=8	12=8	11=20
26	1=3896	0	13=320	13=320	13=320	12=8	12=8	11=20	11=20	12=8	12=8	11=20
27	1=4144	0	13=320	13=320	13=320	12=8	12=8	11=20	11=20	12=8	12=8	11=20
28	1=4404	0	13=320	13=320	13=320	12=8	12=8	11=20	11=20	12=8	12=8	11=20
29	1=4674	0	13=320	13=320	13=320	12=8	12=8	11=20	11=20	12=8	12=8	11=20
30	62=1|1=10000	1	13=960	13=960	13=960	12=24	12=24	11=60	11=60	12=24	12=24	11=30
31	1=5252	0	13=320	13=320	13=320	12=8	12=8	11=20	11=20	12=8	12=8	11=20
32	1=5560	0	13=320	13=320	13=320	12=8	12=8	11=20	11=20	12=8	12=8	11=20
33	1=5884	0	13=320	13=320	13=320	12=8	12=8	11=20	11=20	12=8	12=8	11=20
34	1=6220	0	13=320	13=320	13=320	12=8	12=8	11=20	11=20	12=8	12=8	11=20
35	1=6574	0	13=320	13=320	13=320	12=8	12=8	11=20	11=20	12=8	12=8	11=20
36	1=6942	0	13=320	13=320	13=320	12=8	12=8	11=20	11=20	12=8	12=8	11=20
37	1=7328	0	13=320	13=320	13=320	12=8	12=8	11=20	11=20	12=8	12=8	11=20
38	1=7730	0	13=320	13=320	13=320	12=8	12=8	11=20	11=20	12=8	12=8	11=20
39	1=8150	0	13=320	13=320	13=320	12=8	12=8	11=20	11=20	12=8	12=8	11=20
40	63=1|1=15000	1	13=960	13=960	13=960	12=24	12=24	11=60	11=60	12=24	12=24	11=30
41	1=9872	0	13=400	13=400	13=400	12=10	12=10	11=25	11=25	12=10	12=10	11=25
42	1=10396	0	13=400	13=400	13=400	12=10	12=10	11=25	11=25	12=10	12=10	11=25
43	1=10944	0	13=400	13=400	13=400	12=10	12=10	11=25	11=25	12=10	12=10	11=25
44	1=11514	0	13=400	13=400	13=400	12=10	12=10	11=25	11=25	12=10	12=10	11=25
