level	quality	physicalattack	magicattack	physicaldefence	magicdefence	hp	coin	transfer
装备等级	装备品质	物理攻击力	最大魔法值	物防	魔防	生命	金币消耗	转移消耗
0	0					40=100	1=800	1=1000
0	1					101=280	1=1200	1=1000
0	2	18=25		7=10		281=400	1=1600	1=1000
0	3	26=36		11=14		401=560	1=2000	1=1000
0	4	37=47		15=18		561=720	1=4000	1=1000
0	5	48=60		19=24		721=960	1=6000	1=1000
10	0					40=100	1=800	1=1000
10	1					101=280	1=1200	1=1000
10	2	18=25		7=10		281=400	1=1600	1=1000
10	3	26=36		11=14		401=560	1=2000	1=1000
10	4	37=47		15=18		561=720	1=4000	1=1000
10	5	48=60		19=24		721=960	1=6000	1=1000
20	0	2=12		1=5		40=200	1=2000	1=2500
20	1	13=25		6=10		201=400	1=3000	1=2500
20	2	26=37		11=15		401=600	1=4000	1=2500
20	3	38=50		16=20		601=800	1=6000	1=2500
20	4	51=62		21=25		801=1000	1=8000	1=2500
20	5	63=75		26=30		1001=1200	1=10000	1=2500
30	0	5=25		1=5		40=200	1=2000	1=2500
30	1	26=50		6=10		201=400	1=3000	1=2500
30	2	51=74		11=15		401=600	1=4000	1=2500
30	3	75=99		16=20		601=800	1=6000	1=2500
30	4	100=124		21=25		801=1000	1=8000	1=2500
30	5	125=149		26=30		1001=1200	1=10000	1=2500
40	0	7=25		3=10		120=400	1=4000	1=5000
40	1	26=50		11=20		401=800	1=5000	1=5000
40	2	51=75		21=30		801=1200	1=6000	1=5000
40	3	76=100		31=40		1201=1600	1=8000	1=5000
40	4	101=125		41=50		1601=2000	1=12000	1=5000
40	5	126=150		51=60		2001=2400	1=16000	1=5000
50	0	5=25		3=10		120=400	1=4000	1=5000
50	1	26=50		11=20		401=800	1=5000	1=5000
50	2	51=75		21=30		801=1200	1=6000	1=5000
50	3	76=100		31=40		1201=1600	1=8000	1=5000
50	4	101=125		41=50		1601=2000	1=12000	1=5000
50	5	126=150		51=60		2001=2400	1=16000	1=5000
60	0	15=37		6=15		240=600	1=6000	1=10000
60	1	38=75		16=30		601=1200	1=8000	1=10000
60	2	76=112		31=45		1201=1800	1=10000	1=10000
60	3	113=150		46=60		1801=2400	1=14000	1=10000
60	4	151=187		61=75		2401=3000	1=18000	1=10000
60	5	188=225		76=90		301=3600	1=20000	1=10000
70	0	20=37		8=15		320=600	1=6000	1=10000
70	1	38=75		16=30		601=1200	1=8000	1=10000
70	2	76=112		31=45		1201=1800	1=10000	1=10000
70	3	113=150		46=60		1801=2400	1=14000	1=10000
70	4	151=187		61=75		2401=3000	1=18000	1=10000
70	5	188=225		76=90		301=3600	1=20000	1=10000
80	0	20=50		10=20		400=800	1=10000	1=20000
80	1	51=100		21=40		801=1600	1=12500	1=20000
80	2	101=150		41=60		1601=2400	1=15000	1=20000
80	3	151=200		61=80		2401=3200	1=17500	1=20000
80	4	201=260		81=100		3201=4000	1=20000	1=20000
80	5	261=300		101=120		4001=4800	1=30000	1=20000
90	0	20=50		10=20		400=800	1=10000	1=20000
90	1	51=100		21=40		801=1600	1=12500	1=20000
90	2	101=150		41=60		1601=2400	1=15000	1=20000
90	3	151=200		61=80		2401=3200	1=17500	1=20000
90	4	201=260		81=100		3201=4000	1=20000	1=20000
90	5	261=300		101=120		4001=4800	1=30000	1=20000
