SpriteID	Breaknum	UplimitAdd	BuffId	NeedSpriteNum	NeedItemNum	TagAtlasPath	TagName	DecomposeAward	SpritEffect	SkillQuality	Attributes	Attributes	AttrID1	Qualification1	AttrID2	Qualification2	AttrID3	Qualification3	AttrID4	Qualification4	AttrID5	Qualification5
精灵ID	精灵阶数(1=普通，2=优秀...)此行为1进阶到2	资质上限增加(%)	被动BUFFID	需求的精灵和数量，支持不同ID，总数量最大不超过3个	需求的道具和数量	阶数标签所在图集	阶数标签名	分解补偿	精灵特效	技能品质	属性加成											
3506	0	0						4051=1	Effects\FX_Particle\Roles\Lzg_Ty\cash_iona_c_spirit_bandpose_Clip01													
3506	1	50	2501|2502|2503	4051=1	1=200000|7=200	Common\work\Item6	Stage1	4051=2	Effects\FX_Particle\Roles\Lzg_Ty\cash_iona_c_spirit_bandpose_Clip01													
3506	2	125	2511|2502|2503	4051=1	1=400000|7=400	Common\work\Item6	Stage2	4051=3	Effects\FX_Particle\Roles\Lzg_Ty\cash_iona_c_spirit_bandpose_Clip01													
3506	3	225	2511|2512|2513	4051=2	1=600000|7=600	Common\work\Item6	Stage3	4051=5	Effects\FX_Particle\Roles\Lzg_Ty\cash_iona_c_spirit_bandpose_Clip01													
3506	4	350	2521|2512|2513	4051=3	1=800000|7=800	Common\work\Item6	Stage4	4051=8	Effects\FX_Particle\Roles\Lzg_Ty\cash_iona_c_spirit_bandpose_Clip01													
3506	5	500	2521|2522|2523	4051=5	1=1000000|7=1000	Common\work\Item6	Stage5	4051=13	Effects\FX_Particle\Roles\Lzg_Ty\cash_iona_c_spirit_bandpose_Clip01													
3506	6	600	2531|2522|2523	4051=7	1=2000000|7=1500	Common\work\Item6	Stage6	4051=20	Effects\FX_Particle\Roles\Lzg_Ty\cash_iona_c_spirit_bandpose_Clip02													
3506	7	630	2531|2532|2533	4051=7|8596=1	1=2000000|7=1500	Common\work\Item6	Stage7	4051=27|8596=1	Effects\FX_Particle\Roles\Lzg_Ty\cash_iona_c_spirit_bandpose_Clip02													
3506	8	650	2541|2532|2533	4051=7|8596=3	1=2000000|7=1500	Common\work\Item6	Stage8	4051=34|8596=4	Effects\FX_Particle\Roles\Lzg_Ty\cash_iona_c_spirit_bandpose_Clip02													
