SpriteEquipID	EquipPos	AttributesNum	AttributesRandom	AttributesWeight	AttributesLimit	SpecialLimit	LevelStage	IsCanSmelt	SmeltNeedItem	SmeltNeedMoney	SmeltRandomWeight	ReturnSmeltStoneRate
精灵装备id	部位	随机属性条数，权重	随机属性库，属性库ID	随机属性战力区间	同属性限制	同类型个数限制	当前装备所属等级段最大值	是否可以洗炼(1 可以/0 不可以)	洗练需要的物品	洗练需要的金币数量	洗炼随机战力	返回洗炼石比例
1202010	0	0|0|1|1|0|0	101|102|106|104|105	1943=2777	1=2|4=1	1=5|4=1	120	0	93=1	5000	1001=2000=30|501=1000=30|-1000=500=40	80
1202011	1	0|0|1|1|0|0	101|102|106|104|105	1943=2777	1=2|4=1	1=5|4=1	120	0	93=2	5001	1001=2000=30|501=1000=30|-1000=500=40	80
1202012	2	0|0|1|1|0|0	101|102|106|104|105	1943=2777	1=2|4=1	1=5|4=1	120	0	93=3	5002	1001=2000=30|501=1000=30|-1000=500=40	80
1203010	0	0|0|0|1|1|0	101|104|105|106|105	2916=4166	1=2|4=1	1=5|4=1	120	0	93=4	5003	1001=2000=30|501=1000=30|-1000=500=40	80
1203011	1	0|0|0|1|1|0	101|104|105|106|105	2916=4166	1=2|4=1	1=5|4=1	120	0	93=5	5004	1001=2000=30|501=1000=30|-1000=500=40	80
1203012	2	0|0|0|1|1|0	101|104|105|106|105	2916=4166	1=2|4=1	1=5|4=1	120	0	93=6	5005	1001=2000=30|501=1000=30|-1000=500=40	80
1204010	0	0|0|0|0|1|1	101|102|104|104|105	5833=8333	1=2|4=1	1=5|4=1	120	0	93=7	5006	1001=2000=30|501=1000=30|-1000=500=40	80
1204011	1	0|0|0|0|1|1	101|102|104|104|105	5833=8333	1=2|4=1	1=5|4=1	120	0	93=8	5007	1001=2000=30|501=1000=30|-1000=500=40	80
1204012	2	0|0|0|0|1|1	101|102|104|104|105	5833=8333	1=2|4=1	1=5|4=1	120	0	93=9	5008	1001=2000=30|501=1000=30|-1000=500=40	80
1302010	0	0|0|1|1|0|0	101|102|106|104|105	2721=8000	1=2|4=1	1=5|4=1	130	1	1185=1	25000	-70=100=5|150=200=95	80
1302011	1	0|0|1|1|0|0	101|102|106|104|105	2721=8000	1=2|4=1	1=5|4=1	130	1	1185=1	25000	-70=100=5|150=200=95	80
1302012	2	0|0|1|1|0|0	101|102|106|104|105	2721=8000	1=2|4=1	1=5|4=1	130	1	1185=1	25000	-70=100=5|150=200=95	80
1303010	0	0|0|0|1|1|0	101|104|105|106|105	4083=12000	1=2|4=1	1=5|4=1	130	1	1185=2	50000	-70=100=5|150=200=95	80
1303011	1	0|0|0|1|1|0	101|104|105|106|105	4083=12000	1=2|4=1	1=5|4=1	130	1	1185=2	50000	-70=100=5|150=200=95	80
