SuitID	Effect1	Effect2	Effect3	EquipIds	ShowItemIds	SuitNum	SuitName	Suitlevel	SortId	IsShow
套装id	一件套	两件套	三件套	装备id x|y|..形式	用于展示的物品id x|y|...	套装总数量	套装名字	套装等级	数字越大优先级越高，用于等级相同的套装的默认显示，若果此等级套装只有一套可以不填	打造界面界面是否显示此也签
120401		0=30	0=45	1204010|1204011|1204012	1200010|1200011|1200012	3	S套	120	400	0
120301		0=12	0=18	1203010|1203011|1203012	1200010|1200011|1200012	3	A套	120	300	0
120201		0=6	0=9	1202010|1202011|1202012	1200010|1200011|1200012	3	蓝宝石精灵套装	120	200	1
130401		0=40	0=60	1304010|1304011|1304012|1304020|1304021|1304022	1300010|1300011|1300012	3	S套	130	700	0
130301		0=15	0=25	1303010|1303011|1303012	1300010|1300011|1300012	3	A套	130	600	0
130201		0=8	0=12	1302010|1302011|1302012	1300010|1300011|1300012	3	绿水晶精灵套装	130	500	1
150401				1504014	1504001	1	高级精灵皇冠	150		0
150301				1503014	1504001	1	精致精灵皇冠	150		0
150201				1502014	1504001	1	红宝石精灵皇冠	150		1
