Quality	Level	Exp	Ratio
品质	等级	经验	成长系数
1	1	100	1
1	2	110	1
1	3	120	1
1	4	130	1
1	5	140	1
1	6	150	1
1	7	160	1
1	8	170	1
1	9	180	1
1	10	190	1
1	11	210	1
1	12	230	1
1	13	250	1
1	14	270	1
1	15	290	1
1	16	310	1
1	17	330	1
1	18	350	1
1	19	370	1
1	20	390	1
1	21	430	1
1	22	470	1
1	23	510	1
1	24	550	1
1	25	590	1
1	26	630	1
1	27	670	1
1	28	710	1
1	29	750	1
1	30	790	1
1	31	870	1
1	32	950	1
1	33	1030	1
1	34	1110	1
1	35	1190	1
1	36	1270	1
1	37	1350	1
1	38	1430	1
1	39	1510	1
1	40	1590	1
1	41	1750	1
1	42	1910	1
1	43	2070	1
1	44	2230	1
1	45	2390	1
1	46	2550	1
1	47	2710	1
1	48	2870	1
1	49	3030	1
1	50	3190	1
1	51	3430	1
1	52	3670	1
1	53	3910	1
1	54	4150	1
1	55	4390	1
1	56	4630	1
1	57	4870	1
1	58	5110	1
1	59	5350	1
1	60	5590	1
1	61	6000	1
1	62	6000	1
1	63	6000	1
1	64	6000	1
1	65	6000	1
1	66	6000	1
1	67	6000	1
1	68	6000	1
1	69	6000	1
1	70	6000	1
1	71	6000	1
1	72	6000	1
1	73	6000	1
1	74	6000	1
1	75	6000	1
1	76	6000	1
1	77	6000	1
1	78	6000	1
1	79	6000	1
1	80	6250	1
1	81	6500	1
1	82	6750	1
1	83	7000	1
1	84	7250	1
1	85	7500	1
1	86	7750	1
1	87	8000	1
1	88	8250	1
1	89	8500	1
1	90	8750	1
1	91	9000	1
1	92	9250	1
1	93	9500	1
1	94	9750	1
1	95	10000	1
1	96	10250	1
1	97	10500	1
1	98	10750	1
1	99	11000	1
1	100	11250	1
1	101	11500	1
1	102	11750	1
1	103	12000	1
1	104	12250	1
1	105	12500	1
1	106	12750	1
1	107	13000	1
1	108	13250	1
1	109	13500	1
1	110	13750	1
1	111	14000	1
1	112	14250	1
1	113	14500	1
1	114	14750	1
1	115	15000	1
1	116	15250	1
1	117	15500	1
1	118	15750	1
1	119	16000	1
1	120	16250	1
1	121	16500	1
1	122	16750	1
1	123	17000	1
1	124	17250	1
1	125	17500	1
1	126	17750	1
1	127	18000	1
1	128	18250	1
1	129	18500	1
1	130	19000	1
1	131	19500	1
1	132	20000	1
1	133	20500	1
1	134	21000	1
1	135	21500	1
1	136	22000	1
1	137	22500	1
1	138	23000	1
1	139	23500	1
1	140	24000	1
2	1	150	1
2	2	165	1
2	3	180	1
2	4	195	1
2	5	210	1
2	6	225	1
2	7	240	1
2	8	255	1
2	9	270	1
2	10	285	1
2	11	315	1
2	12	345	1
2	13	375	1
2	14	405	1
2	15	435	1
2	16	465	1
2	17	495	1
2	18	525	1
2	19	555	1
2	20	585	1
2	21	645	1
2	22	705	1
2	23	765	1
2	24	825	1
2	25	885	1
2	26	945	1
2	27	1005	1
2	28	1065	1
2	29	1125	1
2	30	1185	1
2	31	1305	1
2	32	1425	1
2	33	1545	1
2	34	1665	1
2	35	1785	1
2	36	1905	1
2	37	2025	1
2	38	2145	1
2	39	2265	1
2	40	2385	1
2	41	2625	1
2	42	2865	1
2	43	3105	1
2	44	3345	1
2	45	3585	1
2	46	3825	1
2	47	4065	1
2	48	4305	1
2	49	4545	1
2	50	4785	1
2	51	5145	1
2	52	5505	1
2	53	5865	1
2	54	6225	1
2	55	6585	1
2	56	6945	1
