ServerDays	level01	ExpRate01	level02	ExpRate02	level03	ExpRate03	level04	ExpRate04
开服天数	推荐等级1	增加经验百分比	推荐等级2	增加经验百分比	推荐等级3	增加经验百分比	推荐等级4	增加经验百分比
2	16	100	20	50	30	40	34	10
3	17	100	21	51	31	41	35	11
4	18	100	22	52	32	42	36	12
5	19	100	23	53	33	43	37	13
6	20	100	24	54	34	44	38	14
7	21	100	25	55	35	45	39	15
8	22	100	26	56	36	46	40	16
9	23	100	27	57	37	47	41	17
10	24	100	28	58	38	48	42	18
11	25	100	29	59	39	49	43	19
12	26	100	30	60	40	50	44	20
13	27	100	31	61	41	51	45	21
14	28	100	32	62	42	52	46	22
15	29	100	33	63	43	53	47	23
16	30	100	34	64	44	54	48	24
17	31	100	35	65	45	55	49	25
18	32	100	36	66	46	56	50	26
19	33	100	37	67	47	57	51	27
20	34	100	38	68	48	58	52	28
21	35	100	39	69	49	59	53	29
22	36	100	40	70	50	60	54	30
