scendid	scenename	star2	star3	time	hppercent	found	behit	npchp	combo	passpower
关卡ID	关卡名称（备注不读）	两星(条件类型 子类型(npcid等) 数值)	三星	时间限制	剩余血量百分比	发现次数	受击次数	npc血量	连击次数	直接通关战力
74	守卫女神	1=0=0	2=0=0							
100	燃烧的凯德拉	1=0=0	2=0=0							
101	阴影森林	1=0=0	2=0=0							8250
102	神殿挖掘场	1=0=0	2=0=0							11250
103	森林圣域	1=0=0	5=50310=0					50310=0		12750
104	墓穴神殿	1=0=0	2=0=0							14250
105	挖掘场中心	1=0=0	2=0=0							13500
201	峡谷边缘	1=0=240	2=0=50	240	50					15000
202	袭击者营地	1=0=240	2=0=50	240	50					16500
203	峡谷深处	1=0=240	2=0=50	240	50					18500
204	叹息峡谷	1=0=240	2=0=50	240	50					20000
205	圣域遗迹	1=0=240	2=0=50	240	50					23500
206	神圣遗迹	1=0=240	2=0=50	240	50					25250
207	死亡森林	1=0=240	2=0=50	240	50					29750
208	浸毒之地	1=0=240	2=0=50	240	50					33000
209	亡灵林窟	1=0=240	2=0=50	240	50					38500
210	圣域中心	1=0=240	2=0=50	240	50					40250
301	雾气森林	1=0=240	2=0=50	240	50					44250
302	圣域废墟	1=0=240	2=0=50	240	50					46250
303	袭击者埋伏点	1=0=240	2=0=50	240	50					48000
304	改造场核心	1=0=240	2=0=50	240	50					51500
305	魔物聚餐点	1=0=240	2=0=50	240	50					52000
306	墓穴集会所	1=0=240	2=0=50	240	50					56000
307	神殿礼拜堂	1=0=240	2=0=50	240	50					64500
308	溶解森林	1=0=240	2=0=50	240	50					70000
309	魔法研究所	1=0=240	2=0=50	240	50					75250
310	不归之路	1=0=240	2=0=50	240	50					75250
401	死亡盆地	1=0=240	2=0=50	240	50					76750
402	圣域秘殿	1=0=240	2=0=50	240	50					76750
403	祈祷者安息处	1=0=240	2=0=50	240	50					78000
404	韦尔顿哈鲁	1=0=240	2=0=50	240	50					78000
405	黑暗矿山	1=0=240	2=0=50	240	50					91750
406	黑暗大君主领地	1=0=240	2=0=50	240	50					91750
407	大君主练兵场	1=0=240	2=0=50	240	50					93000
408	枯萎之地	1=0=240	2=0=50	240	50					93000
409	黑暗大君主之塔	1=0=240	2=0=50	240	50					113250
410	黑暗领地中心	1=0=240	2=0=50	240	50					113250
501	孤岛	1=0=240	2=0=50	240	50					121500
502	罗莱拉茵河	1=0=240	2=0=50	240	50					121500
503	死亡城市入口	1=0=240	2=0=50	240	50					121500
504	死亡城市	1=0=240	2=0=50	240	50					122250
505	江下游港口	1=0=240	2=0=50	240	50					122250
506	黑暗领地峡谷	1=0=240	2=0=50	240	50					122250
507	沉没的货船	1=0=240	2=0=50	240	50					135500
508	黑暗精灵领地	1=0=240	2=0=50	240	50					135500
509	黑暗城市中心	1=0=240	2=0=50	240	50					135500
510	海怪埋骨所	1=0=240	2=0=50	240	50					135500
601	海怪死亡地	1=0=240	2=0=50	240	50					146000
602	枯叶林爆炸地区	1=0=240	2=0=50	240	50					146000
603	赫尔马岱旧港	1=0=240	2=0=50	240	50					146000
604	废墟港口	1=0=240	2=0=50	240	50					155750
605	时间遗忘废墟	1=0=240	2=0=50	240	50					155750
606	海盗聚集所	1=0=240	2=0=50	240	50					155750
607	海洋巫师塔	1=0=240	2=0=50	240	50					156750
608	船长达兰特领地	1=0=240	2=0=50	240	50					156750
609	海盗驳船港	1=0=240	2=0=50	240	50					156750
610	船长达兰特根据地	1=0=240	2=0=50	240	50					168750
701	利物沃特村庄废墟	1=0=240	2=0=50	240	50					187750
702	利物沃特村庄废墟	1=0=240	2=0=50	240	50					187750
703	利物沃特村庄废墟	1=0=240	2=0=50	240	50					196750
704	利物沃特村庄废墟	1=0=240	2=0=50	240	50					196750
705	利物沃特村庄废墟	1=0=240	2=0=50	240	50					202000
706	利物沃特村庄废墟	1=0=240	2=0=50	240	50					202000
707	利物沃特村庄废墟	1=0=240	2=0=50	240	50					208500
708	利物沃特村庄废墟	1=0=240	2=0=50	240	50					208500
709	利物沃特村庄废墟	1=0=240	2=0=50	240	50					215500
710	利物沃特村庄废墟	1=0=240	2=0=50	240	50					225750
801	泰努阿尔神殿	1=0=240	2=0=50	240	50					230750
802	消失的满月沙漠	1=0=240	2=0=50	240	50					240000
803	绿洲岛屿	1=0=240	2=0=50	240	50					245000
804	巨蛛领主之巢	1=0=240	2=0=50	240	50					256500
805	被占领的古代寺院	1=0=240	2=0=50	240	50					263500
806	石化殿堂	1=0=240	2=0=50	240	50					266750
807	沙尘之海	1=0=240	2=0=50	240	50					272250
808	砂石深渊	1=0=240	2=0=50	240	50					273750
809	阿勒努特峡谷	1=0=240	2=0=50	240	50					278750
810	沙海巨兽遗迹	1=0=240	2=0=50	240	50					278750
901	利物沃特村庄废墟	1=0=240	2=0=50	240	50					290000
902	利物沃特村庄废墟	1=0=240	2=0=50	240	50					290000
903	利物沃特村庄废墟	1=0=240	2=0=50	240	50					297000
904	利物沃特村庄废墟	1=0=240	2=0=50	240	50					297000
905	利物沃特村庄废墟	1=0=240	2=0=50	240	50					298500
906	利物沃特村庄废墟	1=0=240	2=0=50	240	50					298500
907	利物沃特村庄废墟	1=0=240	2=0=50	240	50					300000
908	利物沃特村庄废墟	1=0=240	2=0=50	240	50					300000
909	利物沃特村庄废墟	1=0=240	2=0=50	240	50					301250
910	利物沃特村庄废墟	1=0=240	2=0=50	240	50					301250
11001	利物沃特村庄废墟	1=0=240	2=0=50	240	50					312750
11002	利物沃特村庄废墟	1=0=240	2=0=50	240	50					323000
11003	利物沃特村庄废墟	1=0=240	2=0=50	240	50					334500
11004	利物沃特村庄废墟	1=0=240	2=0=50	240	50					344750
11005	利物沃特村庄废墟	1=0=240	2=0=50	240	50					356500
11006	利物沃特村庄废墟	1=0=240	2=0=50	240	50					366750
11007	利物沃特村庄废墟	1=0=240	2=0=50	240	50					378500
11008	利物沃特村庄废墟	1=0=240	2=0=50	240	50					388750
11009	利物沃特村庄废墟	1=0=240	2=0=50	240	50					400750
11010	利物沃特村庄废墟	1=0=240	2=0=50	240	50					411000
11101	利物沃特村庄废墟	1=0=240	2=0=50	240	50					423250
11102	利物沃特村庄废墟	1=0=240	2=0=50	240	50					433750
11103	利物沃特村庄废墟	1=0=240	2=0=50	240	50					446000
11104	利物沃特村庄废墟	1=0=240	2=0=50	240	50					456250
11105	利物沃特村庄废墟	1=0=240	2=0=50	240	50					468750
11106	利物沃特村庄废墟	1=0=240	2=0=50	240	50					479250
11107	利物沃特村庄废墟	1=0=240	2=0=50	240	50					491750
11108	利物沃特村庄废墟	1=0=240	2=0=50	240	50					502250
11109	利物沃特村庄废墟	1=0=240	2=0=50	240	50					515000
11110	利物沃特村庄废墟	1=0=240	2=0=50	240	50					525500
11201	泰努阿尔神殿	1=0=240	2=0=50	240	50					538500
11202	消失的满月沙漠	1=0=240	2=0=50	240	50					549000
11203	绿洲岛屿	1=0=240	2=0=50	240	50					562000
11204	巨蛛领主之巢	1=0=240	2=0=50	240	50					572750
11205	被占领的古代寺院	1=0=240	2=0=50	240	50					585750
11206	石化殿堂	1=0=240	2=0=50	240	50					596500
11207	沙尘之海	1=0=240	2=0=50	240	50					609750
11208	砂石深渊	1=0=240	2=0=50	240	50					620500
11209	阿勒努特峡谷	1=0=240	2=0=50	240	50					634000
11210	沙海巨兽遗迹	1=0=240	2=0=50	240	50					644750
11301	暗影沙地	1=0=240	2=0=50	240	50					658250
11302	满月沙漠	1=0=240	2=0=50	240	50					672000
11303	月光林地	1=0=240	2=0=50	240	50					685750
11304	精灵小道	1=0=240	2=0=50	240	50					699750
11305	精灵小道深处	1=0=240	2=0=50	240	50					713750
11306	暗金废弃矿山	1=0=240	2=0=50	240	50					727750
11307	邪影废村遗迹	1=0=240	2=0=50	240	50					741750
11308	黄金草原边缘	1=0=240	2=0=50	240	50					756250
11309	金色林地	1=0=240	2=0=50	240	50					770500
11310	被污染的金色林地	1=0=240	2=0=50	240	50					785000
11401	银叶森林	1=0=240	2=0=50	240	50					799500
11402	落叶银滩涂	1=0=240	2=0=50	240	50					814000
11403	黄金树溪流	1=0=240	2=0=50	240	50					828750
11404	精灵宝库	1=0=240	2=0=50	240	50					843500
11405	精灵宝库后门	1=0=240	2=0=50	240	50					858500
11406	密道峡谷	1=0=240	2=0=50	240	50					873500
11407	流金峡谷口	1=0=240	2=0=50	240	50					888500
11408	精灵王瀑布	1=0=240	2=0=50	240	50					903750
11409	秘法森林深处	1=0=240	2=0=50	240	50					919000
11410	魔力紊乱荒原	1=0=240	2=0=50	240	50					934500
11501	神秘洞穴	1=0=240	2=0=50	240	50					946000
11502	黑暗峡谷	1=0=240	2=0=50	240	50					957750
11503	黑山小道深处	1=0=240	2=0=50	240	50					969500
11504	黑暗练兵场	1=0=240	2=0=50	240	50					981250
11505	梦魇之地	1=0=240	2=0=50	240	50					992750
11506	梦境流离之所	1=0=240	2=0=50	240	50					1004500
11507	虚伪荒村	1=0=240	2=0=50	240	50					1016250
11508	红色暗影埋骨之地	1=0=240	2=0=50	240	50					1027750
11509	蜘蛛女王巢穴	1=0=240	2=0=50	240	50					1039500
11510	亡灵栖息地	1=0=240	2=0=50	240	50					1051250
11601	流放之地	1=0=240	2=0=50	240	50					1062900
11602	孤岛边缘	1=0=240	2=0=50	240	50					1074615
11603	遗失的飞船	1=0=240	2=0=50	240	50					1136315
11604	孤岛中的神秘宝藏	1=0=240	2=0=50	240	50					1198015
11605	宝藏埋藏地	1=0=240	2=0=50	240	50					1259715
11606	宝藏看守者	1=0=240	2=0=50	240	50					1321415
11607	守护者的忠告	1=0=240	2=0=50	240	50					1383115
11608	古老的诅咒	1=0=240	2=0=50	240	50					1444815
11609	绿洲岛屿	1=0=240	2=0=50	240	50					1506515
11610	孤岛深处	1=0=240	2=0=50	240	50					1568215
11701	1	1=0=240	2=0=50	240	50					1675605
11702	2	1=0=240	2=0=50	240	50					1756500
11703	3	1=0=240	2=0=50	240	50					1887750
11704	4	1=0=240	2=0=50	240	50					1987755
11705	5	1=0=240	2=0=50	240	50					2101065
11706	6	1=0=240	2=0=50	240	50					2187750
11707	7	1=0=240	2=0=50	240	50					2237750
11708	8	1=0=240	2=0=50	240	50					2299500
11709	9	1=0=240	2=0=50	240	50					2396750
11710	10	1=0=240	2=0=50	240	50					2446750
11801	1	1=0=240	2=0=50	240	50					2546750
11802	2	1=0=240	2=0=50	240	50					2646750
11803	3	1=0=240	2=0=50	240	50					2746750
11804	4	1=0=240	2=0=50	240	50					2846750
11805	5	1=0=240	2=0=50	240	50					2946750
11806	6	1=0=240	2=0=50	240	50					3046750
11807	7	1=0=240	2=0=50	240	50					3146750
11808	8	1=0=240	2=0=50	240	50					3246750
11809	9	1=0=240	2=0=50	240	50					3346750
11810	10	1=0=240	2=0=50	240	50					3446750
112	挖掘场深处	1=0=240	2=0=50	240	50					30000
114	兽人巢穴	5=14415=50	1=0=240	240	50			14415=50		38500
115	马里安神殿	1=0=240	2=0=50	240	50					53500
116	死亡之村	1=0=240	2=0=50	240	50					68000
212	黑山大练兵场	5=16216=70	1=0=240	240	70			16216=70		70500
214	大君主禁地	1=0=300	2=0=70	300	70					77000
216	黑山魔物城	1=0=300	2=0=70	300	70					82000
218	挑战者之路	1=0=300	2=0=70	300	70					94500
312	河岸废墟深处	1=0=300	2=0=70	300	70					103500
314	淹没地深处	1=0=300	2=0=70	300	70					118500
316	海盗藏宝岛	1=0=300	2=0=70	300	70					131000
318	海盗根据腹地	1=0=300	2=0=70	300	70					152000
320	海龙之岛	1=0=300	2=0=70	300	70					
412	古代图书馆深处	1=0=300	2=0=70	300	70					185500
414	古代仓库东边	1=0=300	2=0=70	300	70					210500
416	盲目溪谷深处	1=0=300	2=0=70	300	70					233000
418	古代藏宝库	1=0=300	2=0=70	300	70					250500
420	绿龙峡谷深处	1=0=300	2=0=70	300	70					
512	古代图书馆深处	1=0=300	2=0=70	300	70					280500
514	盲目溪谷深处	1=0=300	2=0=70	300	70					293000
516	古代仓库东边	1=0=300	2=0=70	300	70					302500
518	古代藏宝库	1=0=300	2=0=70	300	70					314000
612	女王栖息地	1=0=300	2=0=70	300	70					370000
614	陨石坑	1=0=300	2=0=70	300	70					380000
616	泰努阿尔神殿	1=0=300	2=0=70	300	70					383500
618	沙蝎之巢	1=0=300	2=0=70	300	70					401000
712	混乱时空研究所	1=0=300	2=0=70	300	70					436500
714	古代神庙遗迹	1=0=300	2=0=70	300	70					467000
716	神庙祭祀区	1=0=300	2=0=70	300	70					498500
718	实验体禁区	1=0=300	2=0=70	300	70					531500
812	沼泽最深处	1=0=300	2=0=70	300	70					565000
814	沼泽地边界	1=0=300	2=0=70	300	70					600000
816	黑暗领地峡谷	1=0=300	2=0=70	300	70					635500
818	原住民部落	1=0=300	2=0=70	300	70					672500
912	寂静荒漠	1=0=300	2=0=70	300	70					710500
914	流沙之地	1=0=300	2=0=70	300	70					749500
916	绝境无人区	1=0=300	2=0=70	300	70					789500
918	荒漠最深处	1=0=300	2=0=70	300	70					830500
6012	亡灵栖息地	1=0=300	2=0=70	300	70					937500
6014	迷雾荒村	1=0=300	2=0=70	300	70					1004500
6016	枯木废墟村落	1=0=300	2=0=70	300	70					1074500
6018	死灵长眠地	1=0=300	2=0=70	300	70					1146500
6022	荒芜遗迹	1=0=300	2=0=70	300	70					1250000
6024	圣域中心	1=0=300	2=0=70	300	70					1375000
6026	古老的诅咒	1=0=300	2=0=70	300	70					1512500
6028	圣域的守护者	1=0=300	2=0=70	300	70					1663750
6032	圣光遗迹	1=0=300	2=0=70	300	70					1763755
6034	流放之地	1=0=300	2=0=70	300	70					1863760
6036	黑暗的黎明	1=0=300	2=0=70	300	70					1963750
6038	悲鸣深处	1=0=300	2=0=70	300	70					2146500
6042	埋骨之龙	1=0=300	2=0=70	300	70					2229950
6044	堕落之灵	1=0=300	2=0=70	300	70					2346500
6046	矿脉之灵	1=0=300	2=0=70	300	70					2463050
6048	荒芜女妖	1=0=300	2=0=70	300	70					2579600
1000	牛头人巢穴1	1=0=240	2=0=50	240	50					
1001	牛头人巢穴2	1=0=240	2=0=50	240	50					
1002	牛头人巢穴3	1=0=240	2=0=50	240	50					
1010	地狱犬巢穴1	1=0=240	2=0=50	240	50					
1011	地狱犬巢穴2	1=0=240	2=0=50	240	50					
1012	地狱犬巢穴3	1=0=240	2=0=50	240	50					
1013	地狱犬巢穴4	1=0=240	2=0=50	240	50					
1014	地狱犬巢穴5	1=0=240	2=0=50	240	50					
1020	狮蝎巢穴1	1=0=240	2=0=50	240	50					
1021	狮蝎巢穴2	1=0=240	2=0=50	240	50					
1022	狮蝎巢穴3	1=0=240	2=0=50	240	50					
1023	狮蝎巢穴4	1=0=240	2=0=50	240	50					
1024	狮蝎巢穴5	1=0=240	2=0=50	240	50					
1025	狮蝎巢穴6	1=0=240	2=0=50	240	50					
3101	阴影森林	1=0=240	2=0=50	240	50					
3102	神殿挖掘场	1=0=240	2=0=50	240	50					
3103	森林圣域	1=0=240	2=0=50	240	50					
3104	马里安神殿	1=0=240	2=0=50	240	50					
3105	圣域中心	1=0=240	2=0=50	240	50					
3201	孤岛	1=0=240	2=0=50	240	50					
3202	遗弃之村	1=0=240	2=0=50	240	50					
3203	遗弃之村深处	1=0=240	2=0=50	240	50					
3204	黑山营地	1=0=240	2=0=50	240	50					
3205	幽灵村中心	1=0=240	2=0=50	240	50					
3206	黑山练兵场	1=0=240	2=0=50	240	50					
3207	黑山营地后门	1=0=240	2=0=50	240	50					
3208	黑山魔物大本营	1=0=240	2=0=50	240	50					
3301	孤岛中心	1=0=240	2=0=50	240	50					
3302	江下游废墟	1=0=240	2=0=50	240	50					
3303	赫尔马岱群岛	1=0=240	2=0=50	240	50					
3304	江下游淹没地	1=0=240	2=0=50	240	50					
3305	黑暗精灵领地	1=0=240	2=0=50	240	50					
3306	海盗群岛	1=0=240	2=0=50	240	50					
3307	哀嚎领地	1=0=240	2=0=50	240	50					
3308	海盗根据地	1=0=240	2=0=50	240	50					
3309	船长达兰特领地	1=0=240	2=0=50	240	50					
3310	萨芬特拉之岛	1=0=240	2=0=50	240	50					
4500	高地生存（公会）	8=0=70	8=0=90							
4501	寻找宝箱（公会）	9=0=50	9=0=75							
4502	驱赶猎犬（公会）	9=0=40	9=0=60							
4503	古堡救援（公会）	9=0=50	9=0=75							
4504	团队赛马（公会）	1=0=140	1=0=100							
20001	黑山营地	1=0=600	2=0=50	600	50					
20002	幽灵村中心	1=0=600	2=0=50	600	50					
20003	孤岛中心	1=0=600	2=0=50	600	50					
20004	江下游淹没地	1=0=600	2=0=50	600	50					
20005	赫尔马岱群岛	1=0=600	2=0=50	600	50					
20006	墓穴神殿	1=0=600	2=0=50	600	50					
20007	遗弃之村	1=0=600	2=0=50	600	50					
20008	黑山练兵场	1=0=600	2=0=50	600	50					
20009	黑山营地后门	1=0=600	2=0=50	600	50					
20010	江下游废墟	1=0=600	2=0=50	600	50					
20011	海盗群岛	1=0=600	2=0=50	600	50					
20012	哀嚎领地	1=0=600	2=0=50	600	50					
21001	黑山营地	1=0=600	2=0=50	600	50					
21002	幽灵村中心	1=0=600	2=0=50	600	50					
21003	孤岛中心	1=0=600	2=0=50	600	50					
21004	江下游淹没地	1=0=600	2=0=50	600	50					
21005	赫尔马岱群岛	1=0=600	2=0=50	600	50					
21006	古代图书馆	1=0=600	2=0=50	600	50					
21007	龙之追随者据点	1=0=600	2=0=50	600	50					
21008	盲目溪谷	1=0=600	2=0=50	600	50					
21009	墨色丛林	1=0=600	2=0=50	600	50					
21010	消失的满月沙漠	1=0=600	2=0=50	600	50					
21011	石化殿堂	1=0=600	2=0=50	600	50					
21012	砂石深渊	1=0=600	2=0=50	600	50					
22001	孤岛	1=0=600	2=0=50	600	50					
22002	罗莱拉茵河	1=0=600	2=0=50	600	50					
22003	死亡城市入口	1=0=600	2=0=50	600	50					
22004	死亡城市	1=0=600	2=0=50	600	50					
22005	江下游港口	1=0=600	2=0=50	600	50					
22006	黑暗领地峡谷	1=0=600	2=0=50	600	50					
22007	沉没的货船	1=0=600	2=0=50	600	50					
22008	黑暗精灵领地	1=0=600	2=0=50	600	50					
22009	黑暗城市中心	1=0=600	2=0=50	600	50					
22010	海怪埋骨所	1=0=600	2=0=50	600	50					
22011	海怪死亡地	1=0=600	2=0=50	600	50					
22012	枯叶林爆炸地区	1=0=600	2=0=50	600	50					
23001	废墟港口	1=0=600	2=0=50	600	50					
23002	时间遗忘废墟	1=0=600	2=0=50	600	50					
23003	海盗聚集所	1=0=600	2=0=50	600	50					
