ItemID	ItemQuality	isBest	period	Count	
物品ID	品质（CBASL，1-3）	是否为大奖（0|1）	期数	物品数量	
65395	1	1	1	1	星龙至臻宝箱
9	3	0	1	500	钻石
1277	2	0	1	5	高级重铸锁定石
65390	2	0	1	50	星龙兑换券
1321	2	0	1	25	S级纹章碎片
64565	2	0	1	1	仙境童话碎片
1099905	2	0	1	1	5级元素攻龙玉
66021	3	0	1	1	灿烂苍穹翅膀礼包
1097	2	0	1	35	铭文券
1089	2	0	1	5	神秘装备洗炼石
1421	2	0	1	10	见习充能卷轴
65391	2	0	1	100	至臻星龙兑换券
1426	2	0	1	1	龙能石
8700	2	0	1	10	情义扭蛋券
1099804	2	0	1	1	4级双防龙玉
1024	3	0	1	10	魔化精髓
1183	3	0	1	30	高级装备洗炼石
1181	3	0	1	60	高级纹章洗炼石
1291	3	0	1	40	伙伴食物
603	3	0	1	25	精灵升星药水
604	3	0	1	30	精灵觉醒药水
1011105	3	0	1	1	5级残暴龙玉
827	3	0	1	20	佣兵零件
2816	1	1	2	20	星龙至尊礼包
1291	2	0	2	21	伙伴食物
8548	2	0	2	22	星龙兑换券
845	2	0	2	23	冰龙传说碎片
4145	2	0	2	24	冰龙高级防御附魔石
1099905	2	0	2	25	5级元素攻龙玉
1013003	2	0	2	26	4级元素防龙玉
1097	2	0	2	27	铭文券
604	2	0	2	28	精灵觉醒药水
827	2	0	2	29	佣兵零件
4142	2	0	2	30	冰龙高级攻击附魔石
1185	2	0	2	31	精灵装备洗炼石
1096	2	0	2	32	注灵碎片
1024	3	0	2	33	魔化精髓
1183	3	0	2	34	高级装备洗炼石
1181	3	0	2	35	高级纹章洗炼石
1011104	3	0	2	36	4级残暴龙玉
401	3	0	2	37	2级龙玉袋子
