Enum	Text
变量名	Chinese
BATTLE_POFANG	OK
BATTLE_BAOJI	crit
BATTLE_IMMORTAL	immunity
EXIT_GAME_TIP	Quickly double-tap the return key to exit the game
ERR_SUCCESS	Successful operation
ERR_PASSWORD_ERROR	wrong password
ERR_SERVER_UNNORMAL	Server exception, please try again later
ERR_FASHIONCOMPOSE_LEVEL_REQ	Insufficient level to synthesize
ERR_LOGIN_VERIFY_FAILED	Login verification failed
ERR_NAME_HAS_INVALID_CHAR	Name contains illegal characters
ERR_RELOGIN	Repeat login
ERR_ACCOUNT_NOT_EXIST	Account does not exist
ERR_NAME_EXIST	character name already exists
ERR_INVALID_REQUEST	Network error, please try again later
ERR_INVALID_NAME	Character name length is illegal, or contains illegal characters
ERR_STATE_ERROR	login status error
ERR_PROFESSION_TYPE	professional mistakes
ERR_FAILED	operation failed
ERR_ACCOUNT_ROLE_FULL	The operation is too frequent, please try again later!
ERR_EMPTY	Today's customs clearances have been used up
ERR_ACCOUNT_DATA_ERROR	Account data error
ERR_DATA_ERROR	data error
ERR_TIMEOUT	Operation timed out
ERR_SKILL_ITEMREQ	Not enough skills to upgrade
ERR_SKILL_CONFIGERROR	The skill has reached the highest level
ERR_SKILL_LEVELREQ	The character level has not yet reached the skill requirement level
ERR_SKILL_POINT	Insufficient skill points or awakening skill points
ERR_SKILL_GUILD_CONTRIBUTE	Insufficient contribution of the guild
FRIENDS_JOIN_GUILD	The opponent has not joined the guild
ERR_SKILL_PREPOINTLIMIT	Insufficient skill points used to learn
TipsEndTime	Item deadline {n}
ERR_ENHANCE_LACKITEM	Insufficient reinforcement
ERR_ENHANCE_MAX	Enhancement level is full
ERR_ENHANCE_FAILED	reinforcement failure
ERR_DECOMPOSE_NOTFIND	Items without selected quality can be disassembled
ERR_DECOMPOSE_CANNOT	This item cannot be decomposed
ERR_DECOMPOSE_FAILED	Decomposition failed
ERR_ARENA_COUNTLIMIT	You can only challenge the world boss once a day
ERR_ARENA_REWARDTAKEN	Arena rewards have been claimed
ERR_SCENE_LEVELREQ	The level is too low to enter the dungeon
ERR_SCENE_NOFATIGUE	lack of physical strength
ERR_SCENE_TODYCOUNTLIMIT	Entry is full today
ERR_SCENE_NEEDPREVCOMPLETE	Preliminary level to be completed
ERR_ITEM_NOT_ENOUGH	Not enough required items
ERR_ITEM_NOTEXIST	item does not exist
ERR_ITEM_LEVELLIMIT	The character level is not enough to use this item
ERR_ITEM_CANNOTBEEQUIPED	This item cannot be equipped
ERR_ITEM_WRONG_PROFESSION	The equipment does not match the occupation
ERR_EMBLEM_NOIDENTIFY	A coat of arms with holes, requiring identification before it can be equipped
ERR_EMBLEM_NOEMPTYSLOT	No Empty Heraldic Holes
ERR_EMBLEM_CANTIDENTIFY	The coat of arms cannot be identified
ERR_JADE_MAXLEVEL	Dragon Jade has risen to the highest level
ERR_JADECOMPOSE_NOTFIND	No dragon jade that can be upgraded
ERR_JADEATTACH_NOEMPTYSLOT	The hole of the dragon jade is full, please remove it before inlaying the dragon jade
ERR_JADE_WRONGTYPE	Dragon jade hole shape does not match
ERR_JADE_REPLACE	Replaced dragon jade successfully
ERR_JADE_COUNTNOTENOUGH	Insufficient number of dragon jade
ERR_JADE_GOLDNOTENOUGH	Gold inadequate
ERR_JADE_OPENJADELACKCOIN	Missing required currency
ERR_JADE_NOEMPTYSLOT	Dragon jade hole is full
ERR_JADE_SAME_TYPE	The equipment has been inlaid with a dragon jade of the same type
ERR_TEAM_NEED_ATLEAST_2_MEMBER	This copy requires more than 2 people to enter
ERR_CHEST_TAKED	Reward has been received
ERR_CHECKIN_FULL	already signed
ERR_CHECKIN_LACKDRAGONCOIN	Insufficient Dragon Coins for Supplementary Signature
ERR_ACTIVITY_NOCHESTINDEX	No such treasure chest
ERR_ACTIVITY_HASGETCHEST	Treasure box has been received
ERR_ACTIVITY_NOTENOUGHVALUE	not active enough
ERR_ACTIVITY_SPECIALCHESTCOUNTLIMIT	Not eligible to receive
ERR_ARENA_ADDCOUNTLACKCOIN	The scene cannot be transformed
ERR_SHOP_ITEMNOTEXIST	The current state cannot be transformed
ERR_SHOP_LACKMONEY	Insufficient currency required
ERR_ITEM_NEED_DIAMOND	Not enough diamonds
ERR_ITEM_NEED_DRAGONCOIN	Insufficient amount of dragon coins
ERR_SWEEP_POWERPOINT_LESS	The current combat power does not meet the sweeping conditions
ERR_SWEEP_TICKET_LESS	Insufficient sweep rolls to sweep
ERR_SWEEP_NOT_THREE_STAR	The level does not have 3 stars and cannot be swept away
ERR_BUY_LIMIT	Purchase limit reached
ERR_TEAM_ALREADY_INTEAM	already in a team
ERR_TEAM_ALREADY_INOTHERTEAM	The opponent is already in another team and cannot be invited
ERR_TEAM_NOT_EXIST	Team does not exist
ERR_TEAM_FULL	Team is full
ERR_TEAM_MEMCOUNT_OVER	The number of teams exceeds the level limit
ERR_TEAM_WRONG_PASSWORD	Team password error
ERR_TEAM_EXPEDITIONID_NOT_EXIST	The selected target does not exist
ERR_TEAM_LEVEL_REQUARE	Insufficient level to join the team
ERR_TEAM_EXPEDITION_DAYCOUNT	Today's attendance has been exhausted
ERR_TEAM_NEST_DAYCOUNT	Today's lair participation has been exhausted
ERR_TEAM_INVITE_ROLE_IS_IN_BATTLE	The opponent is fighting, please invite later
ERR_TEAM_NOT_PASS	Not cleared, can not help
ERR_TEAM_LEADER_NOTHELPER	Adjusted to the captain's help status canceled
ERR_TEAM_INV_LOGOUT	The other party is offline and cannot be invited
ERR_TEAM_IDIP	This game is banned
ERR_TEAM_INV_IN_FAMILY	Players cannot team up in their home
ERR_TEAM_WEEK_NEST_EXP	Level changed, please try again
ERR_TEAM_SEAL_TYPE	Seal level does not match
