ID	SuitDesc	SuitID	IsHide	Avenue	AvenueDesc
ID	套装名	套装ID	是否前端隐藏列表中的该套装 0=不隐藏 1=隐藏	跳转途径	跳转途径描述
1	深渊套	16001|16002|16003|16004|16005|16006|16007	0	0	主线获得
2	地狱犬套	32011|32012|32013|32014|32015|32016|32017	0	0	首通地狱犬巢穴-困难获得
3	狮蝎套	40011|40012|40013|40014|40015|40016|40017	0	0	首通狮蝎巢穴-困难获得
4	天启套	50011|50012|50013|50014|50015|50016|50017	0	0	首通天启巢穴-困难获得
5	大主教套	60011|60012|60013|60014|60015|60016|60017	0	0	首通大主教巢穴-困难获得
6	巨人套	70011|70012|70013|70014|70015|70016|70017	0	0	首通巨人巢穴-困难获得
7	伟大先祖套	80011|80012|80013|80014|80015|80016|80017	0	0	首通台风金巢穴-困难获得
8	K博士套	90011|90012|90013|90014|90015|90016|90017	0	0	首通K博士巢穴-困难获得
9	黑龙套	91021|91022|91023|91024|91025|91026|91027	0	0	挑战黑龙本获得
10	守护者套	91011|91012|91013|91014|91015|91016|91017	0	0	首通守护者巢穴-困难获得
11	迷雾套	92011|92012|92013|92014|92015|92016|92017	0	0	首通迷雾巢穴-困难获得
13	火山套	93011|93012|93013|93014|93015|93016|93017	0	0	首通火山巢穴-困难获得
