basetaskid					num
基础任务id	描述				需要填的数字
1	通关某个地图				sceneid
2	参加某个场景玩法几次（比如竞技场，天梯，保护队长，bossrush，黑暗神殿，女神试炼，龙之远征等)				sceneType|次数
3	参加世界boss几次				次数
4	参加公会boss几次				次数
5	累计登陆几次				次数
6	vip累计登陆几次				次数
7	累计参加公会挑战几次				次数
8	累计参加公会语音几次				次数
9	强化大师达到多少级				级数
10	累计拥有x枚y级龙玉				y|x
11	累计送出几个好友礼物				个数
12	角色等级达到N级				等级数
13	收集物品				普通任务：填物品id|物品个数，收集的东西被消耗了不会减次数，并且交任务不会扣除。子任务：物品id|物品个数1|物品个数2..（物品个数根据父任务领取总次数决定，填一个就是都一样），被消耗了会减次数，交任务会扣除。
14	和战友组队完成（保护队长、英雄战场、竞技巢穴）				sceneType|次数
15	通关or获得胜利某个场景玩法几次				sceneType|次数
16	累计获得活跃度多少点				点数
17	助战通关or获得胜利某个场景玩法几次				sceneType|次数
18	助战通关or获得胜利某个地图几次				sceneid|次数
19	通关or获得胜利某个地图玩法几次				sceneid|次数
20	加入公会				不填
21	好友个数到达多少个				个数
22	公会捐赠多少个				个数
23	某种任务完成多少次				任务类型|次数，1日常2悬赏
24	小龙本完成次数				次数
25	消耗多少物品				物品id|个数
26	消耗多少钻石				个数
27	充值多少钻石				个数
28	每日活跃度达到多少				个数
29	就是累计完成多少次注灵				次数
30	就是累计完成多少次鉴定				次数
31	通关or获得胜利某个组队场景玩法几次				DNExpeditionType|次数
32	发聊天红包次数				次数
33	拍照分享（qq、微信）次数				次数
34	累计登陆几天(与5的区别在于任务开启第一天非首次登陆也可激活,但该类型不可使用自动领奖并重置功能,否则会存在刷道具现象)				次数
36	520活动期间收到的千纸鹤计数				个数
37	商城充值获得多少个钻石				钻石个数
38	通关某些创建次数				次数|场景ID|场景ID|....
39	玩家战力达成				战力值
40	上阵精灵战力达成				战力值
41	身上镶嵌龙玉总等级达成				等级数
42	身上装备注灵总等级达成				等级数
43	身上装备强化总等级达成				等级数
44	非新服商城充值获得多少个钻石				钻石个数
200	人拉人-招募x人				招募人数
201	人拉人-集结x人				绑定人数
202	人拉人-被招募用户累积登录次数(每天每人只记1次)				累计登陆天数
203	累计收菜x次(家园+公会)				累计收菜次数
121	加好友（活动期间）				加好友（活动期间）
301	强化装备X次				次数
302	同时装备X等级X品质装备X件				装备等级|品质L=5 S=4 A=3 B=2 C=1|同时穿戴的件数
303	同时装备X个X品质的纹章				X|Y
304	同时镶嵌X个Y级龙玉				X|Y
310	精灵等级升级X次				X
311	每日消耗骰子数量（贝爷大冒险活动）				数量
312	活动内消耗骰子数量（贝爷大冒险活动）				数量
