actid	goodsid	costid	buyitem	buycount	name
活动id	商品id(区分每个购买项，必须唯一)	消耗的道具（itemid1=itemcount1|itemid2=itemcount2），当配置了钻石时，不能同时配置其他道具	获得的道具(itemid1=itemcount1|itemid2=itemcount2)	次数限制	礼包名称
97	32000	3154=12	14200=1	1	烈阳初夏翅膀
97	32001	3154=12	12003=1	1	夜空降临翅膀
97	32002	3154=12	11100=1	1	翠绿之缤纷夏梦之翼
97	32003	3154=12	11254=1	1	宇宙海盗翅膀
97	32004	3154=12	11057=1	1	黎明之光翅膀
97	32005	3154=6	14201=1	1	烈阳初夏尾巴
97	32006	3154=6	12004=1	1	夜空降临尾饰
97	32007	3154=6	11101=1	1	翠绿之缤纷夏梦之尾
97	32008	3154=6	11255=1	1	宇宙海盗尾巴
97	32009	3154=6	11058=1	1	黎明之光尾巴
97	32010	3154=4	14202=1	1	烈阳初夏纹身
97	32011	3154=4	12005=1	1	夜空降临纹身
97	32012	3154=4	11102=1	1	翠绿之缤纷夏梦之印
97	32013	3154=4	11256=1	1	宇宙海盗纹身
97	32014	3154=4	11059=1	1	黎明之光纹身
98	33001	64501=30	64526=1	10	传说符文龙装备自选箱
98	33002	64501=15	4819=10	20	符文龙升级石礼包10选1
98	33003	64501=15	4843=10	20	森林龙材料礼包9选1
98	33004	64501=15	4848=1	20	森林龙升级石礼包9选1
98	33005	64501=15	4854=1	20	森林龙传奇升级石礼包9选1
99	34000	64579=1500	2767=1	1	泳池夏日环绕特效
99	34001	64579=500	2768=1	1	泳池夏日脚底特效
99	34002	64579=328	64580=1	1	夏日时装三选一
99	34003	64579=20	1322=1	70	L级纹章碎片
99	34004	64579=12	63852=1	30	森林龙高级附魔石自选箱
99	34005	64579=36	63853=1	30	森林龙大师附魔石自选箱
99	34006	64579=15	1427=1	15	见习高级龙封卷轴
99	34007	64579=4	1421=1	50	见习充能卷轴
99	34008	64579=1	1279=1	2000	重铸精华
99	34009	64579=4	193661=1	40	圣器魔化精髓
99	34010	64579=30	841=1	20	S级佣兵专属碎片
99	34011	64579=4	1278=1	40	重铸锁定石
99	34012	64579=218	1099805=1	10	5级双防龙玉
99	34013	64579=10	1600000=1	200	S级技能纹章碎片
99	34014	64579=30	6239=1	48	羁绊之心-绿龙卡拉翰
99	34015	64579=1	193660=1	300	圣器注灵精华
99	34016	64579=410	1099907=1	2	7级元素攻龙玉
99	34017	64579=15	835=1	45	阿尔杰塔核心
99	34018	64579=20	837=1	45	贝思柯德核心
99	34019	64579=128	1533=1	1	奶茶坐骑
99	34020	64579=10	609=1	50	纯净的精灵升星药水
