actid	taskid	tasktype	taskson	taskfather	title	basetask	num	cnt	items	autogetandreset	icon	type	belong	jump	arg	chapterFather
活动id	任务id	任务类型（0基本任务，1父任务，2子任务，3后续任务）	父任务对应子任务（可多个）	子任务对应父任务（只能一个）	描述	基础任务	数字	显示次数	奖励	自动领取奖励并且重置	图标	类型	属性	跳转	参数	对应的父章节
1	23	0			累积登录第1天	5	1	1	7=20|1182=10|90=10|30=20|1310=5			1	1			
1	24	0			累积登录第3天	5	3	3	7=50|611=8|90=15|30=20|1310=15			1	1			
1	25	0			累积登录第5天	5	5	5	7=100|400=5|90=30|30=20|1310=25			1	1			
1	26	0			累积登录第10天	5	10	10	7=180|606=2|92=10|30=20|1310=50			1	1			
1	27	0			累积登录第15天	5	15	15	7=200|603=10|92=20|30=20|1310=75			1	1			
1	28	0			累积登录第25天	5	25	25	7=500|612=20|92=30|30=20|1310=100			1	1			
1	1	0			通关第一章主线副本	1	105		7=20|93=20|1=58888|30=20|1310=5			1	2	110	1|1|0	
1	2	0			通关第三章主线副本	1	310		7=30|93=25|1=68888|30=20|1310=10			1	2	110	1|2|0	
1	3	0			通关第五章主线副本	1	510		7=40|93=30|1=88888|30=20|1310=15			1	2	110	1|3|0	
1	4	0			通关第十章主线副本	1	11010		7=50|94=25|1=100000|30=20|1310=20			1	2	110	1|4|0	
1	5	0			通关第十五章主线副本	1	11510		7=150|95=20|1=128888|30=20|1310=30			1	2	110	1|5|0	
1	6	0			通关第十七章主线副本	1	11710		7=200|96=20|1=158888|30=20|1310=50			1	2	110	1|6|0	
1	55	0			任意10件装备强化至+10	9	10		93=15|62=10|7=20|30=50|1310=10			2	2	121		
1	56	0			任意10件装备强化至+20	9	20		93=25|62=15|7=25|30=50|1310=20			2	2	121		
1	57	0			任意10件装备强化至+30	9	30		93=40|62=20|7=30|30=50|1310=30			2	2	121		
1	58	0			任意10件装备强化至+40	9	40		93=50|62=25|7=50|30=50|1310=40			2	2	121		
