actid	actname	systemid	minlevel	datetype	starttime	starthour	timestage	duration	durationhour	rewardtime	pointid	needpoint	bigprize	rate	OpenServerID
活动id（200以上认为是解封活动）	描述	系统id	开启最小等级	开启时间类型（1是开服时间，2是具体日期，3是每周几，4合服活动）	开启时间（开服时间填偏移天数，年月日填8位数字，每周填周几开）	开启时间那天第几个小时开	"持续时间阶段（小时=分钟）,开启时间的结束时间，后面3个之后别用了，就用timestage"	持续时间（天）	持续时间多余小时数	活动结束后领奖持续时间（天）	积分id	大奖所需积分	大奖的itemid=count	积分兑换比率	开启的服ID（不填表示所有服都开）
1	开服活动	67	12	1	0	5	1080=0|120=0	45	0	5	30	1500	720=1	0.2	
2	回归礼品店	608	0	2	20210510	5	744=0	0	0	0					
3	情人节送花活动	845	0	2	20210510	5	139=0	0	139	0					
4	战友日	846	32	2	20210510	5	24=0|24=0|19=0	3							
5	回流活动	580	15	2	20210510	5	876000=0								
6	公会角逐	604	0	1	0	5	528=0								
7	塔姐福利	571	80	1	0	5	876000=0								
8	合服活动		0	4		5	120=0								
9	甜蜜情人	847	0	2	20210510	5	19=0								
10	鲜花活动	427	0	2	20210510	5	163=0|0=10								
11	上古魂盒	541	40	2	20210510	5	595=0								
12	方块迷阵	771	20	2	20210510	5	43=0|48=0|48=0								
13	幽灵蘑菇园	772	20	2	20210510	5	72=0								
14	结婚活动	585	20	2	20210510	5	192=0								
16	转盘活动	633	20	2	20210510	5	47=0								
17	阵营比拼	614	20	2	20210510	5	91=0								
18	珍宝阁（掉落）		20	2	20210510	5	108=0								
19	双旦活动（掉落）		20	2	20210510	5	168=0								
20	龙本活动（掉落）		20	2	20210510	5	336=0								
21	春节庆典活动（掉落）		20	2	20210510	5	156=0								
22	小龙本活动（掉落）		20	2	20210510	5	336=0								
23	阵营印记（魔化巢穴掉落）		20	2	20210510	5	91=0								
24	女神评选（掉落）		20	2	20210510	5	336=0								
25	波普大人的密室	481	1	2	20210510	5	96=0								
26	夏萝莉的的赠礼	482	5	2	20210510	5	156=0								
27	巢穴活动（阵营掉落用）		20	2	20210510	5	336=0								
28	深渊活动（掉落）		12	2	20210510	5	336=0								
29	春节庆典	486	20	2	20210510	5	163=0								
30	情义扭蛋	634	10	2	20210510	13	331=0								
31	装备保值	465	10	2	20210510	5	336=0								
32	暗影喵	1001	20	2	20210510	5	211=0								
33	世界杯（深渊、巢穴、魔化巢穴）		20	2	20210510	13	576=0								
34	感恩深渊掉落		20	2	20210510	5	192=0								
35	感恩魔化巢穴掉落		20	2	20210510	5	192=0								
36	掉落活动（魔化龙、红龙）		20	2	20210510	5	168=0								
37	嘉年华掉落（夏9.28-10.1）		20	2	20210510	5	235=0								
40	幻境冲冲冲	288	20	2	20210510	18	120=0								
50	欢乐钓糖果	774	20	2	20210510	5	156=0								
51	疯鸭秘境	775	20	2	20210510	5	84=0								
52	疯鸭围城	776	20	2	20210510	18	808=0								
53	精灵召唤UP	394	20	2	20210510	5	192=0								
54	赛季服Bossrush双倍	395	20	2	20180117	5	24=0								
55	赛季服龙穴双倍掉落	396	20	2	20180118	5	24=0								
60	欢乐翻牌	285	1	2	20210510	19	1630=0								
61	全民宝藏	286	131	2	20210510	5	32=0|72=0|72=0|72=0|120=0|208=0								
62	沙龙之殇	1016	130	2	20210510	13	504=0								
63	投资礼包	801	20	2	20210510	5	48=0|360=0								
64	新春投资礼包	802	20	2	20210510	5	48=0|360=0								
65	七日登录	1019	20	2	20210510	5	211=0								
67	幻境争榜	287	20	2	20210510	18	120=0								
68	龙魂秘宝	1023	20	2	20210510	13	47=0								
69	明星粉丝榜	803	20	2	20210510	19	91=0|48=0								
71	欢乐卡牌	185	20	2	20210510	5	115=0								
72	绿龙再临	186	140	3	1	5	24=0								
75	开服冲榜	188	20	1	0	0	168=0	7							
76	神秘宝箱	114	20	2	20210510	5	120=0								
77	组合商城	115	20	2	20210510	5	67=0								
90	累充返利	891	20	2	20210510	5	120=0								
91	消耗返利	892	20	2	20210510	5	211=0								
92	新服累充	895	10	1	0	5	240=0								
97	众神再临	690	1	2	20210510	13	3790=0								
98	决战助力商店	691	1	2	20210510	5	715=0								
99	刮刮卡商城	692	1	2	20210510	5	48=0								
100	超级返还	894	1	2	20210510	6	715=0								
101	森林龙试炼	893	10	2	20210510	18	3300=0								
102	星龙之魂	896	20	2	20210510	21	115=0								
103	消耗返材料	897	20	2	20210510	5	163=0								
104	累充返豪礼	889	20	2	20210510	5	115=0								
105	累充返好礼	899	20	2	20210510	5	47=0								
106	每日充值	849	1	1	0	0	168=0	7							
107	每日充值累登	849	1	1	0	0	168=0	7							
109	历史充值返钻	116	20	2	20210510	5	240=0|1555=0								1174|2183|3108|4286|3991|3992|3993|3996|3997|3999|9611|9612|9621|9622|9631|9632|9641|9642
110	每日充值（非开服）	1517	20	2	20210510	5	163=0								
111	每日充值累登（非开服）	1517	20	2	20210510	5	163=0								
501	助力回归	145	140	2	20210510	19	744=0								
112	遗迹宝藏	117	20	2	20210510	13	360=0								
113	百宝蛋	1011	20	2	20210510	18	143=0								
108	神秘宝物	397	50	2	20210510	13	10=0								
114	星座兑换	1522	0	2	20210510	5	47=0	0	0	0					
115	G谷粽子铺	1523	0	2	20210510	5	168=0	0	0	0					
502	骑士勋章	1520	20	2	20210510	5	43800=0								
116	贝爷大冒险	1524	20	2	20210510	18	3600=0								
117	钻石悬赏	1100	20	2	20210510	5	426=59								
