Comment	Value	monster_type	SupRecoveryChange
备注	状态值	怪物类型(1.boss| 2.opposer| 6.elite）	超级盔甲恢复百分比改变
HitBackPresent	1	1	0.5
HitBackStraight	2	1	0.5
HitBackGetup	3	1	1
HitFlyPresent	4	1	0
HitFlyLand	5	1	1
HitFlyBounce	6	1	1
HitFlyStraight	7	1	1
HitFlyGetup	8	1	1
HitRollPresent	9	1	0.5
HitRollStraight	10	1	0.5
HitRollGetup	11	1	1
HitFreeze	12	1	0
HitBackPresent	1	6	0.5
HitBackStraight	2	6	0.5
HitBackGetup	3	6	1
HitFlyPresent	4	6	0
HitFlyLand	5	6	1
HitFlyBounce	6	6	1
HitFlyStraight	7	6	1
HitFlyGetup	8	6	1
HitRollPresent	9	6	0.5
HitRollStraight	10	6	0.5
HitRollGetup	11	6	1
HitFreeze	12	6	0
