SystemAnnounceID	ID	SystemID	SystemDescription	OpenAnnounceLevel	AnnounceDesc	AnnounceIcon	TextSpriteName	IconName	AnnounceType	ConditionValue	ConditionOpenText	AvatarID	AvatarOffSet	AvatarScale	AnnounceImageName
唯一标识	玩家等级	系统ID	系统说明	系统开放预告等级		Icon名	文字图片名	大界面icon名称	1=等级开放 2=条件开放	条件为2时scenelist的id	条件开放文本	对应XEntityStatistics表中的ID	模型偏移量	模型缩放	新功能预览左侧图片
1	7	15	坐骑	7	选择坐骑伙伴，享受酷炫拉风的感觉，还能参加各种竞速玩法哦！	BQ_5	HallWord_zq	ActivityHandler_18	1						Hall/Reset_icon=icon_reset_3
2	10	930	精灵	10	精灵是你最好的战斗伙伴，培养精灵，增强战斗力，不同精灵队长技能助你面对各种挑战！	BQ_21	HallWord_jl2	ActivityHandler_23	1						Hall/Reset_icon=icon_reset_1
3	15	131	转职	15	不同的转职，拥有截然不同的精彩感受，学习对应的个性强力技能！	BQ_4	HallWord_zz	ActivityHandler_31	1						Hall/Reset_icon=icon_reset_4
4	30	131	二次转职	30	二次转职，学习更为强大的个性技能！	BQ_41	HallWord_rczz	ActivityHandler_6	1						Hall/Reset_icon=icon_reset_5
5	40	530	黑暗神殿	40	不断挑战你的极限，越高层数越多奖励越丰厚哦！	BQ_13	HallWord_hasd	ActivityHandler_17	1						Hall/Reset_icon=icon_reset_2
6	50	520	天启巢穴！	50	组队挑战巢穴副本，赢取强力装备奖励，更有巢穴时装供冒险家收集！	BQ_31	HallWord_cx	ActivityHandler_21	1						Hall/Reset_icon=icon_reset_21
7	50	520	天启-简单	50	组队挑战巢穴副本，赢取强力装备奖励，更有巢穴时装供冒险家收集！	BQ_31	HallWord_cx	ActivityHandler_21	2	11031	挑战天启巢穴				Hall/Reset_icon=icon_reset_21
8	50	520	天启-普通	50	组队挑战巢穴副本，赢取强力装备奖励，更有巢穴时装供冒险家收集！	BQ_31	HallWord_cx	ActivityHandler_21	1						Hall/Reset_icon=icon_reset_21
9	50	520	天启-困难	50	组队挑战巢穴副本，赢取强力装备奖励，更有巢穴时装供冒险家收集！	BQ_31	HallWord_cx	ActivityHandler_21	1						Hall/Reset_icon=icon_reset_21
10	50	231	绿龙龙穴！	50	组队挑战终极龙穴，享受最精彩的副本，征服最惊叹的挑战，赢取最顶级的奖励！	BQ_40	HallWord_lx	ActivityHandler_8	1						Hall/Reset_icon=icon_reset_16
11	50	231	巨木丛林	50	组队挑战终极龙穴，享受最精彩的副本，征服最惊叹的挑战，赢取最顶级的奖励！	BQ_40	HallWord_lx	ActivityHandler_8	2	21510	挑战绿龙龙穴				Hall/Reset_icon=icon_reset_20
12	50	231	符文沼泽	50	组队挑战终极龙穴，享受最精彩的副本，征服最惊叹的挑战，赢取最顶级的奖励！	BQ_40	HallWord_lx	ActivityHandler_8	2	21511	挑战绿龙龙穴				Hall/Reset_icon=icon_reset_17
13	50	231	勇者遗迹	50	组队挑战终极龙穴，享受最精彩的副本，征服最惊叹的挑战，赢取最顶级的奖励！	BQ_40	HallWord_lx	ActivityHandler_8	2	21512	挑战绿龙龙穴				Hall/Reset_icon=icon_reset_19
14	50	231	剧毒峡谷	50	组队挑战终极龙穴，享受最精彩的副本，征服最惊叹的挑战，赢取最顶级的奖励！	BQ_40	HallWord_lx	ActivityHandler_8	2	21513	挑战绿龙龙穴				Hall/Reset_icon=icon_reset_18
15	50	231	魔力之源	50	组队挑战终极龙穴，享受最精彩的副本，征服最惊叹的挑战，赢取最顶级的奖励！	BQ_40	HallWord_lx	ActivityHandler_8	2	21514	挑战绿龙龙穴				Hall/Reset_icon=icon_reset_15
16	50	231	梦的回廊	50	组队挑战终极龙穴，享受最精彩的副本，征服最惊叹的挑战，赢取最顶级的奖励！	BQ_40	HallWord_lx	ActivityHandler_8	2	21515	挑战绿龙龙穴				Hall/Reset_icon=icon_reset_16
