SystemID	SystemDescription	SystemDescriptionEng	SystemHelp
系统ID	系统说明	系统英文说明c	帮助信息
11	关卡	XSys_Level	
12	装备	XSys_Item	
13	技能	XSys_Skill	
14	人物	XSys_Char	
15	坐骑	XSys_Horse	坐骑|1.坐骑获得{n}{n}每个21级玩家都可以获得初始的坐骑摩卡方糖，如果希望获得其他厉害的坐骑可以在[a431e2]潘多拉之心抽奖[-]、交易所、限时活动中获得{n}{n}2.每获得一个坐骑即可获得收藏属性（收藏属性叠加），但只能启动一个坐骑来获得启动属性{n}{n}3.同类坐骑只能获得一次，再次获得可在交易所出售或使用获得奖励{n}{n}4.点击弹框右侧按钮可查看全部坐骑，查看中显示该坐骑获得方式。
159	坐骑技能	XSys_Horse_LearnSkill	坐骑技能|1.坐骑可以通过使用坐骑技能书学习相应的技能，每次学习必定成功{n}2.使用坐骑技能书不会顶替固定技能，但是有概率顶替掉其它使用技能书学习的技能{n}3.坐骑心情对领悟新技能有很小的影响
16	时装	XSys_Fashion	
17	公会	XSys_Guild	
18	回收	XSys_Recycle	
19	背包	XSys_Bag	2|4|6|8|10|12
20	T台秀	XSys_Tshow	
22	拍卖行	Xsys_Auction	交易所及拍卖行|一、交易所的作用{n}{n}可通过交易所购买或者出售道具，既可以获得装备、制作材料等需求道具，又可以通过出售道具获得龙币。还可以通过拍卖行进行稀有道具的竞拍和一口价购买{n}{n}二、如何购买&出售{n}{n}购买：点击“我要购买”选项，选择所需商品的分类，即可购买商品数量充足的道具{n}{n}出售：点击“我要出售”选项，选择要出售的商品，成功出售的商品系统需要收取10%的手续费。点击上架后商品并不是立即上架，需要等待几分钟才会在交易所中出现，请耐心等待{n}{n}购买后绑定：道具购买后会变成绑定状态，不可上架。{n}{n}三、拍卖行{n}{n}公会拍卖行：[a431e2]公会BOSS、公会擂台赛、公会资源争夺、世界BOSS、公会领地争夺和裂隙精英[-]活动结束以后会根据排名上架稀有道具供所有公会成员竞拍，不同公会上架内容不同。竞拍结束后竞拍总金额会分摊到所有参与相应活动的公会成员作为分红。{n}{n}当拍卖剩余时间少于30秒时，如果有玩家竞拍成功物品，剩余时间会增加30秒，直到竞拍价等于一口价为止{n}{n}世界拍卖行：公会拍卖行无人竞拍的所有道具都会集中到世界拍卖行，供全服玩家竞拍，竞拍结束依然流拍的道具会被系统回收
23	T台规则	XSys_TShowRule	
24	魅力榜	XSys_FlowerRank	
25	图鉴系统	XSys_CardCollect 	图鉴|1、图鉴开放{n}{n}达到不同等级将开放不同的图鉴卡组{n}{n}2、图鉴收集{n}{n}通过参与[a431e2]日常玩法-大陆探险[-]可获得不同品质的卡牌{n}集齐指定卡牌可以激活组合，获得属性加成{n}{n}3、图鉴兑换{n}{n}可以在兑换商店中使用卡牌碎片兑换卡牌{n}{n}4、图鉴分解{n}{n}图鉴分解只会分解当前完全用不到的卡牌，分解卡牌可以获得卡牌碎片{n}{n}5、组合数加成{n}{n}激活组合数量达到指定值解锁[a431e2]组合数加成[-]{n}提升相应卡组对角色加成百分比的属性{n}{n}6、图鉴突破{n}{n}当卡组所有组合全部激活后可突破到下一星级，收集卡牌即可再次激活获得大量属性加成
26	阵营	XSys_Camp	
27	邮件	XSys_Mail	
29	称号	XSys_Design	
30	超值礼包	XSys_SuperReward	
31	十连抽停用	XSys_Draw	
32	商城	XSys_Mall	
33	变强	XSys_Strong	
34	目标	XSys_Target	
35	奖励	XSys_Reward	
37	战力奖励	XSys_ServerActivity	
38	次日奖励		
39	在线奖励		
40	设置	XSys_Setting	
41	排行榜	XSys_Rank	
42	等级奖励	XSys_LevelReward	
