IsOpen	OpenDay	BackServerOpenDay	TaskID	PromoteLevel	PlayerLevel	SystemID	SystemDescription	FatherID	SystemDescriptionEng	Reward	NewbieGuideID	OpenAnnounceLevel	Icon	AnnounceDesc	AnnounceIcon	Priority	TitanItems	NoRedPointLevel	InNotice	NoticeText	NoticeIcon	NoticeEffect	SeasonOpenDay
是否开启（如果改表从开启变为不开启，已经开启的玩家不受影响）	开服几天开放	回流服开服几天开放	任务ID	转职等级(1:一转 2:二转 3:觉醒)	玩家等级	系统ID	系统说明	父节点ID	系统英文说明	系统开放奖励	新手指引ID	系统开放预告等级	系统图标	弹出描述	弹出图标	切场景打开UI的优先级，优先级高的覆盖低的。值越大 优先级越高	泰坦条的货币列表	红点屏蔽	是否是主界面弹出按钮（0：否1：是）	文字icon的spriteName	底图icon的spritename	特效名称（不填就是没特效c）	开服第几天开启功能（不填就是开服就开启）
TRUE			0		0	11	关卡	0	XSys_Level							0	9|7|1|6|14						
TRUE			0		0	12	装备	0	XSys_Item							0	9|7|1|6|14						
TRUE					2	13	技能提升	0	XSys_Skill			2	hall_icon_12	技能学习|角色达到2级后开启|学习并升级技能，增强战力！	BQ_3	0		10|18|16					
TRUE			0		0	14	人物	0	XSys_Char							0	9|7|1|6|14						
TRUE					21	15	坐骑	0	XSys_Horse	702=1		21		坐骑开放|角色达到21级后开启|选择坐骑伙伴，共同战斗成长！	BQ_5	0	9|7|1|6|14						
TRUE					9	16	时装	0	XSys_Fashion			9	ICON-XT-sz1	华丽时装|角色达到9级后开启|穿戴华丽时装，随心改变人物造型！	BQ_6	0	9|7|1|6|14						
TRUE					0	9	外观		XSys_Exterior														
TRUE					14	17	加入公会	0	XSys_Guild				ICON-XT-gh1	加入公会|角色达到14级后开启|在公会中结交新的朋友，开启丰富精彩玩法！	BQ_7	0	9|7|1|6|14						
TRUE					13	18	分解	0	XSys_Recycle							0	9|7|1|6|14						
TRUE			0		0	19	背包	0	XSys_Bag							0	9|7|1|6|14						
TRUE			0		0	20	T台秀	0	XSys_Tshow								9|7|1|6|14						
TRUE					12	22	拍卖行	0	Xsys_Auction				ICON-XT-jys1			0	7|14						
TRUE			0		0	23	T台规则	0	XSys_TShowRule								9|7|1|6|14						
TRUE					2	24	魅力榜	0	XSys_FlowerRank				ICON-XT-flower			0	9|7|1|6|14						
TRUE					17	25	图鉴激活	0	XSys_CardCollect				ICON-XT-br1			0							
TRUE			100		0	26	阵营	0	XSys_Camp				ICON-XT-zy1	不展开下面|展开以后上面那句|展开以后下面那句很长很长		0	9|7|1|6|14						
TRUE			0		0	27	邮件	0	XSys_Mail							0	9|7|1|6|14		1	Hall/Word=HallWord_xyj	Hall/Hall=hall_icon_95		
TRUE			0		0	29	称号	0	XSys_Design							0	9|7|1|6|14						
TRUE			0		1	30	超值礼包	0	XSys_SuperReward				ICON-XT-jclb1										
TRUE					10	31	十连抽停用	0	XSys_Draw							0	9|7|1|6|14						
TRUE					10	32	商城	0	XSys_Mall							0	9|7|1|6|14						
TRUE					12	33	变强	0	XSys_Strong							0	9|7|1|6|14						
TRUE			100		0	34	目标	0	XSys_Target							0	9|7|1|6|14						
TRUE					10	35	奖励	0	XSys_Reward				ICON-XT-jl1	不展开下面|展开以后上面那句|展开以后下面那句很长很长		0	9|7|1|6|14	10|18|16					
TRUE			0		1000	37	战力奖励	0	XSys_ServerActivity							0	9|7|1|6|14						
TRUE			0		0	38	次日奖励	0								0	9|7|1|6|14						
TRUE			100		1000	39	在线奖励	0								0	9|7|1|6|14						
TRUE			0		0	40	设置	0	XSys_Setting							0	9|7|1|6|14						
TRUE					20	41	排行榜	0	XSys_Rank							0							
TRUE					10	42	等级奖励	0	XSys_LevelReward							0	9|7|1|6|14						
TRUE					5	44	领取体力	0	XSys_ReceiveEnergy				ICON-XT-mrtl	领取体力|角色达到2级后开启|免费领取体力！		0	9|7|1|6|14						
TRUE					32	45	装备制作	0	XSys_EquipCreate	1=1000			ICON-XT-jn1	装备合成|角色达到2级后开启|合成牛逼的装备，增强战力！		0	1						
