TaskType	TaskID	PreTaskID	StepID	BranchID	ConditionType	Content	Prof	ProfLevel	TaskTime	EndTime	BeginTaskNPCID	EndTaskNPCID	RequiredLevel	ActivityID	TaskTitle	TaskDesc	InprocessDesc	BeginDesc	EndDesc	PassScene	TaskScene	TaskItem	TaskMonster	RewardItem	MailID	TaskActivity	HideTaskTitleTag	AchieveMedalLevel	TaskStateTutorial
任务类型（1=主线 2=上古 3=转职 4=日常 5=职业 6=活动 7=周常 8=回归 9=觉醒 22=外传 10=支线）	任务ID	前置任务ID	单任务多分支步骤id	单任务多分支分支id	任务类型：1、使用物品，2、StageID，3、打指定怪物，4、使用指定物品品质类型，5、指定活动，6、世界boss排名，7、StageType，8、Visit访问任务（针对单任务多分支）	条件类型对应的条件内容	可以接的职业（比如1|2)	专职级别	触发时间	结束时间	发布NPC	完成NPC	人物等级	开启活动ID	任务标题	任务描述	战斗任务描述	开始任务描述	结束任务描述	通关关卡	传送关卡	任务道具	指定怪物	奖励	奖励邮件(每个职业一个)			赛季成就勋章等级条件	任务状态触发引导（任务状态=引导ID=引导脚本名称|下一个任务状态=下一个引导ID=下一个引导脚本名称）
3	1							1			1|6|5|35|75|123|166	1|6|5|35|75|123|166	15		初次转职	想要更强的力量，去导师那询问转职的方法吧	挑战试炼之地	去询问转职的方法吧	恭喜你勇士，你可以转职了！		21=1								
3	2	1					11|21|12|22|13|23|14|24|34|15|25|16|26|17|27|31|32|35|37				1|6|5|35|75|123|166	1|6|5|35|75|123|166	45		二次转职	力量躁动不安，去询问导师二次转职的方法吧	挑战试炼地狱	去询问二次转职的方法吧	证明了自己的力量，去转职吧		22=1			1=1000					
4	2222										9|9|9|9|9|9|9	9|9|9|9|9|9|9	16		神官的委托	前往黑暗女神官处接取任务	完成黑暗女神官委托的任务	前往黑暗女神官处接取任务	完成了黑暗女神官委托的任务										
7	2223										13|13|13|13|13|13|13	13|13|13|13|13|13|13	27		悬赏任务	艾琳小姐发布了一些悬赏任务	完成艾琳的悬赏任务	艾琳小姐发布了一些悬赏任务	完成艾琳的悬赏任务										
6	2333										37|37|37|37|37|37|37	37|37|37|37|37|37|37	0	17	最萌宠物大比拼	大明星夏萝莉有些事要找你呢	点击加入一个阵营吧	大明星夏萝莉有些事要找你呢	去跟夏萝莉汇报一下阵营情况吧					1=5000		19=1			
2	5563								2017|04|01|05|00|00	2017|04|02|05|00|00	10|10|10|10|10|10|10	10|10|10|10|10|10|10	20		初见的回忆		回忆过去	似乎有人在远处呼喊你	诉说和杰兰特相识的经历		50007=1			318=1|602=3|32=250					
2	5564								2017|04|02|05|00|01	2017|04|03|05|00|00	10|10|10|10|10|10|10	10|10|10|10|10|10|10	20		一起的冒险		回忆过去	桑德斯邀请你过去坐坐	回忆和杰兰特一起冒险的故事		50008=1			318=1|602=3|32=250					
2	5565								2017|04|03|05|00|01	2017|04|04|05|00|00	10|10|10|10|10|10|10	10|10|10|10|10|10|10	20		安心的伙伴		回忆过去	桑德斯邀请你再去坐坐	回忆杰兰特对自己的教导		50009=1			318=1|602=3|32=250					
2	5566								2017|04|04|05|00|01	2017|04|05|05|00|00	10|10|10|10|10|10|10	10|10|10|10|10|10|10	20		痛苦的离去		回忆过去	桑德斯邀请你祭奠杰兰特	回忆杰兰特最后的嘱咐		50010=1			318=1|602=3|32=250					
2	5567								2017|04|24|05|00|01	2017|04|25|05|00|00	11|11|11|11|11|11|11	11|11|11|11|11|11|11	20		抵抗黑暗入侵		抵抗黑暗入侵	教皇特拉玛依正紧急召集你	黑暗军团的入侵暂时被阻止了		50017=1			445=1					
