ExpID	SceneID	EnemyType			Buff0	Buff1	Buff2	Buff3	Buff4	Buff5	Buff6	ChangeAttribute
组队id(0表示任意，非组队本如【物资筹备】本字段必须置空)	场景id(0表示任意)	怪物类型(0表示任意)	关卡名	等级	和人数无关(和后面人数相关的配置互斥)	1人入场怪物buff	2人入场怪物buff	3人入场怪物buff	4人入场怪物buff	5人入场怪物buff	6人入场怪物buff	削弱系数(属性ID=属性值|属性ID=属性值)
	1170	1	符文龙远古第一关	140	2904101=1							
	1171	1	符文龙远古第二关	140	2904201=1							
	1172	1	符文龙远古第三关	140	2904301=1							
	1173	1	符文龙远古第四关	140	2904401=1							
	1174	1	符文龙远古第五关	140	2904501=1							
	1175	1	符文龙远古第六关	140	2904601=1							
	1170	2	符文龙远古第一关	140	2904101=1							
	1171	2	符文龙远古第二关	140	2904201=1							
	1172	2	符文龙远古第三关	140	2904301=1							
	1173	2	符文龙远古第四关	140	2904401=1							
	1174	2	符文龙远古第五关	140	2904501=1							
	1175	2	符文龙远古第六关	140	2904601=1							
	1170	6	符文龙远古第一关	140	2904101=1							
	1171	6	符文龙远古第二关	140	2904201=1							
	1172	6	符文龙远古第三关	140	2904301=1							
	1173	6	符文龙远古第四关	140	2904401=1							
	1174	6	符文龙远古第五关	140	2904501=1							
	1175	6	符文龙远古第六关	140	2904601=1							
1320	1320	1	沙漠龙-月光飞艇（全民屠龙）	130	2903001=1							
	1321	1	沙漠龙-熔岩孤岛（全民屠龙）	130	2903002=1							
	1322	1	沙漠龙-暴风瞭望台（全民屠龙）	130	2903003=1							
	1323	1	沙漠龙-蘑岩峡谷（全民屠龙）	130	2903004=1							
	1324	1	沙漠龙-赞龙的神殿（全民屠龙）	130	2903005=1							
	1325	1	沙漠龙-末日高地（全民屠龙）	130	2903006=1							
1320	1320	2	沙漠龙-月光飞艇（全民屠龙）	130	2903001=1							
	1321	2	沙漠龙-熔岩孤岛（全民屠龙）	130	2903002=1							
	1322	2	沙漠龙-暴风瞭望台（全民屠龙）	130	2903003=1							
	1323	2	沙漠龙-蘑岩峡谷（全民屠龙）	130	2903004=1							
	1324	2	沙漠龙-赞龙的神殿（全民屠龙）	130	2903005=1							
	1325	2	沙漠龙-末日高地（全民屠龙）	130	2903006=1							
1320	1320	6	沙漠龙-月光飞艇（全民屠龙）	130	2903001=1							
	1321	6	沙漠龙-熔岩孤岛（全民屠龙）	130	2903002=1							
	1322	6	沙漠龙-暴风瞭望台（全民屠龙）	130	2903003=1							
	1323	6	沙漠龙-蘑岩峡谷（全民屠龙）	130	2903004=1							
	1324	6	沙漠龙-赞龙的神殿（全民屠龙）	130	2903005=1							
