TowerHardLevel	TowerFloor	SceneID	Reward	FirstPassReward	Name	DragonCoinFindBackCost	GoldCoinCost	GoldCoinFindBackItem	preward
难度（1，2）	层数	场景ID	奖励	首通奖励	所在难度名称	龙币找回消耗	金币找回消耗	金币找回道具all	阶段奖励
1	1	31011	1=500|4=1900|93=1	4=1900|1=500|93=3	黑暗神殿	5	500	1=1500	0
1	2	31021	1=1000|4=3800|93=1	4=3800|1=1000|93=3	黑暗神殿	5	500	1=3000	0
1	3	31031	1=1500|4=5700|93=1	4=5700|1=1500|93=3	黑暗神殿	5	500	1=4500	0
1	4	31032	1=2000|4=7600|93=1	4=7600|1=2000|93=3	黑暗神殿	5	500	1=6000	0
1	5	31051	1=2500|4=9500|93=1	4=9500|1=7500|93=11	黑暗神殿	5	500	1=7500	0
1	6	31071	1=3000|4=11400|93=1	4=11400|1=3000|93=3	黑暗神殿	5	1000	1=9000	0
1	7	31081	1=3500|4=13300|93=1	4=13300|1=3500|93=3	黑暗神殿	5	1000	1=10500	0
1	8	31091	1=4000|4=15200|93=1	4=15200|1=4000|93=3	黑暗神殿	5	1000	1=12000	0
1	9	31092	1=4500|4=17100|93=1	4=17100|1=4500|93=3	黑暗神殿	5	1000	1=13500	0
1	10	31112	1=5000|4=19000|93=1|1024=1	4=19000|1=15000|93=11|1024=1	黑暗神殿	5	1000	1=15000	0
1	11	31131	1=5500|4=20900|93=1|1024=1	4=20900|1=5500|93=3|1024=1	黑暗神殿	5	1500	1=16500	0
1	12	31141	1=6000|4=22800|93=1|1024=1	4=22800|1=6000|93=3|1024=1	黑暗神殿	5	1500	1=18000	0
1	13	31151	1=6500|4=24700|93=1|1024=1	4=24700|1=6500|93=3|1024=1	黑暗神殿	5	1500	1=19500	0
1	14	31152	1=7000|4=26600|93=1|1024=1	4=26600|1=7000|93=3|1024=1	黑暗神殿	5	1500	1=21000	0
1	15	31171	1=7500|4=28500|93=1|1024=1	4=28500|1=22500|93=11|1024=1	黑暗神殿	5	1500	1=22500	0
1	16	31191	1=8000|4=30400|93=1|1024=1	4=30400|1=8000|93=3|1024=1	黑暗神殿	5	2000	1=24000	0
