Territorylevel	Rewardtype	DropReward	MailContent	guildexp	guildprestige
领地等级	奖励类型(1进攻成功、2进攻失败、3防守成功、4防守失败)	奖励	邮件	公会经验	公会威望
1	1	1=50000|22=2000|1599=40	40	8000	100
1	2	1=30000|22=1000|1599=30	41	6000	0
1	3	1=50000|22=2000|1599=40	42	8000	100
1	4	1=30000|22=1000|1599=30	43	6000	0
2	1	1=100000|22=2500|1599=60	40	10000	300
2	2	1=50000|22=2000|1599=50	41	6000	0
2	3	1=100000|22=2500|1599=60	42	10000	300
2	4	1=50000|22=2000|1599=50	43	6000	0
3	1	1=200000|22=3000|1599=75	40	15000	500
3	2	1=100000|22=2000|1599=60	41	9000	0
3	3	1=200000|22=3000|1599=75	42	12000	500
3	4	1=100000|22=2000|1599=60	43	8000	0
