Type	Rank	Designation	Reward
巅峰龙类型	排名	称号奖励	邮件奖励
11	1=1		63809=1
11	2=3		63810=1
11	4=10		63811=1
11	11=30		63812=1
11	31=50		63813=1
11	51=100		63814=1
12	1=1		63815=1
12	2=3		63816=1
12	4=10		63817=1
12	11=30		63818=1
12	31=50		63819=1
12	51=100		63820=1
13	1=1		63821=1
13	2=3		63822=1
13	4=10		63823=1
13	11=30		63824=1
13	31=50		63825=1
13	51=100		63826=1
14	1=1		64567=1
14	2=3		64568=1
14	4=10		64569=1
14	11=30		64570=1
14	31=50		64571=1
14	51=100		64572=1
15	1=1		63821=1
15	2=3		63822=1
15	4=10		63823=1
15	11=30		63824=1
15	31=50		63825=1
15	51=100		63826=1
16	1=1		63821=1
16	2=3		63822=1
16	4=10		63823=1
16	11=30		63824=1
16	31=50		63825=1
16	51=100		63826=1
