id	percent	maxhp_ratio1	atk_ratio1	def_ratio1	maxhp_ratio2	atk_ratio2	def_ratio2	maxhp_ratio3	atk_ratio3	def_ratio3	maxhp_ratio4	atk_ratio4	def_ratio4	maxhp_ratio5	atk_ratio5	def_ratio5	maxhp_ratio6	atk_ratio6	def_ratio6
削弱点数	系数(千分比)	最大生命削弱到的比例（万分比）	攻击削弱到的比例（万分比）	防御削弱到的比例（万分比）	最大生命削弱到的比例（万分比）	攻击削弱到的比例（万分比）	防御削弱到的比例（万分比）	最大生命削弱到的比例（万分比）	攻击削弱到的比例（万分比）	防御削弱到的比例（万分比）	最大生命削弱到的比例（万分比）	攻击削弱到的比例（万分比）	防御削弱到的比例（万分比）	最大生命削弱到的比例（万分比）	攻击削弱到的比例（万分比）	防御削弱到的比例（万分比）	最大生命削弱到的比例（万分比）	攻击削弱到的比例（万分比）	防御削弱到的比例（万分比）
1	1000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
2	999	9990	9990	9990	9990	9990	9990	9990	9990	9990	9990	9990	9990	9990	9990	9990	9990	9990	9990
3	998	9980	9980	9980	9980	9980	9980	9980	9980	9980	9980	9980	9980	9980	9980	9980	9980	9980	9980
4	997	9970	9970	9970	9970	9970	9970	9970	9970	9970	9970	9970	9970	9970	9970	9970	9970	9970	9970
5	996	9960	9960	9960	9960	9960	9960	9960	9960	9960	9960	9960	9960	9960	9960	9960	9960	9960	9960
6	995	9950	9950	9950	9950	9950	9950	9950	9950	9950	9950	9950	9950	9950	9950	9950	9950	9950	9950
7	994	9940	9940	9940	9940	9940	9940	9940	9940	9940	9940	9940	9940	9940	9940	9940	9940	9940	9940
8	993	9930	9930	9930	9930	9930	9930	9930	9930	9930	9930	9930	9930	9930	9930	9930	9930	9930	9930
9	992	9920	9920	9920	9920	9920	9920	9920	9920	9920	9920	9920	9920	9920	9920	9920	9920	9920	9920
10	991	9910	9910	9910	9910	9910	9910	9910	9910	9910	9910	9910	9910	9910	9910	9910	9910	9910	9910
11	990	9900	9900	9900	9900	9900	9900	9900	9900	9900	9900	9900	9900	9900	9900	9900	9900	9900	9900
12	989	9890	9890	9890	9890	9890	9890	9890	9890	9890	9890	9890	9890	9890	9890	9890	9890	9890	9890
13	988	9880	9880	9880	9880	9880	9880	9880	9880	9880	9880	9880	9880	9880	9880	9880	9880	9880	9880
14	987	9870	9870	9870	9870	9870	9870	9870	9870	9870	9870	9870	9870	9870	9870	9870	9870	9870	9870
15	986	9860	9860	9860	9860	9860	9860	9860	9860	9860	9860	9860	9860	9860	9860	9860	9860	9860	9860
16	985	9850	9850	9850	9850	9850	9850	9850	9850	9850	9850	9850	9850	9850	9850	9850	9850	9850	9850
17	984	9840	9840	9840	9840	9840	9840	9840	9840	9840	9840	9840	9840	9840	9840	9840	9840	9840	9840
18	983	9830	9830	9830	9830	9830	9830	9830	9830	9830	9830	9830	9830	9830	9830	9830	9830	9830	9830
19	982	9820	9820	9820	9820	9820	9820	9820	9820	9820	9820	9820	9820	9820	9820	9820	9820	9820	9820
20	981	9810	9810	9810	9810	9810	9810	9810	9810	9810	9810	9810	9810	9810	9810	9810	9810	9810	9810
21	980	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800
22	979	9790	9790	9790	9790	9790	9790	9790	9790	9790	9790	9790	9790	9790	9790	9790	9790	9790	9790
23	978	9780	9780	9780	9780	9780	9780	9780	9780	9780	9780	9780	9780	9780	9780	9780	9780	9780	9780
24	977	9770	9770	9770	9770	9770	9770	9770	9770	9770	9770	9770	9770	9770	9770	9770	9770	9770	9770
25	976	9760	9760	9760	9760	9760	9760	9760	9760	9760	9760	9760	9760	9760	9760	9760	9760	9760	9760
26	975	9750	9750	9750	9750	9750	9750	9750	9750	9750	9750	9750	9750	9750	9750	9750	9750	9750	9750
27	974	9740	9740	9740	9740	9740	9740	9740	9740	9740	9740	9740	9740	9740	9740	9740	9740	9740	9740
28	973	9730	9730	9730	9730	9730	9730	9730	9730	9730	9730	9730	9730	9730	9730	9730	9730	9730	9730
29	972	9720	9720	9720	9720	9720	9720	9720	9720	9720	9720	9720	9720	9720	9720	9720	9720	9720	9720
30	971	9710	9710	9710	9710	9710	9710	9710	9710	9710	9710	9710	9710	9710	9710	9710	9710	9710	9710
31	970	9700	9700	9700	9700	9700	9700	9700	9700	9700	9700	9700	9700	9700	9700	9700	9700	9700	9700
32	969	9690	9690	9690	9690	9690	9690	9690	9690	9690	9690	9690	9690	9690	9690	9690	9690	9690	9690
33	968	9680	9680	9680	9680	9680	9680	9680	9680	9680	9680	9680	9680	9680	9680	9680	9680	9680	9680
34	967	9670	9670	9670	9670	9670	9670	9670	9670	9670	9670	9670	9670	9670	9670	9670	9670	9670	9670
35	966	9660	9660	9660	9660	9660	9660	9660	9660	9660	9660	9660	9660	9660	9660	9660	9660	9660	9660
36	965	9650	9650	9650	9650	9650	9650	9650	9650	9650	9650	9650	9650	9650	9650	9650	9650	9650	9650
37	964	9640	9640	9640	9640	9640	9640	9640	9640	9640	9640	9640	9640	9640	9640	9640	9640	9640	9640
38	963	9630	9630	9630	9630	9630	9630	9630	9630	9630	9630	9630	9630	9630	9630	9630	9630	9630	9630
39	962	9620	9620	9620	9620	9620	9620	9620	9620	9620	9620	9620	9620	9620	9620	9620	9620	9620	9620
40	961	9610	9610	9610	9610	9610	9610	9610	9610	9610	9610	9610	9610	9610	9610	9610	9610	9610	9610
41	960	9600	9600	9600	9600	9600	9600	9600	9600	9600	9600	9600	9600	9600	9600	9600	9600	9600	9600
42	959	9590	9590	9590	9590	9590	9590	9590	9590	9590	9590	9590	9590	9590	9590	9590	9590	9590	9590
43	958	9580	9580	9580	9580	9580	9580	9580	9580	9580	9580	9580	9580	9580	9580	9580	9580	9580	9580
44	957	9570	9570	9570	9570	9570	9570	9570	9570	9570	9570	9570	9570	9570	9570	9570	9570	9570	9570
45	956	9560	9560	9560	9560	9560	9560	9560	9560	9560	9560	9560	9560	9560	9560	9560	9560	9560	9560
46	955	9550	9550	9550	9550	9550	9550	9550	9550	9550	9550	9550	9550	9550	9550	9550	9550	9550	9550
47	954	9540	9540	9540	9540	9540	9540	9540	9540	9540	9540	9540	9540	9540	9540	9540	9540	9540	9540
48	953	9530	9530	9530	9530	9530	9530	9530	9530	9530	9530	9530	9530	9530	9530	9530	9530	9530	9530
49	952	9520	9520	9520	9520	9520	9520	9520	9520	9520	9520	9520	9520	9520	9520	9520	9520	9520	9520
50	951	9510	9510	9510	9510	9510	9510	9510	9510	9510	9510	9510	9510	9510	9510	9510	9510	9510	9510
51	950	9500	9500	9500	9500	9500	9500	9500	9500	9500	9500	9500	9500	9500	9500	9500	9500	9500	9500
52	949	9490	9490	9490	9490	9490	9490	9490	9490	9490	9490	9490	9490	9490	9490	9490	9490	9490	9490
53	948	9480	9480	9480	9480	9480	9480	9480	9480	9480	9480	9480	9480	9480	9480	9480	9480	9480	9480
54	947	9470	9470	9470	9470	9470	9470	9470	9470	9470	9470	9470	9470	9470	9470	9470	9470	9470	9470
55	946	9460	9460	9460	9460	9460	9460	9460	9460	9460	9460	9460	9460	9460	9460	9460	9460	9460	9460
56	945	9450	9450	9450	9450	9450	9450	9450	9450	9450	9450	9450	9450	9450	9450	9450	9450	9450	9450
57	944	9440	9440	9440	9440	9440	9440	9440	9440	9440	9440	9440	9440	9440	9440	9440	9440	9440	9440
58	943	9430	9430	9430	9430	9430	9430	9430	9430	9430	9430	9430	9430	9430	9430	9430	9430	9430	9430
59	942	9420	9420	9420	9420	9420	9420	9420	9420	9420	9420	9420	9420	9420	9420	9420	9420	9420	9420
60	941	9410	9410	9410	9410	9410	9410	9410	9410	9410	9410	9410	9410	9410	9410	9410	9410	9410	9410
61	940	9400	9400	9400	9400	9400	9400	9400	9400	9400	9400	9400	9400	9400	9400	9400	9400	9400	9400
62	939	9390	9390	9390	9390	9390	9390	9390	9390	9390	9390	9390	9390	9390	9390	9390	9390	9390	9390
63	938	9380	9380	9380	9380	9380	9380	9380	9380	9380	9380	9380	9380	9380	9380	9380	9380	9380	9380
64	937	9370	9370	9370	9370	9370	9370	9370	9370	9370	9370	9370	9370	9370	9370	9370	9370	9370	9370
65	936	9360	9360	9360	9360	9360	9360	9360	9360	9360	9360	9360	9360	9360	9360	9360	9360	9360	9360
66	935	9350	9350	9350	9350	9350	9350	9350	9350	9350	9350	9350	9350	9350	9350	9350	9350	9350	9350
67	934	9340	9340	9340	9340	9340	9340	9340	9340	9340	9340	9340	9340	9340	9340	9340	9340	9340	9340
68	933	9330	9330	9330	9330	9330	9330	9330	9330	9330	9330	9330	9330	9330	9330	9330	9330	9330	9330
69	932	9320	9320	9320	9320	9320	9320	9320	9320	9320	9320	9320	9320	9320	9320	9320	9320	9320	9320
70	931	9310	9310	9310	9310	9310	9310	9310	9310	9310	9310	9310	9310	9310	9310	9310	9310	9310	9310
71	930	9300	9300	9300	9300	9300	9300	9300	9300	9300	9300	9300	9300	9300	9300	9300	9300	9300	9300
72	929	9290	9290	9290	9290	9290	9290	9290	9290	9290	9290	9290	9290	9290	9290	9290	9290	9290	9290
73	928	9280	9280	9280	9280	9280	9280	9280	9280	9280	9280	9280	9280	9280	9280	9280	9280	9280	9280
74	927	9270	9270	9270	9270	9270	9270	9270	9270	9270	9270	9270	9270	9270	9270	9270	9270	9270	9270
75	926	9260	9260	9260	9260	9260	9260	9260	9260	9260	9260	9260	9260	9260	9260	9260	9260	9260	9260
76	925	9250	9250	9250	9250	9250	9250	9250	9250	9250	9250	9250	9250	9250	9250	9250	9250	9250	9250
77	924	9240	9240	9240	9240	9240	9240	9240	9240	9240	9240	9240	9240	9240	9240	9240	9240	9240	9240
78	923	9230	9230	9230	9230	9230	9230	9230	9230	9230	9230	9230	9230	9230	9230	9230	9230	9230	9230
79	922	9220	9220	9220	9220	9220	9220	9220	9220	9220	9220	9220	9220	9220	9220	9220	9220	9220	9220
80	921	9210	9210	9210	9210	9210	9210	9210	9210	9210	9210	9210	9210	9210	9210	9210	9210	9210	9210
81	920	9200	9200	9200	9200	9200	9200	9200	9200	9200	9200	9200	9200	9200	9200	9200	9200	9200	9200
82	919	9190	9190	9190	9190	9190	9190	9190	9190	9190	9190	9190	9190	9190	9190	9190	9190	9190	9190
83	918	9180	9180	9180	9180	9180	9180	9180	9180	9180	9180	9180	9180	9180	9180	9180	9180	9180	9180
84	917	9170	9170	9170	9170	9170	9170	9170	9170	9170	9170	9170	9170	9170	9170	9170	9170	9170	9170
85	916	9160	9160	9160	9160	9160	9160	9160	9160	9160	9160	9160	9160	9160	9160	9160	9160	9160	9160
86	915	9150	9150	9150	9150	9150	9150	9150	9150	9150	9150	9150	9150	9150	9150	9150	9150	9150	9150
87	914	9140	9140	9140	9140	9140	9140	9140	9140	9140	9140	9140	9140	9140	9140	9140	9140	9140	9140
88	913	9130	9130	9130	9130	9130	9130	9130	9130	9130	9130	9130	9130	9130	9130	9130	9130	9130	9130
89	912	9120	9120	9120	9120	9120	9120	9120	9120	9120	9120	9120	9120	9120	9120	9120	9120	9120	9120
90	911	9110	9110	9110	9110	9110	9110	9110	9110	9110	9110	9110	9110	9110	9110	9110	9110	9110	9110
91	910	9100	9100	9100	9100	9100	9100	9100	9100	9100	9100	9100	9100	9100	9100	9100	9100	9100	9100
92	909	9090	9090	9090	9090	9090	9090	9090	9090	9090	9090	9090	9090	9090	9090	9090	9090	9090	9090
93	908	9080	9080	9080	9080	9080	9080	9080	9080	9080	9080	9080	9080	9080	9080	9080	9080	9080	9080
94	907	9070	9070	9070	9070	9070	9070	9070	9070	9070	9070	9070	9070	9070	9070	9070	9070	9070	9070
95	906	9060	9060	9060	9060	9060	9060	9060	9060	9060	9060	9060	9060	9060	9060	9060	9060	9060	9060
96	905	9050	9050	9050	9050	9050	9050	9050	9050	9050	9050	9050	9050	9050	9050	9050	9050	9050	9050
97	904	9040	9040	9040	9040	9040	9040	9040	9040	9040	9040	9040	9040	9040	9040	9040	9040	9040	9040
98	903	9030	9030	9030	9030	9030	9030	9030	9030	9030	9030	9030	9030	9030	9030	9030	9030	9030	9030
99	902	9020	9020	9020	9020	9020	9020	9020	9020	9020	9020	9020	9020	9020	9020	9020	9020	9020	9020
100	901	9010	9010	9010	9010	9010	9010	9010	9010	9010	9010	9010	9010	9010	9010	9010	9010	9010	9010
101	900	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000
102	899	8990	8990	8990	8990	8990	8990	8990	8990	8990	8990	8990	8990	8990	8990	8990	8990	8990	8990
103	898	8980	8980	8980	8980	8980	8980	8980	8980	8980	8980	8980	8980	8980	8980	8980	8980	8980	8980
104	897	8970	8970	8970	8970	8970	8970	8970	8970	8970	8970	8970	8970	8970	8970	8970	8970	8970	8970
105	896	8960	8960	8960	8960	8960	8960	8960	8960	8960	8960	8960	8960	8960	8960	8960	8960	8960	8960
106	895	8950	8950	8950	8950	8950	8950	8950	8950	8950	8950	8950	8950	8950	8950	8950	8950	8950	8950
107	894	8940	8940	8940	8940	8940	8940	8940	8940	8940	8940	8940	8940	8940	8940	8940	8940	8940	8940
108	893	8930	8930	8930	8930	8930	8930	8930	8930	8930	8930	8930	8930	8930	8930	8930	8930	8930	8930
109	892	8920	8920	8920	8920	8920	8920	8920	8920	8920	8920	8920	8920	8920	8920	8920	8920	8920	8920
110	891	8910	8910	8910	8910	8910	8910	8910	8910	8910	8910	8910	8910	8910	8910	8910	8910	8910	8910
111	890	8900	8900	8900	8900	8900	8900	8900	8900	8900	8900	8900	8900	8900	8900	8900	8900	8900	8900
112	889	8890	8890	8890	8890	8890	8890	8890	8890	8890	8890	8890	8890	8890	8890	8890	8890	8890	8890
113	888	8880	8880	8880	8880	8880	8880	8880	8880	8880	8880	8880	8880	8880	8880	8880	8880	8880	8880
114	887	8870	8870	8870	8870	8870	8870	8870	8870	8870	8870	8870	8870	8870	8870	8870	8870	8870	8870
115	886	8860	8860	8860	8860	8860	8860	8860	8860	8860	8860	8860	8860	8860	8860	8860	8860	8860	8860
116	885	8850	8850	8850	8850	8850	8850	8850	8850	8850	8850	8850	8850	8850	8850	8850	8850	8850	8850
117	884	8840	8840	8840	8840	8840	8840	8840	8840	8840	8840	8840	8840	8840	8840	8840	8840	8840	8840
118	883	8830	8830	8830	8830	8830	8830	8830	8830	8830	8830	8830	8830	8830	8830	8830	8830	8830	8830
119	882	8820	8820	8820	8820	8820	8820	8820	8820	8820	8820	8820	8820	8820	8820	8820	8820	8820	8820
