type	rank	reward	title
类型(1每天排行 2总排行 3全民屠龙排行榜 4星龙扭蛋排行榜 5幻境冲冲冲排行榜 6每日明星榜 7累计明星榜 8每日粉丝榜 9累计粉丝榜 10欢乐卡牌每日榜 11欢乐卡牌总榜 12绿龙来袭地狱难度 13绿龙来袭噩梦难度 14星秀榜)	排名(min=max)	奖励	描述
1	1=1		
1	2=2		
1	3=3		
1	4=6		
1	7=10		
2	1=1		
2	2=2		
2	3=3		
2	4=6		
2	7=10		
3	1=1	2143=1|2820=1	
3	2=2	2144=1|2821=1	
3	3=3	2145=1|2822=1	
3	4=10	2823=1	
3	11=50	2824=1	
3	51=100	2825=1	
3	101=500	2826=1	
4	1=1	65407=1	
4	2=2	65408=1	
4	3=3	65409=1	
4	4=6	65410=1	
4	7=10	65411=1	
5	1=1	1097=400|2229=3	
5	2=2	1097=300|2229=2	
5	3=3	1097=200|2229=1	
5	4=10	1097=100|2229=1	
5	11=20	2229=1	
6	1=1	9959=200|1291=200|1279=50	
6	2=2	9959=180|1291=200|1279=50	
6	3=3	9959=120|1291=200|1279=50	
6	4=6	9959=100|1291=200|1279=30	
6	7=10	9959=80|1291=200|1279=30	
6	11=20	9959=50|1291=100|1279=20	
6	21=30	9959=50|1291=100|1279=20	
7	1=1	9959=1000|193660=400|15228=1	
7	2=2	9959=900|193660=400|15228=1	
7	3=3	9959=600|193660=400|15228=1	
7	4=6	9959=500|193660=300|1600=50	
7	7=10	9959=400|193660=200|1600=50	
7	11=20	9959=200|193660=100|1600=30	
7	21=30	9959=200|193660=100|1600=30	
8	1=1	1421=40|1427=5|1097=100	
8	2=2	1421=35|1427=4|1097=80	
8	3=3	1421=30|1427=3|1097=60	
8	4=6	1421=25|1427=2|1097=50	
8	7=10	1421=15|1427=2|1097=50	
8	11=20	1421=10|1427=1|1097=30	
8	21=30	1421=10|1427=1|1097=30	
9	1=1	1421=200|1277=30|1426=15	
9	2=2	1421=180|1277=20|1426=10	
9	3=3	1421=150|1277=15|1426=8	
9	4=6	1421=125|1277=10|1097=200	
9	7=10	1421=75|1277=8|1097=180	
9	11=20	1421=50|1277=5|1097=150	
9	21=30	1421=50|1277=5|1097=150	
10	1=1	4977=1	
10	2=2	4978=1	
10	3=3	4979=1	
10	4=6	4980=1	
10	7=10	4981=1	
11	1=1	63323=1	
11	2=2	63324=1	
11	3=3	63325=1	
11	4=6	63326=1	
11	7=10	63327=1	
12	1=1	193650=5|193666=6|63805=1	
12	2=2	193650=3|193666=6|63806=1	
12	3=3	193650=2|193666=6|63807=1	
12	4=10	193650=1|193666=3|63808=1	
12	11=20	193651=1|193660=20	
13	1=1		
13	2=2		
13	3=3		
13	4=5		
13	6=10		
13	11=100		
50	1=1	9374=1|3971=1|3098=1|6673=1|7=2000	全服第1名（强化总等级达到{0}可领取）
50	2=3	3098=1|1182=250|1=4000000|7=1500	全服第2-3名（强化总等级达到{0}可领取）
50	4=10	238=50|1182=200|1=3500000|7=1000	全服第4-10名（强化总等级达到{0}可领取）
51	1=1	9375=1|15514=1|3079=1|6674=1|1180=300	全服第1名（镶嵌龙玉总等级达到{0}可领取）
51	2=3	3079=1|93=250|1180=250|1=4000000	全服第2-3名（镶嵌龙玉总等级达到{0}可领取）
51	4=10	6671=10|93=200|1180=200|1=3500000	全服第4-10名（镶嵌龙玉总等级达到{0}可领取）
52	1=1	9376=1|3973=1|3165=1|6675=1|3687=2	全服第1名（精灵总战力达到{0}可领取）
52	2=3	3165=1|2774=1|1013003=3|1291=120	全服第2-3名（精灵总战力达到{0}可领取）
52	4=10	4804=30|2773=1|1013002=2|1291=100	全服第4-10名（精灵总战力达到{0}可领取）
53	1=1	9377=1|4787=1|3166=1|6676=1|603=120	全服第1名（装备注灵总等级达到{0}可领取）
53	2=3	3166=1|603=100|602=150|604=150	全服第2-3名（装备注灵总等级达到{0}可领取）
53	4=10	606=12|603=80|602=100|604=100	全服第4-10名（装备注灵总等级达到{0}可领取）
54	1=1	9378=1|3506=1|15520=1|3170=1|6677=1	全服第1名（角色总战力达到{0}可领取）
54	2=3	3170=1|1096=400|1097=900|3507=1	全服第2-3名（角色总战力达到{0}可领取）
54	4=10	3170=1|1096=300|1097=800|3504=1	全服第4-10名（角色总战力达到{0}可领取）
