JackpotID	PondID	OpenTime	LineID	LineWeight	NeedNotice	Reward
奖池库编号	奖池编号	开服时间区间（开服多少天之后）	宝藏行编号（固定5行，1~5）	宝藏行权重	是否在大奖记录中，是否出跑马灯公告（1：是 0：否）	宝藏内容（id|id）（TreasuresItem.txt内配置）
1	1	0	1	500000	1	2000|2001|2002
1	1	0	2	1600000	0	2003|2004|2005|2006
1	1	0	3	10000000	0	2007|2008|2009|2010|2011
1	1	0	4	30000000	0	2012|2013|2014|2015|2016|2017
1	1	0	5	30000000	0	2018|2019|2020|2021|2022|2023|2024
1	2	0	1	500000	1	2025|2026|2027
1	2	0	2	1600000	0	2028|2029|2030|2031
1	2	0	3	10000000	0	2032|2033|2034|2035|2036
1	2	0	4	30000000	0	2037|2038|2039|2040|2041|2042
1	2	0	5	30000000	0	2043|2044|2045|2046|2047|2048|2049
