SceneID	UltimateLevel	Difficulty	RecommendPower	SuggestAttr	DragonNestAvatar	StageReward	Season	SeasonOpenDay	LevelPic	LevelName	RankType
联机场景ID	关卡	难度选择（百分比）	推荐战力	推荐属性	BOSS模型	通关奖励（只配置在对应难度行，如难度85%有数据代表通关任意≥85%难度的关卡可以领取该奖励）	对应的赛季ID	赛季开启天数	列表图片（前端用）	关卡名（前端用）	排行榜ID 对应Ranklist的RankType
81100	1	40	10000000		300015	1421=1	0		common/SmallAvatar/TXBOSSicon_34	黑山洞窟	300
81101	1	80	20000000		300015	1421=1	0		common/SmallAvatar/TXBOSSicon_34	黑山洞窟	300
81102	1	85	21000000		300015		0		common/SmallAvatar/TXBOSSicon_34	黑山洞窟	300
81103	1	90	22000000		300015		0		common/SmallAvatar/TXBOSSicon_34	黑山洞窟	300
81104	1	95	23000000		300015		0		common/SmallAvatar/TXBOSSicon_34	黑山洞窟	300
81105	1	100	24000000		300015		0		common/SmallAvatar/TXBOSSicon_34	黑山洞窟	300
81106	1	105	25000000		300015	1421=2	0		common/SmallAvatar/TXBOSSicon_34	黑山洞窟	300
81107	1	110	26000000		300015		0		common/SmallAvatar/TXBOSSicon_34	黑山洞窟	300
81108	1	115	27000000		300015		0		common/SmallAvatar/TXBOSSicon_34	黑山洞窟	300
81109	1	120	28000000		300015		0		common/SmallAvatar/TXBOSSicon_34	黑山洞窟	300
81110	1	125	29000000		300015		0		common/SmallAvatar/TXBOSSicon_34	黑山洞窟	300
81111	1	130	30000000		300015	1421=2	0		common/SmallAvatar/TXBOSSicon_34	黑山洞窟	300
81112	1	135	31000000		300015		0		common/SmallAvatar/TXBOSSicon_34	黑山洞窟	300
81113	1	140	32000000		300015		0		common/SmallAvatar/TXBOSSicon_34	黑山洞窟	300
81114	1	145	33000000		300015		0		common/SmallAvatar/TXBOSSicon_34	黑山洞窟	300
81115	1	150	34000000		300015	1427=1	0		common/SmallAvatar/TXBOSSicon_34	黑山洞窟	300
81116	1	155	35000000		300015	1421=3	0		common/SmallAvatar/TXBOSSicon_34	黑山洞窟	300
81117	1	160	36000000		300015		0		common/SmallAvatar/TXBOSSicon_34	黑山洞窟	300
81118	1	165	37000000		300015		0		common/SmallAvatar/TXBOSSicon_34	黑山洞窟	300
81119	1	170	38000000		300015		0		common/SmallAvatar/TXBOSSicon_34	黑山洞窟	300
81120	1	175	39000000		300015	1427=1	0		common/SmallAvatar/TXBOSSicon_34	黑山洞窟	300
81121	1	180	42000000		300015	1421=3	0		common/SmallAvatar/TXBOSSicon_34	黑山洞窟	300
81122	1	185	46000000		300015	1427=1	0		common/SmallAvatar/TXBOSSicon_34	黑山洞窟	300
81123	1	190	50000000		300015	1421=4	0		common/SmallAvatar/TXBOSSicon_34	黑山洞窟	300
81124	1	200	54000000		300015	1426=1	0		common/SmallAvatar/TXBOSSicon_34	黑山洞窟	300
81200	2	40	10500000		300016	1421=1	0		common/SmallAvatar/TXBOSSicon_81	熔岩岛	301
81201	2	80	20500000		300016	1421=1	0		common/SmallAvatar/TXBOSSicon_81	熔岩岛	301
81202	2	85	21500000		300016		0		common/SmallAvatar/TXBOSSicon_81	熔岩岛	301
81203	2	90	22500000		300016		0		common/SmallAvatar/TXBOSSicon_81	熔岩岛	301
81204	2	95	23500000		300016		0		common/SmallAvatar/TXBOSSicon_81	熔岩岛	301
81205	2	100	24500000		300016		0		common/SmallAvatar/TXBOSSicon_81	熔岩岛	301
81206	2	105	25500000		300016	1421=2	0		common/SmallAvatar/TXBOSSicon_81	熔岩岛	301
81207	2	110	26500000		300016		0		common/SmallAvatar/TXBOSSicon_81	熔岩岛	301
81208	2	115	27500000		300016		0		common/SmallAvatar/TXBOSSicon_81	熔岩岛	301
81209	2	120	28500000		300016		0		common/SmallAvatar/TXBOSSicon_81	熔岩岛	301
81210	2	125	29500000		300016		0		common/SmallAvatar/TXBOSSicon_81	熔岩岛	301
81211	2	130	30500000		300016	1421=2	0		common/SmallAvatar/TXBOSSicon_81	熔岩岛	301
81212	2	135	31500000		300016		0		common/SmallAvatar/TXBOSSicon_81	熔岩岛	301
81213	2	140	32500000		300016		0		common/SmallAvatar/TXBOSSicon_81	熔岩岛	301
81214	2	145	33500000		300016		0		common/SmallAvatar/TXBOSSicon_81	熔岩岛	301
81215	2	150	34500000		300016	1427=1	0		common/SmallAvatar/TXBOSSicon_81	熔岩岛	301
81216	2	155	35500000		300016	1421=3	0		common/SmallAvatar/TXBOSSicon_81	熔岩岛	301
81217	2	160	36500000		300016		0		common/SmallAvatar/TXBOSSicon_81	熔岩岛	301
81218	2	165	37500000		300016		0		common/SmallAvatar/TXBOSSicon_81	熔岩岛	301
81219	2	170	38500000		300016		0		common/SmallAvatar/TXBOSSicon_81	熔岩岛	301
81220	2	175	39500000		300016	1427=1	0		common/SmallAvatar/TXBOSSicon_81	熔岩岛	301
81221	2	180	42500000		300016	1421=3	0		common/SmallAvatar/TXBOSSicon_81	熔岩岛	301
81222	2	185	46500000		300016	1427=1	0		common/SmallAvatar/TXBOSSicon_81	熔岩岛	301
81223	2	190	50500000		300016	1421=4	0		common/SmallAvatar/TXBOSSicon_81	熔岩岛	301
81224	2	200	54500000		300016	1426=1	0		common/SmallAvatar/TXBOSSicon_81	熔岩岛	301
81300	3	40	11000000		300017	1421=1	0		common/SmallAvatar4/TXBOSSicon_175	蜥蜴人栖息地	302
81301	3	80	21000000		300017	1421=1	0		common/SmallAvatar4/TXBOSSicon_175	蜥蜴人栖息地	302
81302	3	85	22000000		300017		0		common/SmallAvatar4/TXBOSSicon_175	蜥蜴人栖息地	302
81303	3	90	23000000		300017		0		common/SmallAvatar4/TXBOSSicon_175	蜥蜴人栖息地	302
