VIP	RMB	ItemID	BuyGoldTimes	BuyFatigueTimes	AuctionOnSaleMax	NestScoreBonus	BuyDragonCoinTimes	BossRushCount	WorldChannelChatTimes	GoldClickTimes	VIPTips	EquipMax	EmblemMax	BagMax	ArtifactMax	InscriptionMax	SpriteEquipMax	RuneMax
		vip等级礼包ID	每日可购买金币的次数提升至{0}次	每日可购买体力的次数提升至{0}次	拍卖上架最大数目		购买龙币次数	BossRush刷新次数	世界频道免费发言次数	摇钱树每日次数	特权提示信息	装备包裹最大值	纹章包裹最大值	背包包裹最大值	龙器包裹最大值	铭文包裹最大值	精灵装备包裹最大值	符文包裹最大值
0	0	50	10	6	5	0	9999	5	10	500	买买买！不买还是人？|充充充！不充还是人？|剁剁剁！不剁还是人？0	100	150	200	300	200	100	100
1	6	179	10	6	5	0	9999	5	10	500	买买买！不买还是人？|充充充！不充还是人？|剁剁剁！不剁还是人？1	100	150	200	300	200	100	100
2	30	171	10	6	5	0	9999	5	10	500	买买买！不买还是人？|充充充！不充还是人？|剁剁剁！不剁还是人？2	100	150	200	300	200	100	100
3	60	172	10	6	5	0	9999	5	10	500	买买买！不买还是人？|充充充！不充还是人？|剁剁剁！不剁还是人？3	100	150	200	300	200	100	100
4	150	173	10	6	5	0	9999	5	10	500	买买买！不买还是人？|充充充！不充还是人？|剁剁剁！不剁还是人？4	100	150	200	300	200	100	100
5	300	174	10	6	5	0	9999	5	10	500	买买买！不买还是人？|充充充！不充还是人？|剁剁剁！不剁还是人？5	100	150	200	300	200	100	100
6	600	175	10	6	5	0	9999	5	10	500	买买买！不买还是人？|充充充！不充还是人？|剁剁剁！不剁还是人？6	100	150	200	300	200	100	100
7	1000	176	10	6	5	0	9999	5	10	500	买买买！不买还是人？|充充充！不充还是人？|剁剁剁！不剁还是人？7	100	150	200	300	200	100	100
8	1500	177	10	6	5	0	9999	5	10	500	买买买！不买还是人？|充充充！不充还是人？|剁剁剁！不剁还是人？8	100	150	200	300	200	100	100
9	3000	178	10	6	5	0	9999	5	10	500	买买买！不买还是人？|充充充！不充还是人？|剁剁剁！不剁还是人？9	100	150	200	300	200	100	100
10	6000	179	10	6	5	0	9999	5	10	500	买买买！不买还是人？|充充充！不充还是人？|剁剁剁！不剁还是人？10	100	150	200	300	200	100	100
11	9000	180	10	6	5	0	9999	5	10	500	买买买！不买还是人？|充充充！不充还是人？|剁剁剁！不剁还是人？11	100	150	200	300	200	100	100
12	12000	181	10	6	5	0	9999	5	10	500	买买买！不买还是人？|充充充！不充还是人？|剁剁剁！不剁还是人？12	100	150	200	300	200	100	100
13	18000	182	10	6	5	0	9999	5	10	500	买买买！不买还是人？|充充充！不充还是人？|剁剁剁！不剁还是人？10	100	150	200	300	200	100	100
14	25000	183	10	6	5	0	9999	5	10	500	买买买！不买还是人？|充充充！不充还是人？|剁剁剁！不剁还是人？11	100	150	200	300	200	100	100
15	35000	184	10	6	5	0	9999	5	10	500	买买买！不买还是人？|充充充！不充还是人？|剁剁剁！不剁还是人？12	100	150	200	300	200	100	100
