Level	Rank	ShowReward
玩家等级【废弃】	排名	道具ID个数支持多组(drop1|drop2|drop3)
20	1=1	50900|50895|50902|50930|50931|50901
20	2=2	50903|50895|50905|50930|50932|50904
20	3=3	50906|50895|50908|50930|50933|50907
20	4=10	50909|50896|50911|50930|50934|50910
20	11=20	50912|50897|50914|50930|50935|50913
20	21=50	50915|50898|50917|50930|50936|50916
20	51=100	50918|50899|50920|50930|50937|50919
20	101=500	50921|50899|50923|50930|50938|50922
20	501=1000	50924|50899|50926|50930|50939|50925
20	1001=5000	50927|50899|50929|50930|50940|50928
