WorldLevel	Level	ExpBuff	BackExpBuff	BackflowLevel	BackBattleBuff
服务器当前所处的世界等级段(当前世界等级=等级排行榜前1000名的平均等级）	玩家等级	经验加成（1表示没有任何加成，1.5表示经验值加成了50%）	回流玩家加成	回流玩家直升等级	回流关卡buff
25	15=20	1	1	20	610001=1
26	15=21	1	1	21	610001=1
27	15=22	1	1	22	610001=1
28	15=23	1	1	23	610001=1
29	15=25	1	1	24	610001=1
30	15=27	1	1	25	610001=1
31	15=29	1	1	26	610001=1
32	15=30	1	1	27	610001=1
33	15=31	1	1	28	610001=1
34	15=31	1	1	29	610001=1
35	15=31	1	1	30	610001=1
36	15=31	1	1	31	610001=1
36	32=33	1	1	31	610001=1
37	15=31	1	1	32	610001=1
37	32=34	1	1	32	610001=1
38	15=31	1	1	33	610001=1
38	32=35	1	1	33	610001=1
39	15=31	1	1	34	610001=1
39	32=37	1	1	34	610001=1
40	15=31	1	1	35	610001=1
40	32=39	1	1	35	610001=1
41	15=31	1	1	36	610001=1
41	32=39	1	1	36	610001=1
42	15=31	1	1	37	610001=1
42	32=39	1	1	37	610001=1
42	40=41	1	1	37	610001=1
43	15=31	1	1	38	610001=1
43	32=39	1	1	38	610001=1
43	40=42	1	1	38	610001=1
44	15=31	1	1	39	610001=1
44	32=39	1	1	39	610001=1
44	40=43	1	1	39	610001=1
45	15=31	1	1	40	610001=1
45	32=39	1	1	40	610001=1
45	40=44	1	1	40	610001=1
46	15=31	1	1	41	610001=1
46	32=39	1	1	41	610001=1
46	40=45	1	1	41	610001=1
47	15=31	1	1	42	610001=1
47	32=39	1	1	42	610001=1
47	40=46	1	1	42	610001=1
48	15=31	1	1	43	610001=1
48	32=39	1	1	43	610001=1
48	40=47	1	1	43	610001=1
49	15=31	1	1	44	610001=1
49	32=39	1	1	44	610001=1
49	40=48	1	1	44	610001=1
50	15=31	1	1	45	610001=1
50	32=39	1	1	45	610001=1
50	40=49	1	1	45	610001=1
51	15=31	1	1	47	610001=1
51	32=39	1	1	47	610001=1
51	40=49	1	1	47	610001=1
52	15=31	1	1	48	610001=1
52	32=39	1	1	48	610001=1
52	40=49	1	1	48	610001=1
53	15=31	1	1	49	610001=1
53	32=39	1	1	49	610001=1
53	40=49	1	1	49	610001=1
54	15=31	1	1	50	610001=1
54	32=39	1	1	50	610001=1
54	40=49	1	1	50	610001=1
54	50=53	1	1	50	610001=1
55	15=31	1	1	51	610001=1
55	32=39	1	1	51	610001=1
55	40=49	1	1	51	610001=1
55	50=54	1	1	51	610001=1
56	15=31	1	1	52	610001=1
56	32=39	1	1	52	610001=1
56	40=49	1	1	52	610001=1
56	50=55	1	1	52	610001=1
57	15=31	1	1	53	610001=1
57	32=39	1	1	53	610001=1
57	40=49	1	1	53	610001=1
57	50=56	1	1	53	610001=1
58	15=31	1	1	54	610001=1
58	32=39	1	1	54	610001=1
58	40=49	1	1	54	610001=1
58	50=57	1	1	54	610001=1
59	15=31	1	1	55	610001=1
59	32=39	1	1	55	610001=1
59	40=49	1	1	55	610001=1
59	50=58	1	1	55	610001=1
60	15=31	1	1	56	610001=1
60	32=39	1	1	56	610001=1
60	40=49	1	1	56	610001=1
60	50=59	1	1	56	610001=1
61	15=60	1	1	58	610001=1
62	15=60	1	1	59	610001=1
62	61=61	1	1	59	610001=1
63	15=60	1	1	60	610001=1
63	61=61	1	1	60	610001=1
64	15=60	1	1	61	610001=1
64	61=63	1	1	61	610001=1
65	15=60	1	1	62	610001=1
65	61=64	1	1	62	610001=1
66	15=60	1	1	63	610001=1
66	61=65	1	1	63	610001=1
67	15=60	1	1	64	610001=1
67	61=66	1	1	64	610001=1
68	15=60	1	1	65	610001=1
68	61=67	1	1	65	610001=1
69	15=60	1	1	66	610001=1
69	61=68	1	1	66	610001=1
70	15=60	1	1	67	610001=1
70	61=69	1	1	67	610001=1
71	15=70	1	1	68	610001=1
72	15=70	1	1	69	610001=1
72	71=71	1	1	69	610001=1
73	15=70	1	1	70	610001=1
73	71=72	1	1	70	610001=1
74	15=70	1	1	71	610001=1
74	71=73	1	1	71	610001=1
75	15=70	1	1	72	610001=1
75	71=74	1	1	72	610001=1
76	15=70	1	1	73	610001=1
76	71=75	1	1	73	610001=1
77	15=70	1	1	74	610001=1
77	71=76	1	1	74	610001=1
78	15=70	1	1	75	610001=1
78	71=77	1	1	75	610001=1
79	15=70	1	1	76	610001=1
79	71=77	1	1	76	610001=1
80	15=70	1	1	77	610001=1
80	71=79	1	1	77	610001=1
81	15=80	1	1	78	610001=1
82	15=80	1	1	79	610001=1
82	81=81	1	1	79	610001=1
83	15=80	1	1	80	610001=1
83	81=82	1	1	80	610001=1
84	15=80	1	1	81	610001=1
84	81=83	1	1	81	610001=1
85	15=80	1	1	82	610001=1
85	81=84	1	1	82	610001=1
86	15=80	1	1	83	610001=1
86	81=85	1	1	83	610001=1
87	15=80	1	1	84	610001=1
87	81=86	1	1	84	610001=1
88	15=80	1	1	85	610001=1
88	81=87	1	1	85	610001=1
89	15=80	1	1	86	610001=1
89	81=88	1	1	86	610001=1
90	15=80	1	1	87	610001=1
90	81=89	1	1	87	610001=1
91	15=90	1	1	88	610001=1
92	15=90	1	1	89	610001=1
92	91=91	1	1	89	610001=1
93	15=90	1	1	90	610001=1
93	91=92	1	1	90	610001=1
94	15=90	1	1	91	610001=1
94	91=93	1	1	91	610001=1
95	15=90	1	1	92	610001=1
95	91=94	1	1	92	610001=1
96	15=90	1	1	93	610001=1
96	91=95	1	1	93	610001=1
97	15=90	1	1	94	610001=1
97	91=96	1	1	94	610001=1
98	15=90	1	1	95	610001=1
98	91=97	1	1	95	610001=1
99	15=90	1	1	96	610001=1
99	91=98	1	1	96	610001=1
100	15=90	1	1	97	610001=1
100	91=99	1	1	97	610001=1
101	15=100	1	1	98	610001=1
102	15=100	1	1	99	610001=1
102	101=101	1	1	99	610001=1
103	15=100	1	1	100	610001=1
103	101=102	1	1	100	610001=1
104	15=100	1	1	101	610001=1
104	101=103	1	1	101	610001=1
105	15=100	1	1	102	610001=1
105	101=104	1	1	102	610001=1
106	15=100	1	1	103	610001=1
106	101=105	1	1	103	610001=1
107	15=100	1	1	104	610001=1
107	101=106	1	1	104	610001=1
108	15=100	1	1	105	610001=1
108	101=107	1	1	105	610001=1
109	15=100	1	1	106	610001=1
109	101=108	1	1	106	610001=1
110	15=100	1	1	107	610001=1
110	101=109	1	1	107	610001=1
111	15=110	1	1	108	610001=1
112	15=110	1	1	109	610001=1
112	111=111	1	1	109	610001=1
113	15=110	1	1	110	610001=1
113	111=112	1	1	110	610001=1
114	15=110	1	1	111	610001=1
114	111=113	1	1	111	610001=1
115	15=110	1	1	112	610001=1
115	111=114	1	1	112	610001=1
116	15=110	1	1	113	610001=1
116	111=115	1	1	113	610001=1
117	15=110	1	1	114	610001=1
117	111=116	1	1	114	610001=1
118	15=110	1	1	115	610001=1
118	111=117	1	1	115	610001=1
119	15=110	1	1	116	610001=1
119	111=118	1	1	116	610001=1
120	15=110	1	1	117	610001=1
120	111=119	1	1	117	610001=1
121	15=120	1	1	118	610001=1
122	15=120	1	1	119	610001=1
122	121=121	1	1	119	610001=1
123	15=120	1	1	120	610001=1
123	121=122	1	1	120	610001=1
124	15=120	1	1	121	610001=1
124	121=123	1	1	121	610001=1
125	15=120	1	1	122	610001=1
125	121=124	1	1	122	610001=1
126	15=120	1	1	123	610001=1
126	121=125	1	1	123	610001=1
127	15=120	1	1	124	610001=1
127	121=126	1	1	124	610001=1
128	15=120	1	1	125	610001=1
128	121=127	1	1	125	610001=1
129	15=120	1	1	126	610001=1
129	121=128	1	1	126	610001=1
130	15=120	1	1	127	610001=1
130	121=129	1	1	127	610001=1
131	15=130	1	1	128	610001=1
132	15=130	1	1	129	610001=1
132	131=131	1	1	129	610001=1
133	15=130	1	1	130	610001=1
133	131=132	1	1	130	610001=1
134	15=130	1	1	131	610001=1
134	131=133	1	1	131	610001=1
135	15=130	1	1	132	610001=1
135	131=134	1	1	132	610001=1
136	15=130	1	1	133	610001=1
136	131=135	1	1	133	610001=1
137	15=130	1	1	134	610001=1
137	131=136	1	1	134	610001=1
138	15=130	1	1	135	610001=1
138	131=137	1	1	135	610001=1
139	15=130	1	1	136	610001=1
139	131=138	1	1	136	610001=1
140	15=130	1	1	137	610001=1
140	131=139	1	1	137	610001=1
141	15=140	1	1	138	610001=1
142	15=140	1	1	139	610001=1
142	141=141	1	1	139	610001=1
143	15=140	1	1	140	610001=1
143	141=142	1	1	140	610001=1
144	15=140	1	1	141	610001=1
144	141=143	1	1	141	610001=1
145	15=140	1	1	142	610001=1
145	141=144	1	1	142	610001=1
146	15=140	1	1	143	610001=1
146	141=145	1	1	143	610001=1
147	15=140	1	1	144	610001=1
147	141=146	1	1	144	610001=1
148	15=140	1	1	145	610001=1
148	141=147	1	1	145	610001=1
149	15=140	1	1	146	610001=1
149	141=148	1	1	146	610001=1
150	15=140	1	1	147	610001=1
150	141=149	1	1	147	610001=1
151	15=150	1	1	148	610001=1
152	15=150	1	1	149	610001=1
152	151=151	1	1	149	610001=1
153	15=150	1	1	150	610001=1
153	151=152	1	1	150	610001=1
154	15=150	1	1	151	610001=1
154	151=153	1	1	151	610001=1
155	15=150	1	1	152	610001=1
155	151=154	1	1	152	610001=1
156	15=150	1	1	153	610001=1
156	151=155	1	1	153	610001=1
157	15=150	1	1	154	610001=1
157	151=156	1	1	154	610001=1
158	15=150	1	1	155	610001=1
158	151=157	1	1	155	610001=1
159	15=150	1	1	156	610001=1
159	151=158	1	1	156	610001=1
160	15=150	1	1	157	610001=1
160	151=159	1	1	157	610001=1
161	15=160	1	1	158	610001=1
162	15=160	1	1	159	610001=1
162	161=161	1	1	159	610001=1
163	15=160	1	1	160	610001=1
163	161=162	1	1	160	610001=1
164	15=160	1	1	161	610001=1
164	161=163	1	1	161	610001=1
165	15=160	1	1	162	610001=1
165	161=164	1	1	162	610001=1
166	15=160	1	1	163	610001=1
166	161=165	1	1	163	610001=1
167	15=160	1	1	164	610001=1
167	161=166	1	1	164	610001=1
168	15=160	1	1	165	610001=1
168	161=167	1	1	165	610001=1
169	15=160	1	1	166	610001=1
169	161=168	1	1	166	610001=1
170	15=160	1	1	167	610001=1
170	161=169	1	1	167	610001=1
171	15=170	1	1	168	610001=1
172	15=170	1	1	169	610001=1
172	171=171	1	1	169	610001=1
173	15=170	1	1	170	610001=1
173	171=172	1	1	170	610001=1
174	15=170	1	1	171	610001=1
174	171=173	1	1	171	610001=1
175	15=170	1	1	172	610001=1
175	171=174	1	1	172	610001=1
176	15=170	1	1	173	610001=1
176	171=175	1	1	173	610001=1
177	15=170	1	1	174	610001=1
177	171=176	1	1	174	610001=1
178	15=170	1	1	175	610001=1
178	171=177	1	1	175	610001=1
179	15=170	1	1	176	610001=1
179	171=178	1	1	176	610001=1
180	15=170	1	1	177	610001=1
180	171=179	1	1	177	610001=1
181	15=180	1	1	178	610001=1
182	15=180	1	1	179	610001=1
182	181=181	1	1	179	610001=1
183	15=180	1	1	180	610001=1
183	181=182	1	1	180	610001=1
184	15=180	1	1	181	610001=1
184	181=183	1	1	181	610001=1
185	15=180	1	1	182	610001=1
185	181=184	1	1	182	610001=1
186	15=180	1	1	183	610001=1
186	181=185	1	1	183	610001=1
187	15=180	1	1	184	610001=1
187	181=186	1	1	184	610001=1
188	15=180	1	1	185	610001=1
188	181=187	1	1	185	610001=1
189	15=180	1	1	186	610001=1
189	181=188	1	1	186	610001=1
190	15=180	1	1	187	610001=1
190	181=189	1	1	187	610001=1
191	15=190	1	1	188	610001=1
192	15=190	1	1	189	610001=1
192	191=191	1	1	189	610001=1
193	15=190	1	1	190	610001=1
193	191=192	1	1	190	610001=1
194	15=190	1	1	191	610001=1
194	191=193	1	1	191	610001=1
195	15=190	1	1	192	610001=1
195	191=194	1	1	192	610001=1
196	15=190	1	1	193	610001=1
196	191=195	1	1	193	610001=1
197	15=190	1	1	194	610001=1
197	191=196	1	1	194	610001=1
198	15=190	1	1	195	610001=1
198	191=197	1	1	195	610001=1
