Comment	CommentSceneID	ID	Name	PresentID	Type	Tag	Fightgroup	SummonGroup	WalkSpeed	RunSpeed	FloatHeight	RotateSpeed	AttackSpeed	SkillCD	AttackProb	Sight	FightTogetherDis	BeLocked	InBornBuff	AttackBase	MagicAttackBase	MaxHP	Level	PhysicalDef	MagicDef	CritResist2	IconString	ElementDef	MobaExp	MobaExpRange	MobaKillNeedHint	PosIndex	HpSection	IsWander	Block	DynamicBlock	UsingGeneralCutscene	SoloShow	EndShow	Fov	AIStartTime	AIActionGap	IsFixedInCD	FashionTemplate	Highlight	UseMyMesh	ExtraReward	aihit	AiBehavior	InitEnmity	AlwaysHpBar	HideName	ratioleft	ratioright	ratioidle	ratiodistance	ratioskill	ratioexp	navigation	IsNavPingpong	HideInMiniMap	Access	SameBillBoard	HellDrop	PandoraDropIDs	DropIDs	BigMeleePoints	LinkCombo	CanBeManipulate	CritDamageDef	InheriteAtrribute	MaxSuperArmorA	MaxSuperArmorB	MaxSuperArmorC	SuperArmorRecoverSpeedA	SuperArmorRecoveryMaxA	SuperArmorBrokenBuffA	SuperArmorInvincibleTimeA	SuperArmorRecoverSpeedB	SuperArmorRecoveryMaxB	SuperArmorBrokenBuffB	SuperArmorInvincibleTimeB	SuperArmorRecoverSpeedC	SuperArmorRecoveryMaxC	SuperArmorBrokenBuffC	SuperArmorInvincibleTimeC	SuperArmorBrokenStrike	DoodadDrop
备注	关卡ID备注	ID	名称	表现模板	类型(1.boss|2.opposer|3.puppet|5.substance|6.elite|12.RoleTransform|17.操作载具)	特殊含义的标记（3：箭塔2：大本营4：近战兵5：远程兵6：攻城兵7：野怪）	战斗关系(0.敌对1.友好2.双方友好3.双方敌对4.敌对不可受击5.友军不可受击)	技能召唤物分组	步行速度	跑动速度	游离高度(Min|Max)	转身速度	攻击速度标准=GlobalConfig里的GeneralCombatParam	技能CD	"攻击倾向(0.5是1/2,1是2/3)"	攻击视野	拉人距离	被锁定属性	天生BUFF	物理攻击力	魔法攻击力	最大血量	等级	物理防御	魔法防御	抗暴值（跟玩家身上抗暴值不同，具体看公式）	图标显示	元素抗	moba经验	moba经验范围	moba被击杀是否需要提示	位置标识（小地图用）	血条数量	是否游荡	是否和玩家阻挡	是否忽略动态阻挡	是否通用CutScene出场	是否支持Solo模式	是否有死亡表现(镜头，子弹时间等仅限Boss)如果有专有Cutscene表现死亡则此项应为FALSE	绑定的FOV大小(一般用于巨型BOSS)	AI起始时间，建议0.2~3秒，佣兵没有随机就是1倍，其他有(0.1~1.0)的随机倍数，	"AI心跳普通(0.2~1),建议boss0.2,佣兵0.5，普通2.0"	CD的时候是不是站定	时装模板（引用defaultequip表	是否描边	用自己的模型	额外奖励	是否为自动寻路目标（-1为不是、0~N为优先级，数字越大优先级越高）	行为树名称	初始仇恨	总是显示血条	是否隐藏名字FALSE-不隐藏TRUE-隐藏	左走概率	右走概率	待机概率	保持距离概率	技能概率	表情动作概率	寻路点	是否来回巡逻	在小地图上隐藏（仅限友军和敌军，默认不隐藏）		公告版和主体保持一致	地狱之门掉落ID	怪物对应的潘多拉ID	怪物对应的dropID	大乱斗积分	连击数关联到主人	能否被吸附	怪物暴击伤害抗性	变身继承属性	超级盔甲	超级盔甲	超级盔甲	超级盔甲平时恢复速度A	破盔甲后硬直时间A	易伤BUFFA	A霸体冷却时间	超级盔甲平时恢复速度B	破盔甲后硬直时间B	易伤BUFFB	B霸体冷却时间	超级盔甲平时恢复速度C	破盔甲后硬直时间C	易伤BUFFC	C霸体冷却时间	虚弱时是否霸体	概率=血量百分比=doodadid
创角战士		1	创角战士	10111	5		2		3	5		8	100	100	1	20	10			150	150	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	1010	TRUE			1		0			0.2	0.2	0.2	0.2	0.2	0.2	0=0=0	1									TRUE			999999999	999999999	999999999														
创角弓箭手		2	创角弓箭手	10112	5		2		3	5		8	100	100	1	20	10			150	150	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	1011	TRUE			1		0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE			999999999	999999999	999999999														
创角魔法师		3	创角魔法师	10113	5		2		3	5		8	100	100	1	20	10			150	150	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	1012	TRUE			1		0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE			999999999	999999999	999999999														
创角牧师		4	创角牧师	10114	5		2		3	5		8	100	100	1	20	10			150	150	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	1013	TRUE			1		0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE			999999999	999999999	999999999														
创角学者		5	创角学者	10115	5		2		3	5		8	100	100	1	20	10			150	150	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	1014	TRUE			1		0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE			999999999	999999999	999999999														
创角刺客		6	创角刺客	10116	5		2		3	5		8	100	100	1	20	10			150	150	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	1015	TRUE			1		0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE			999999999	999999999	999999999														
创角舞娘		7	创角舞娘	10117	5		2		3	5		8	100	100	1	20	10			150	150	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	1016	TRUE			1		0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE			999999999	999999999	999999999														
创角黑复		8	创角黑暗复仇者	10111	5		2		3	5		8	100	100	1	20	10			150	150	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	1017	TRUE			1		0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE			999999999	999999999	999999999														
创角银色猎人		9	创角银色猎人	10112	5		2		3	5		8	100	100	1	20	10			150	150	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	1018	TRUE			1		0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE			999999999	999999999	999999999														
